circID	seqnames	start	end	width	type	gene_id	strand	SameGflag	OverGflag	OverGeneID	OverGeneName
cRNA_0030	chr13	45888591	46110051	221461	JNC-JNC	ENSMUSG00000046876.17	-	TRUE	1	NA	NA
cRNA_0031	chr13	49038749	49039354	606	JNC-JNC	ENSMUSG00000038014.8	-	TRUE	1	NA	NA
cRNA_0032	chr13	54875723	54879265	3543	JNC-JNC	ENSMUSG00000034918.9	+	TRUE	1	NA	NA
cRNA_0033	chr13	55381708	55395890	14183	JNC-JNC	ENSMUSG00000021488.9	+	TRUE	1	NA	NA
cRNA_0034	chr13	55393331	55395890	2560	FULLEX	ENSMUSG00000021488.9	+	TRUE	NA	NA	NA
cRNA_0035	chr13	58178227	58198952	20726	JNC-JNC	ENSMUSG00000014164.16	-	TRUE	1	NA	NA
cRNA_0036	chr13	58545863	58546969	1107	UNKNOWN	NA	NA	NA	NA	NA	NA
cRNA_0037	chr13	59643147	59692265	49119	JNC-JNC	ENSMUSG00000021557.16	-	TRUE	1	NA	NA
cRNA_0038	chr13	77231560	77240530	8971	JNC-JNC	ENSMUSG00000021597.17	-	TRUE	1	NA	NA
cRNA_0039	chr13	84399349	84408359	9011	JNC-JNC	ENSMUSG00000035762.12	+	TRUE	1	NA	NA
cRNA_0040	chr13	93478264	93492587	14324	JNC-JNC	ENSMUSG00000007617.19	+	TRUE	1	NA	NA
cRNA_0041	chr13	94361403	94369688	8286	JNC-JNC	ENSMUSG00000021687.15	-	TRUE	1	NA	NA
cRNA_0042	chr13	94638426	94668574	30149	JNC-JNC	ENSMUSG00000021686.7	+	TRUE	1	NA	NA
cRNA_0043	chr13	98402659	98409360	6702	JNC-JNC	ENSMUSG00000021661.17	+	TRUE	1	NA	NA
cRNA_0044	chr13	101893834	101894547	714	FULLEX	ENSMUSG00000041417.16	-	TRUE	NA	NA	NA
cRNA_0045	chr13	104003157	104025793	22637	JNC-JNC	ENSMUSG00000021709.15	-	TRUE	1	NA	NA
cRNA_0046	chr13	104020651	104025793	5143	JNC-JNC	ENSMUSG00000021709.15	-	TRUE	1	NA	NA
cRNA_0047	chr13	107119032	107124583	5552	JNC-JNC	ENSMUSG00000021693.21	-	TRUE	1	NA	NA
cRNA_0048	chr13	107874907	107884898	9992	JNC-JNC	ENSMUSG00000032846.13	-	TRUE	1	NA	NA
cRNA_0049	chr13	109876921	109909214	32294	JNC-JNC	ENSMUSG00000021699.18	+	TRUE	1	NA	NA
cRNA_0050	chr13	114058783	114104326	45544	JNC-JNC	ENSMUSG00000042348.11	+	TRUE	1	NA	NA
cRNA_0051	chr12	3492474	3507209	14736	JNC-JNC	ENSMUSG00000037486.19	+	TRUE	1	NA	NA
cRNA_0052	chr12	3492474	3534608	42135	JNC-JNC	ENSMUSG00000037486.19	+	TRUE	1	NA	NA
cRNA_0053	chr12	3667606	3698389	30784	JNC-JNC	ENSMUSG00000071454.14	+	TRUE	1	NA	NA
cRNA_0054	chr12	3667606	3736862	69257	JNC-JNC	ENSMUSG00000071454.14	+	TRUE	1	NA	NA
cRNA_0055	chr12	3682810	3698389	15580	JNC-JNC	ENSMUSG00000071454.14	+	TRUE	1	NA	NA
cRNA_0056	chr12	3885027	3923428	38402	JNC-JNC	ENSMUSG00000020661.16	+	TRUE	1	NA	NA
cRNA_0057	chr12	5011218	5056791	45574	JNC-JNC	ENSMUSG00000052812.6	+	TRUE	1	NA	NA
cRNA_0058	chr12	13532387	13534045	1659	JNC-JNC	ENSMUSG00000020576.11	+	TRUE	1	NA	NA
cRNA_0059	chr12	31674114	31680892	6779	JNC-JNC	ENSMUSG00000020650.16	-	TRUE	1	NA	NA
cRNA_0060	chr12	35135938	35157555	21618	JNC-JNC	ENSMUSG00000020590.17	+	TRUE	1	NA	NA
cRNA_0061	chr12	37397258	37464988	67731	JNC-JNC	ENSMUSG00000050103.19	+	TRUE	1	NA	NA
cRNA_0062	chr12	51668563	51708496	39934	JNC-JNC	ENSMUSG00000020954.17	-	TRUE	1	NA	NA
cRNA_0063	chr12	51694777	51708496	13720	JNC-JNC	ENSMUSG00000020954.17	-	TRUE	1	NA	NA
cRNA_0064	chr12	51702185	51708496	6312	JNC-JNC	ENSMUSG00000020954.17	-	TRUE	1	NA	NA
cRNA_0065	chr12	51806002	51807953	1952	JNC-JNC	ENSMUSG00000035247.17	-	TRUE	1	NA	NA
cRNA_0066	chr12	51819057	51819488	432	JNC-JNC	ENSMUSG00000035247.17	-	TRUE	1	NA	NA
cRNA_0067	chr12	53186164	53189551	3388	FULLEX	ENSMUSG00000061603.9	+	TRUE	NA	NA	NA
cRNA_0068	chr12	55454254	55461283	7030	JNC-JNC	ENSMUSG00000021024.15	+	TRUE	1	NA	NA
cRNA_0069	chr12	55784996	55786354	1359	JNC-JNC	ENSMUSG00000021027.18	-	TRUE	1	NA	NA
cRNA_0070	chr12	57350131	57354250	4120	JNC-JNC	ENSMUSG00000047022.19	+	TRUE	1	NA	NA
cRNA_0071	chr12	57372310	57379245	6936	JNC-JNC	ENSMUSG00000047022.19	+	TRUE	1	NA	NA
cRNA_0072	chr12	57372310	57411020	38711	JNC-JNC	ENSMUSG00000047022.19	+	TRUE	1	NA	NA
cRNA_0073	chr12	59097054	59098494	1441	JNC-JNC	ENSMUSG00000020993.10	-	TRUE	1	NA	NA
cRNA_0074	chr12	69349098	69350736	1639	JNC-JNC	ENSMUSG00000020978.11	+	TRUE	1	NA	NA
cRNA_0075	chr12	75531906	75562572	30667	JNC-JNC	ENSMUSG00000021051.11	-	TRUE	1	NA	NA
cRNA_0076	chr12	78841019	78844164	3146	JNC-JNC	ENSMUSG00000021112.10	+	TRUE	1	NA	NA
cRNA_0077	chr12	81151381	81152785	1405	JNC-JNC	ENSMUSG00000021136.14	+	TRUE	1	NA	NA
cRNA_0078	chr12	82387436	82389273	1838	FULLEX	ENSMUSG00000042700.17	+	TRUE	NA	NA	NA
cRNA_0079	chr12	82404007	82419316	15310	JNC-JNC	ENSMUSG00000042700.17	+	TRUE	1	NA	NA
cRNA_0080	chr12	83621406	83621910	505	FULLEX	ENSMUSG00000042628.9	-	TRUE	NA	NA	NA
cRNA_0081	chr12	84344785	84355206	10422	JNC-JNC	ENSMUSG00000072946.13	+	TRUE	1	NA	NA
cRNA_0082	chr12	85075544	85080808	5265	JNC-JNC	ENSMUSG00000021244.16	+	TRUE	1	NA	NA
cRNA_0083	chr12	85910338	85926249	15912	JNC-JNC	ENSMUSG00000012609.20	+	TRUE	1	NA	NA
cRNA_0084	chr12	86303642	86315835	12194	JNC-JNC	ENSMUSG00000021254.10	+	TRUE	1	NA	NA
cRNA_0085	chr12	98719037	98730237	11201	JNC-JNC	ENSMUSG00000021012.17	+	TRUE	1	NA	NA
cRNA_0086	chr12	99307681	99355176	47496	JNC-JNC	ENSMUSG00000033713.13	-	TRUE	1	NA	NA
cRNA_0087	chr12	99354620	99355176	557	FULLEX	ENSMUSG00000033713.13	-	TRUE	NA	NA	NA
cRNA_0088	chr12	101655219	101660932	5714	JNC-JNC	ENSMUSG00000021187.15	-	TRUE	1	NA	NA
cRNA_0089	chr12	101849515	101856877	7363	JNC-JNC	ENSMUSG00000021188.15	-	TRUE	1	NA	NA
cRNA_0090	chr12	107955724	107956089	366	FULLEX	ENSMUSG00000048251.16	-	TRUE	NA	NA	NA
cRNA_0091	chr12	108124013	108131431	7419	JNC-JNC	ENSMUSG00000056770.16	-	TRUE	1	NA	NA
cRNA_0092	chr12	111186245	111209972	23728	JNC-JNC	ENSMUSG00000021277.17	+	TRUE	1	NA	NA
cRNA_0093	chr12	111559011	111570998	11988	JNC-JNC	ENSMUSG00000007411.17	+	TRUE	1	NA	NA
cRNA_0094	chr12	111559011	111584817	25807	JNC-JNC	ENSMUSG00000007411.17	+	TRUE	1	NA	NA
cRNA_0095	chr12	111744454	111755893	11440	JNC-JNC	ENSMUSG00000021288.20	+	TRUE	1	NA	NA
cRNA_0096	chr12	111744454	111755920	11467	JNC-JNC	ENSMUSG00000021288.20	+	TRUE	1	NA	NA
cRNA_0097	chr12	111824644	111838867	14224	JNC-JNC	ENSMUSG00000021285.16	-	TRUE	1	NA	NA
cRNA_0098	chr12	116281450	116287830	6381	JNC-JNC	ENSMUSG00000021171.9	+	TRUE	1	NA	NA
cRNA_0099	chr11	4467741	4481305	13565	JNC-JNC	ENSMUSG00000034354.18	-	TRUE	1	NA	NA
cRNA_0100	chr11	4467741	4496268	28528	JNC-JNC	ENSMUSG00000034354.18	-	TRUE	1	NA	NA
cRNA_0101	chr11	4758257	4770493	12237	JNC-JNC	ENSMUSG00000009073.17	-	TRUE	1	NA	NA
cRNA_0102	chr11	6063243	6075561	12319	JNC-JNC	ENSMUSG00000053838.15	-	TRUE	1	NA	NA
cRNA_0103	chr11	6143154	6143476	323	FULLEX	ENSMUSG00000053838.15	-	TRUE	NA	NA	NA
cRNA_0104	chr11	6263788	6267080	3293	JNC-JNC	ENSMUSG00000020456.18	+	TRUE	1	NA	NA
cRNA_0105	chr11	8428225	8429665	1441	JNC-JNC	ENSMUSG00000020422.15	-	TRUE	1	NA	NA
cRNA_0106	chr11	8468199	8469570	1372	JNC-JNC	ENSMUSG00000020422.15	-	TRUE	1	NA	NA
cRNA_0107	chr11	12259614	12328359	68746	JNC-JNC	ENSMUSG00000020173.18	-	TRUE	1	NA	NA
cRNA_0108	chr11	12293744	12328359	34616	JNC-JNC	ENSMUSG00000020173.18	-	TRUE	1	NA	NA
cRNA_0109	chr11	12315105	12328359	13255	JNC-JNC	ENSMUSG00000020173.18	-	TRUE	1	NA	NA
cRNA_0110	chr11	20675685	20677639	1955	FULLEX	ENSMUSG00000049659.16	-	TRUE	NA	NA	NA
cRNA_0111	chr11	21213199	21228060	14862	JNC-JNC	ENSMUSG00000020128.16	+	TRUE	1	NA	NA
cRNA_0112	chr11	22003432	22018506	15075	JNC-JNC	ENSMUSG00000042302.15	-	TRUE	1	NA	NA
cRNA_0113	chr11	23657523	23675574	18052	JNC-JNC	ENSMUSG00000020280.13	+	TRUE	1	NA	NA
cRNA_0114	chr11	26484211	26500075	15865	JNC-JNC	ENSMUSG00000064090.15	-	TRUE	1	NA	NA
cRNA_0115	chr11	28817466	28818039	574	JNC-JNC	ENSMUSG00000020467.16	+	TRUE	1	NA	NA
cRNA_0116	chr11	31005458	31011586	6129	JNC-JNC	ENSMUSG00000020305.14	+	TRUE	1	NA	NA
cRNA_0117	chr11	43595361	43596304	944	FULLEX	ENSMUSG00000044950.8	+	TRUE	NA	NA	NA
cRNA_0118	chr11	50189956	50191881	1926	JNC-JNC	ENSMUSG00000020368.16	-	TRUE	1	NA	NA
cRNA_0119	chr11	50192585	50199756	7172	JNC-JNC	ENSMUSG00000020368.16	-	TRUE	1	NA	NA
cRNA_0120	chr11	50195153	50199756	4604	JNC-JNC	ENSMUSG00000020368.16	-	TRUE	1	NA	NA
cRNA_0121	chr11	62037132	62052736	15605	JNC-JNC	ENSMUSG00000042331.14	+	TRUE	1	NA	NA
cRNA_0122	chr11	62174423	62183044	8622	JNC-JNC	ENSMUSG00000042298.19	+	TRUE	1	NA	NA
cRNA_0123	chr11	62324389	62329341	4953	JNC-JNC	ENSMUSG00000018501.18	-	TRUE	1	NA	NA
cRNA_0124	chr11	65109355	65124010	14656	JNC-JNC	ENSMUSG00000020542.19	-	TRUE	1	NA	NA
cRNA_0125	chr11	68720741	68736250	15510	JNC-JNC	ENSMUSG00000018736.15	-	TRUE	1	NA	NA
cRNA_0126	chr11	69540554	69542549	1996	JNC-JNC	ENSMUSG00000018765.7	+	TRUE	1	NA	NA
cRNA_0127	chr11	70765572	70775794	10223	JNC-JNC	ENSMUSG00000020817.17	+	TRUE	1	NA	NA
cRNA_0128	chr11	70765572	70777997	12426	JNC-JNC	ENSMUSG00000020817.17	+	TRUE	1	NA	NA
cRNA_0129	chr11	70765572	70784514	18943	JNC-JNC	ENSMUSG00000020817.17	+	TRUE	1	NA	NA
cRNA_0130	chr11	70808141	70816738	8598	JNC-JNC	ENSMUSG00000020817.17	+	TRUE	1	NA	NA
cRNA_0131	chr11	72602983	72605309	2327	JNC-JNC	ENSMUSG00000020790.15	+	TRUE	1	NA	NA
cRNA_0132	chr11	74819819	74881041	61223	JNC-JNC	ENSMUSG00000038290.16	+	TRUE	1	NA	NA
cRNA_0133	chr11	75433984	75436656	2673	JNC-JNC	ENSMUSG00000038178.17	+	TRUE	1	NA	NA
cRNA_0134	chr11	75583023	75583558	536	FULLEX	ENSMUSG00000017776.16	+	TRUE	NA	NA	NA
cRNA_0135	chr11	75642707	75650254	7548	JNC-JNC	ENSMUSG00000020849.14	+	TRUE	1	NA	NA
cRNA_0136	chr11	77462433	77476320	13888	JNC-JNC	ENSMUSG00000017291.14	-	TRUE	1	NA	NA
cRNA_0137	chr11	78210812	78212592	1781	JNC-JNC	ENSMUSG00000002055.10	+	TRUE	1	NA	NA
cRNA_0138	chr11	79440234	79444823	4590	JNC-JNC	ENSMUSG00000020716.17	+	TRUE	1	NA	NA
cRNA_0139	chr11	84083905	84086513	2609	JNC-JNC	ENSMUSG00000020532.19	+	TRUE	1	NA	NA
cRNA_0140	chr11	84358287	84363992	5706	JNC-JNC	ENSMUSG00000018697.15	-	TRUE	1	NA	NA
cRNA_0141	chr11	85467608	85474820	7213	JNC-JNC	ENSMUSG00000059439.16	+	TRUE	1	NA	NA
cRNA_0142	chr11	86423598	86426286	2689	JNC-JNC	ENSMUSG00000020516.16	-	TRUE	1	NA	NA
cRNA_0143	chr11	87075710	87077341	1632	JNC-JNC	ENSMUSG00000018548.16	+	TRUE	1	NA	NA
cRNA_0144	chr11	93795985	93824784	28800	JNC-JNC	ENSMUSG00000059474.14	+	TRUE	1	NA	NA
cRNA_0145	chr11	97268762	97269537	776	JNC-JNC	ENSMUSG00000038485.7	+	TRUE	1	NA	NA
cRNA_0146	chr11	102937205	102946115	8911	JNC-JNC	ENSMUSG00000020936.9	+	TRUE	1	NA	NA
cRNA_0147	chr11	104247510	104269652	22143	JNC-JNC	ENSMUSG00000018412.17	-	TRUE	1	NA	NA
cRNA_0148	chr11	104259506	104269652	10147	JNC-JNC	ENSMUSG00000018412.17	-	TRUE	1	NA	NA
cRNA_0149	chr11	107483532	107511040	27509	JNC-JNC	ENSMUSG00000020721.17	+	TRUE	1	NA	NA
cRNA_0150	chr11	108813978	108822405	8428	JNC-JNC	ENSMUSG00000000142.16	+	TRUE	1	NA	NA
cRNA_0151	chr11	116124212	116125349	1138	JNC-JNC	ENSMUSG00000034282.4	-	TRUE	1	NA	NA
cRNA_0152	chr11	117181224	117181862	639	FULLEX	ENSMUSG00000059248.14	+	TRUE	NA	NA	NA
cRNA_0153	chr10	8656283	8665365	9083	JNC-JNC	ENSMUSG00000015305.7	-	TRUE	1	NA	NA
cRNA_0154	chr10	9673866	9675812	1947	JNC-JNC	ENSMUSG00000019790.18	-	TRUE	1	NA	NA
cRNA_0155	chr10	12312025	12331308	19284	JNC-JNC	ENSMUSG00000019820.12	-	TRUE	1	NA	NA
cRNA_0156	chr10	12315371	12331308	15938	JNC-JNC	ENSMUSG00000019820.12	-	TRUE	1	NA	NA
cRNA_0157	chr10	12496935	12564171	67237	JNC-JNC	ENSMUSG00000019820.12	-	TRUE	1	NA	NA
cRNA_0158	chr10	12588998	12603656	14659	JNC-JNC	ENSMUSG00000019820.12	-	TRUE	1	NA	NA
cRNA_0159	chr10	17965196	17972084	6889	JNC-JNC	ENSMUSG00000019854.18	+	TRUE	1	NA	NA
cRNA_0160	chr10	25096509	25165628	69120	JNC-JNC	ENSMUSG00000039166.17	-	TRUE	1	NA	NA
cRNA_0161	chr10	25143206	25165628	22423	JNC-JNC	ENSMUSG00000039166.17	-	TRUE	1	NA	NA
cRNA_0162	chr10	25317471	25319852	2382	JNC-JNC	ENSMUSG00000019978.17	+	TRUE	1	NA	NA
cRNA_0163	chr10	26203585	26228273	24689	JNC-JNC	ENSMUSG00000039089.16	-	TRUE	1	NA	NA
cRNA_0164	chr10	31393380	31410892	17513	JNC-JNC	ENSMUSG00000063760.10	-	TRUE	1	NA	NA
cRNA_0165	chr10	39952560	39956803	4244	JNC-JNC	ENSMUSG00000019838.12	-	TRUE	1	NA	NA
cRNA_0166	chr10	41370515	41383555	13041	JNC-JNC	ENSMUSG00000078451.6	+	TRUE	1	NA	NA
cRNA_0167	chr10	42072462	42073897	1436	FULLEX	ENSMUSG00000048756.12	-	TRUE	NA	NA	NA
cRNA_0168	chr10	43269867	43271688	1822	JNC-JNC	ENSMUSG00000038240.14	+	TRUE	1	NA	NA
cRNA_0169	chr10	50624902	50643603	18702	JNC-JNC	ENSMUSG00000038774.10	+	TRUE	1	NA	NA
cRNA_0170	chr10	62606634	62607844	1211	JNC-JNC	ENSMUSG00000020074.8	-	TRUE	1	NA	NA
cRNA_0171	chr10	62998001	63005209	7209	JNC-JNC	ENSMUSG00000020067.9	-	TRUE	1	NA	NA
cRNA_0172	chr10	66870378	66875356	4979	JNC-JNC	ENSMUSG00000019873.9	-	TRUE	1	NA	NA
cRNA_0173	chr10	66993686	67025628	31943	JNC-JNC	ENSMUSG00000037876.18	+	TRUE	1	NA	NA
cRNA_0174	chr10	75109851	75115795	5945	JNC-JNC	ENSMUSG00000033444.15	+	TRUE	1	NA	NA
cRNA_0175	chr10	76203142	76205913	2772	JNC-JNC	ENSMUSG00000001151.11	-	TRUE	1	NA	NA
cRNA_0176	chr10	80547946	80551013	3068	JNC-JNC	ENSMUSG00000020198.9	-	TRUE	1	NA	NA
cRNA_0177	chr10	80547946	80555646	7701	JNC-JNC	ENSMUSG00000020198.9	-	TRUE	1	NA	NA
cRNA_0178	chr10	82204405	82219678	15274	JNC-JNC	ENSMUSG00000073427.5	+	TRUE	1	NA	NA
cRNA_0179	chr10	84783276	84783884	609	FULLEX	ENSMUSG00000035620.16	+	TRUE	NA	NA	NA
cRNA_0180	chr10	88236514	88250460	13947	JNC-JNC	ENSMUSG00000035311.17	+	TRUE	1	NA	NA
cRNA_0181	chr10	89309614	89319386	9773	JNC-JNC	ENSMUSG00000047638.16	-	TRUE	1	NA	NA
cRNA_0182	chr10	89622967	89630486	7520	JNC-JNC	ENSMUSG00000019951.11	+	TRUE	1	NA	NA
cRNA_0183	chr10	93100742	93101542	801	FULLEX	ENSMUSG00000008398.17	-	TRUE	NA	NA	NA
cRNA_0184	chr10	95825424	95831552	6129	JNC-JNC	ENSMUSG00000036499.10	+	TRUE	1	NA	NA
cRNA_0185	chr10	106881074	106889377	8304	JNC-JNC	ENSMUSG00000035948.14	-	TRUE	1	NA	NA
cRNA_0186	chr10	108075966	108089356	13391	JNC-JNC	ENSMUSG00000019907.11	+	TRUE	1	NA	NA
cRNA_0187	chr10	116353222	116385080	31859	JNC-JNC	ENSMUSG00000020166.16	-	TRUE	1	NA	NA
cRNA_0188	chr10	116363732	116385080	21349	JNC-JNC	ENSMUSG00000020166.16	-	TRUE	1	NA	NA
cRNA_0189	chr10	117191840	117203893	12054	JNC-JNC	ENSMUSG00000055531.13	-	TRUE	1	NA	NA
cRNA_0190	chr10	121761721	121767414	5694	JNC-JNC	ENSMUSG00000020121.16	-	TRUE	1	NA	NA
cRNA_0191	chr17	5937272	5942174	4903	JNC-JNC	ENSMUSG00000002365.11	+	TRUE	1	NA	NA
cRNA_0192	chr17	25329201	25332231	3031	JNC-JNC	ENSMUSG00000024170.16	-	TRUE	1	NA	NA
cRNA_0193	chr17	26485257	26486332	1076	JNC-JNC	ENSMUSG00000024188.17	+	TRUE	1	NA	NA
cRNA_0194	chr17	26955763	26962105	6343	JNC-JNC	ENSMUSG00000048249.15	+	TRUE	1	NA	NA
cRNA_0195	chr17	26958517	26962105	3589	JNC-JNC	ENSMUSG00000048249.15	+	TRUE	1	NA	NA
cRNA_0196	chr17	26958517	26982422	23906	JNC-JNC	ENSMUSG00000048249.15	+	TRUE	1	NA	NA
cRNA_0197	chr17	26961016	26962105	1090	FULLEX	ENSMUSG00000048249.15	+	TRUE	NA	NA	NA
cRNA_0198	chr17	26976779	26982422	5644	JNC-JNC	ENSMUSG00000048249.15	+	TRUE	1	NA	NA
cRNA_0199	chr17	28726210	28726443	234	FULLEX	ENSMUSG00000024222.18	-	TRUE	NA	NA	NA
cRNA_0200	chr17	29024903	29026373	1471	FULLEX	ENSMUSG00000063952.17	+	TRUE	NA	NA	NA
cRNA_0201	chr17	34599935	34601462	1528	JNC-JNC	ENSMUSG00000062638.12	+	TRUE	1	NA	NA
cRNA_0202	chr17	43156217	43163419	7203	JNC-JNC	ENSMUSG00000061665.8	-	TRUE	1	NA	NA
cRNA_0203	chr17	50343969	50362655	18687	JNC-JNC	ENSMUSG00000039316.15	-	TRUE	1	NA	NA
cRNA_0204	chr17	50354325	50362655	8331	JNC-JNC	ENSMUSG00000039316.15	-	TRUE	1	NA	NA
cRNA_0205	chr17	50913323	50918223	4901	JNC-JNC	ENSMUSG00000038910.8	+	TRUE	1	NA	NA
cRNA_0206	chr17	51224555	51227631	3077	JNC-JNC	ENSMUSG00000023923.11	-	TRUE	1	NA	NA
cRNA_0207	chr17	57726322	57727524	1203	JNC-JNC	ENSMUSG00000004730.16	+	TRUE	1	NA	NA
cRNA_0208	chr17	64931523	64932446	924	JNC-JNC	ENSMUSG00000024085.14	+	TRUE	1	NA	NA
cRNA_0209	chr17	65899286	65902049	2764	JNC-JNC	ENSMUSG00000024091.10	-	TRUE	1	NA	NA
cRNA_0210	chr17	66331071	66360086	29016	JNC-JNC	ENSMUSG00000034647.16	-	TRUE	1	NA	NA
cRNA_0211	chr17	66344488	66360086	15599	JNC-JNC	ENSMUSG00000034647.16	-	TRUE	1	NA	NA
cRNA_0212	chr17	67116461	67124972	8512	JNC-JNC	ENSMUSG00000033278.11	-	TRUE	1	NA	NA
cRNA_0213	chr17	69514854	69517378	2525	JNC-JNC	ENSMUSG00000024044.20	+	TRUE	1	NA	NA
cRNA_0214	chr17	71529050	71532236	3187	JNC-JNC	ENSMUSG00000024052.18	+	TRUE	1	NA	NA
cRNA_0215	chr17	74213005	74214740	1736	JNC-JNC	ENSMUSG00000024066.10	-	TRUE	1	NA	NA
cRNA_0216	chr17	74216242	74219535	3294	JNC-JNC	ENSMUSG00000024066.10	-	TRUE	1	NA	NA
cRNA_0217	chr17	74548900	74565500	16601	JNC-JNC	ENSMUSG00000058704.10	-	TRUE	1	NA	NA
cRNA_0218	chr17	78620553	78623175	2623	JNC-JNC	ENSMUSG00000024074.9	+	TRUE	1	NA	NA
cRNA_0219	chr17	79957731	79966902	9172	JNC-JNC	ENSMUSG00000036368.9	+	TRUE	1	NA	NA
cRNA_0220	chr17	80351923	80361070	9148	JNC-JNC	ENSMUSG00000024095.16	-	TRUE	1	NA	NA
cRNA_0221	chr17	80445442	80457599	12158	JNC-JNC	ENSMUSG00000035473.11	+	TRUE	1	NA	NA
cRNA_0222	chr17	80951561	80952274	714	JNC-JNC	ENSMUSG00000024242.16	-	TRUE	1	NA	NA
cRNA_0223	chr17	81715496	81753022	37527	JNC-JNC	ENSMUSG00000054640.16	-	TRUE	1	NA	NA
cRNA_0224	chr17	81735611	81753022	17412	JNC-JNC	ENSMUSG00000054640.16	-	TRUE	1	NA	NA
cRNA_0225	chr17	81955238	81957067	1830	FULLEX	ENSMUSG00000054640.16	-	TRUE	NA	NA	NA
cRNA_0226	chr17	86405940	86416762	10823	JNC-JNC	ENSMUSG00000024135.11	-	TRUE	1	NA	NA
cRNA_0227	chr17	87950970	87953768	2799	JNC-JNC	ENSMUSG00000045394.10	+	TRUE	1	NA	NA
cRNA_0228	chr17	88770141	88770691	551	FULLEX	ENSMUSG00000034998.19	+	TRUE	NA	NA	NA
cRNA_0229	chr16	3955230	3956849	1620	JNC-JNC	ENSMUSG00000022521.11	-	TRUE	1	NA	NA
cRNA_0230	chr16	10934659	10946567	11909	JNC-JNC	ENSMUSG00000022498.17	-	TRUE	1	NA	NA
cRNA_0231	chr16	11048374	11056963	8590	JNC-JNC	ENSMUSG00000062203.16	-	TRUE	1	NA	NA
cRNA_0232	chr16	11263029	11265372	2344	JNC-JNC	ENSMUSG00000071669.15	+	TRUE	1	NA	NA
