group	seqnames	start	end	strand	N	ID	Sample	Njunc
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_93_terrace.gtf	2
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_95_terrace.gtf	4
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_97_terrace.gtf	4
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_98_terrace.gtf	2
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_99_terrace.gtf	2
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_1_terrace.gtf	1
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_100_terrace.gtf	1
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_106_terrace.gtf	1
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_107_terrace.gtf	2
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_108_terrace.gtf	6
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_109_terrace.gtf	1
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_11_terrace.gtf	6
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_110_terrace.gtf	2
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_111_terrace.gtf	1
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_114_terrace.gtf	2
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_12_terrace.gtf	4
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_13_terrace.gtf	3
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_16_terrace.gtf	2
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_17_terrace.gtf	1
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_18_terrace.gtf	8
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_2_terrace.gtf	4
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_21_terrace.gtf	8
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_23_terrace.gtf	13
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_24_terrace.gtf	10
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_25_terrace.gtf	3
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_26_terrace.gtf	4
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_27_terrace.gtf	14
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_28_terrace.gtf	3
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_3_terrace.gtf	2
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_30_terrace.gtf	15
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_31_terrace.gtf	3
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_32_terrace.gtf	6
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_33_terrace.gtf	4
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_34_terrace.gtf	2
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_35_terrace.gtf	2
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_36_terrace.gtf	4
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_37_terrace.gtf	3
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_38_terrace.gtf	7
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_39_terrace.gtf	2
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_42_terrace.gtf	1
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_49_terrace.gtf	1
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_5_terrace.gtf	3
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_52_terrace.gtf	1
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_55_terrace.gtf	1
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_57_terrace.gtf	5
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_6_terrace.gtf	6
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_64_terrace.gtf	2
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_65_terrace.gtf	1
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_68_terrace.gtf	1
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_7_terrace.gtf	2
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_73_terrace.gtf	1
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_79_terrace.gtf	2
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_81_terrace.gtf	1
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_82_terrace.gtf	3
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_83_terrace.gtf	4
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_85_terrace.gtf	3
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_87_terrace.gtf	1
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_88_terrace.gtf	1
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_91_terrace.gtf	4
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_92_terrace.gtf	5
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_95_terrace.gtf	2
114	chr11	8428225	8429665	-	204	chr11:8428225-8429665	Tube_96_terrace.gtf	3
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_1_terrace.gtf	1
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_100_terrace.gtf	1
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_106_terrace.gtf	1
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_107_terrace.gtf	2
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_108_terrace.gtf	6
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_109_terrace.gtf	1
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_11_terrace.gtf	6
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_110_terrace.gtf	2
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_111_terrace.gtf	1
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_114_terrace.gtf	2
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_12_terrace.gtf	4
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_13_terrace.gtf	3
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_16_terrace.gtf	2
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_17_terrace.gtf	1
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_18_terrace.gtf	8
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_2_terrace.gtf	4
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_21_terrace.gtf	8
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_23_terrace.gtf	13
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_24_terrace.gtf	10
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_25_terrace.gtf	3
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_26_terrace.gtf	4
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_27_terrace.gtf	14
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_28_terrace.gtf	3
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_3_terrace.gtf	2
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_30_terrace.gtf	15
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_31_terrace.gtf	3
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_32_terrace.gtf	6
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_33_terrace.gtf	4
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_34_terrace.gtf	2
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_35_terrace.gtf	2
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_36_terrace.gtf	4
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_37_terrace.gtf	3
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_38_terrace.gtf	7
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_39_terrace.gtf	2
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_42_terrace.gtf	1
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_49_terrace.gtf	1
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_5_terrace.gtf	3
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_52_terrace.gtf	1
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_55_terrace.gtf	1
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_57_terrace.gtf	5
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_6_terrace.gtf	6
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_64_terrace.gtf	2
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_65_terrace.gtf	1
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_68_terrace.gtf	1
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_7_terrace.gtf	2
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_73_terrace.gtf	1
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_79_terrace.gtf	2
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_81_terrace.gtf	1
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_82_terrace.gtf	3
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_83_terrace.gtf	4
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_85_terrace.gtf	3
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_87_terrace.gtf	1
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_88_terrace.gtf	1
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_91_terrace.gtf	4
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_92_terrace.gtf	5
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_95_terrace.gtf	2
115	chr11	8428225	8428305	-	204	chr11:8428225-8428305	Tube_96_terrace.gtf	3
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_1_terrace.gtf	1
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_100_terrace.gtf	1
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_106_terrace.gtf	1
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_107_terrace.gtf	2
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_108_terrace.gtf	6
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_109_terrace.gtf	1
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_11_terrace.gtf	6
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_110_terrace.gtf	2
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_111_terrace.gtf	1
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_114_terrace.gtf	2
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_12_terrace.gtf	4
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_13_terrace.gtf	3
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_16_terrace.gtf	2
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_17_terrace.gtf	1
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_18_terrace.gtf	8
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_2_terrace.gtf	4
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_21_terrace.gtf	8
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_23_terrace.gtf	13
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_24_terrace.gtf	10
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_25_terrace.gtf	3
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_26_terrace.gtf	4
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_27_terrace.gtf	14
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_28_terrace.gtf	3
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_3_terrace.gtf	2
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_30_terrace.gtf	15
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_31_terrace.gtf	3
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_32_terrace.gtf	6
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_33_terrace.gtf	4
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_34_terrace.gtf	2
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_35_terrace.gtf	2
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_36_terrace.gtf	4
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_37_terrace.gtf	3
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_38_terrace.gtf	7
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_39_terrace.gtf	2
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_42_terrace.gtf	1
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_49_terrace.gtf	1
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_5_terrace.gtf	3
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_52_terrace.gtf	1
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_55_terrace.gtf	1
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_57_terrace.gtf	5
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_6_terrace.gtf	6
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_64_terrace.gtf	2
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_65_terrace.gtf	1
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_68_terrace.gtf	1
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_7_terrace.gtf	2
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_73_terrace.gtf	1
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_79_terrace.gtf	2
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_81_terrace.gtf	1
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_82_terrace.gtf	3
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_83_terrace.gtf	4
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_85_terrace.gtf	3
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_87_terrace.gtf	1
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_88_terrace.gtf	1
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_91_terrace.gtf	4
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_92_terrace.gtf	5
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_95_terrace.gtf	2
116	chr11	8428393	8428510	-	204	chr11:8428393-8428510	Tube_96_terrace.gtf	3
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_1_terrace.gtf	1
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_100_terrace.gtf	1
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_106_terrace.gtf	1
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_107_terrace.gtf	2
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_108_terrace.gtf	6
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_109_terrace.gtf	1
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_11_terrace.gtf	6
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_110_terrace.gtf	2
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_111_terrace.gtf	1
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_114_terrace.gtf	2
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_12_terrace.gtf	4
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_13_terrace.gtf	3
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_16_terrace.gtf	2
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_17_terrace.gtf	1
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_18_terrace.gtf	8
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_2_terrace.gtf	4
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_21_terrace.gtf	8
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_23_terrace.gtf	13
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_24_terrace.gtf	10
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_25_terrace.gtf	3
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_26_terrace.gtf	4
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_27_terrace.gtf	14
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_28_terrace.gtf	3
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_3_terrace.gtf	2
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_30_terrace.gtf	15
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_31_terrace.gtf	3
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_32_terrace.gtf	6
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_33_terrace.gtf	4
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_34_terrace.gtf	2
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_35_terrace.gtf	2
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_36_terrace.gtf	4
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_37_terrace.gtf	3
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_38_terrace.gtf	7
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_39_terrace.gtf	2
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_42_terrace.gtf	1
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_49_terrace.gtf	1
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_5_terrace.gtf	3
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_52_terrace.gtf	1
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_55_terrace.gtf	1
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_57_terrace.gtf	5
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_6_terrace.gtf	6
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_64_terrace.gtf	2
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_65_terrace.gtf	1
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_68_terrace.gtf	1
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_7_terrace.gtf	2
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_73_terrace.gtf	1
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_79_terrace.gtf	2
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_81_terrace.gtf	1
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_82_terrace.gtf	3
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_83_terrace.gtf	4
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_85_terrace.gtf	3
117	chr11	8429505	8429665	-	204	chr11:8429505-8429665	Tube_87_terrace.gtf	1
