circID	circAtlas	circBank	circBase	circPedia	Ntools
cRNA_0050	mmu-Arl15_0002	mmu_Arl15_0008000		MMU_CIRCpedia_3630	3
cRNA_0051	mmu-Asxl2_0023	mmu_Asxl2_0004000	mm9_circ_007078	MMU_CIRCpedia_17303	4
cRNA_0052	mmu-Asxl2_0022	mmu_Asxl2_0007000		MMU_CIRCpedia_17307	3
cRNA_0053	mmu-Dtnb_0002	mmu_Dtnb_0034000	mm9_circ_018538	MMU_CIRCpedia_18044	4
cRNA_0054	mmu-Dtnb_0003	mmu_Dtnb_0035000	mm9_circ_001407	MMU_CIRCpedia_18045	4
cRNA_0055	mmu-Dtnb_0028	mmu_Dtnb_0048000	mm9_circ_006216	MMU_CIRCpedia_18081	4
cRNA_0056	mmu-Dnmt3a_0007,mmu-Dnmt3a_0033	mmu_Dnmt3a_0006000,mmu_Dnmt3a_0013000		MMU_CIRCpedia_18870	3
cRNA_0057	mmu-Atad2b_0021	mmu_Atad2b_0103000	mm9_circ_015239	MMU_CIRCpedia_21595	4
cRNA_0058	mmu-Nbas_0002	mmu_Nbas_0199000		MMU_CIRCpedia_8172	3
cRNA_0059	mmu-Bcap29_0001	mmu_Bcap29_0017000		MMU_CIRCpedia_16203	3
cRNA_0060	mmu-Snx13_0040	mmu_Snx13_0047000		MMU_CIRCpedia_17616	3
cRNA_0061	mmu-Agmo_0001	mmu_Agmo_0002000		MMU_CIRCpedia_38820	3
cRNA_0062	mmu-Strn3_0030	mmu_Strn3_0019000	mm9_circ_011824	MMU_CIRCpedia_22126	4
cRNA_0063	mmu-Strn3_0028	mmu_Strn3_0058000	mm9_circ_016984	MMU_CIRCpedia_22140	4
cRNA_0064	mmu-Strn3_0031	mmu_Strn3_0077000	mm9_circ_004275	MMU_CIRCpedia_22143	4
cRNA_0065	mmu-Hectd1_0012	mmu_Hectd1_0027000	mm9_circ_002888	MMU_CIRCpedia_22183	4
cRNA_0066	mmu-Hectd1_0024	mmu_Hectd1_0046000	mm9_circ_008488	MMU_CIRCpedia_22192	4
cRNA_0067	mmu-Akap6_0008,mmu-Akap6_0032	mmu_Akap6_0070000,mmu_Akap6_0075000	mm9_circ_007720	MMU_CIRCpedia_22533	4
cRNA_0068	mmu-Psma6_0002	mmu_Psma6_0003000		MMU_CIRCpedia_23153	3
cRNA_0069	mmu-Ralgapa1_0012	mmu_Ralgapa1_0117000		MMU_CIRCpedia_23273	3
cRNA_0070	mmu-Mipol1_0018,mmu-Mipol1_0040	mmu_Mipol1_0012000,mmu_Mipol1_0022000		MMU_CIRCpedia_23802	3
cRNA_0071	mmu-Mipol1_0010	mmu_Mipol1_0028000	mm9_circ_017659	MMU_CIRCpedia_23808	4
cRNA_0072	mmu-Mipol1_0009	mmu_Mipol1_0029000		MMU_CIRCpedia_23809	3
cRNA_0073	mmu-Trappc6b_0001	mmu_Trappc6b_0005000		MMU_CIRCpedia_24378	3
cRNA_0074	mmu-Klhdc2_0003,mmu-Klhdc2_0011	mmu_Klhdc2_0003000,mmu_Klhdc2_0009000	mm9_circ_005129	MMU_CIRCpedia_27142	4
cRNA_0075	mmu-Ppp2r5e_0007	mmu_Ppp2r5e_0014000		MMU_CIRCpedia_29068	3
cRNA_0076	mmu-Mpp5_0018	mmu_Mpp5_0006000		MMU_CIRCpedia_29994	3
cRNA_0077	mmu-Smoc1_0004	mmu_Smoc1_0002000	mm9_circ_017591	MMU_CIRCpedia_30710	4
cRNA_0078	mmu-Sipa1l1_0031	mmu_Sipa1l1_0048000	mm9_circ_007155	MMU_CIRCpedia_31036	4
cRNA_0079	mmu-Sipa1l1_0001	mmu_Sipa1l1_0066000		MMU_CIRCpedia_31045	3
cRNA_0080	mmu-Zfyve1_0002	mmu_Zfyve1_0028000		MMU_CIRCpedia_31341	3
cRNA_0081	mmu-Ptgr2_0009	mmu_Ptgr2_0018000	mm9_circ_005034	MMU_CIRCpedia_31596	4
cRNA_0082	mmu-Ylpm1_0009	mmu_Ylpm1_0010000	mm9_circ_015402	MMU_CIRCpedia_31932	4
cRNA_0083	mmu-Ttll5_0044	mmu_Ttll5_0059000		MMU_CIRCpedia_32173	3
cRNA_0084	mmu-Gpatch2l_0009	mmu_Gpatch2l_0010000	mm9_circ_016628	MMU_CIRCpedia_32350	4
cRNA_0085	mmu-Zc3h14_0004	mmu_Zc3h14_0006000		MMU_CIRCpedia_35866	3
cRNA_0086	mmu-Foxn3_0007	mmu_Foxn3_0029000		MMU_CIRCpedia_36124	3
cRNA_0087	mmu-Foxn3_0001	mmu_Foxn3_0035000		MMU_CIRCpedia_36126	3
cRNA_0088	mmu-Tc2n_0009	mmu_Tc2n_0035000		MMU_CIRCpedia_555	3
cRNA_0089	mmu-Trip11_0002	mmu_Trip11_0046000		MMU_CIRCpedia_586	3
cRNA_0090	mmu-Bcl11b_0009,mmu-Bcl11b_0008	mmu_Bcl11b_0019000,mmu_Bcl11b_0020000	mm9_circ_001140	MMU_CIRCpedia_2209	4
cRNA_0091	mmu-Setd3_0002	mmu_Setd3_0007000		MMU_CIRCpedia_2248	3
cRNA_0092	mmu-Traf3_0002	mmu_Traf3_0012000		MMU_CIRCpedia_3119	3
cRNA_0093	mmu-Mark3_0014	mmu_Mark3_0002000	mm9_circ_000427	MMU_CIRCpedia_3203	4
cRNA_0094	mmu-Mark3_0013	mmu_Mark3_0004000	mm9_circ_011801	MMU_CIRCpedia_3204	4
cRNA_0095	mmu-Klc1_0007	mmu_Klc1_0021000		MMU_CIRCpedia_3241	3
cRNA_0096	mmu-Klc1_0006	mmu_Klc1_0023000		MMU_CIRCpedia_3242	3
cRNA_0097	mmu-Ppp1r13b_0003	mmu_Ppp1r13b_0023000	mm9_circ_012091	MMU_CIRCpedia_3259	4
cRNA_0098	mmu-Esyt2_0012	mmu_Esyt2_0007000	mm9_circ_015704	MMU_CIRCpedia_4012	4
cRNA_0099	mmu-Mtmr3_0023	mmu_Mtmr3_0045000		MMU_CIRCpedia_20534	3
cRNA_0100	mmu-Mtmr3_0025,mmu-Mtmr3_0031	mmu_Mtmr3_0050000,mmu_Mtmr3_0046000		MMU_CIRCpedia_20535	3
cRNA_0101	mmu-Nf2_0002	mmu_Nf2_0050000		MMU_CIRCpedia_21260	3
cRNA_0102	mmu-Nudcd3_0001	mmu_Nudcd3_0012000		MMU_CIRCpedia_25037	3
cRNA_0103	mmu-Nudcd3_0002	mmu_Nudcd3_0031000	mm9_circ_005786	MMU_CIRCpedia_25157	4
cRNA_0104	mmu-Ogdh_0003	mmu_Ogdh_0017000	mm9_circ_001335	MMU_CIRCpedia_25484	4
cRNA_0105	mmu-Tns3_0011	mmu_Tns3_0011000	mm9_circ_005801	MMU_CIRCpedia_31802	4
cRNA_0106	mmu-Tns3_0010	mmu_Tns3_0019000	mm9_circ_000787	MMU_CIRCpedia_31996	4
cRNA_0107	mmu-Cobl_0007	mmu_Cobl_0014000		MMU_CIRCpedia_5972	3
cRNA_0108	mmu-Cobl_0002	mmu_Cobl_0018000	mm9_circ_018049	MMU_CIRCpedia_6080	4
cRNA_0109	mmu-Cobl_0001	mmu_Cobl_0023000		MMU_CIRCpedia_6175	3
cRNA_0110	mmu-Aftph_0006	mmu_Aftph_0034000	mm9_circ_005474	MMU_CIRCpedia_13042	4
cRNA_0111	mmu-Vps54_0031	mmu_Vps54_0015000	mm9_circ_017735	MMU_CIRCpedia_13188	4
cRNA_0112	mmu-Ehbp1_0016,mmu-Ehbp1_0007	mmu_Ehbp1_0021000,mmu_Ehbp1_0022000	mm9_circ_008302	MMU_CIRCpedia_13445	4
cRNA_0113	mmu-Pus10_0002	mmu_Pus10_0009000		MMU_CIRCpedia_13972	3
cRNA_0114	mmu-Vrk2_0001	mmu_Vrk2_0010000		MMU_CIRCpedia_14788	3
cRNA_0115	mmu-Efemp1_0001	mmu_Efemp1_0001000		MMU_CIRCpedia_15312	3
cRNA_0116	mmu-Asb3_0003	mmu_Asb3_0025000		MMU_CIRCpedia_16024	3
cRNA_0117	mmu-Pwwp2a_0001	mmu_Pwwp2a_0010000	mm9_circ_012559	MMU_CIRCpedia_20143	4
cRNA_0118	mmu-Canx_0019	mmu_Canx_0024000	mm9_circ_015101	MMU_CIRCpedia_21794	4
cRNA_0119	mmu-Canx_0021,mmu-Canx_0065	mmu_Canx_0040000,mmu_Canx_0035000		MMU_CIRCpedia_21797	3
cRNA_0120	mmu-Canx_0017	mmu_Canx_0041000		MMU_CIRCpedia_21800	3
cRNA_0121	mmu-Specc1_0007	mmu_Specc1_0035000	mm9_circ_001346	MMU_CIRCpedia_25187	4
cRNA_0122	mmu-Ttc19_0003	mmu_Ttc19_0002000		MMU_CIRCpedia_25214	3
cRNA_0123	mmu-Ncor1_0002	mmu_Ncor1_0242000		MMU_CIRCpedia_25291	3
cRNA_0124	mmu-Myocd_0001	mmu_Myocd_0017000		MMU_CIRCpedia_26108	3
cRNA_0125	mmu-Ndel1_0012	mmu_Ndel1_0003000		MMU_CIRCpedia_27059	3
cRNA_0126	mmu-Fxr2_0001	mmu_Fxr2_0014000	mm9_circ_005799	MMU_CIRCpedia_27231	4
cRNA_0127	mmu-Rabep1_0026	mmu_Rabep1_0010000	mm9_circ_001848	MMU_CIRCpedia_27619	4
cRNA_0128	mmu-Rabep1_0027	mmu_Rabep1_0011000	mm9_circ_001327	MMU_CIRCpedia_27620	4
cRNA_0129	mmu-Rabep1_0012	mmu_Rabep1_0012000		MMU_CIRCpedia_27621	3
cRNA_0130	mmu-Rabep1_0029	mmu_Rabep1_0065000	mm9_circ_015723	MMU_CIRCpedia_27653	4
cRNA_0131	mmu-Ankfy1_0012	mmu_Ankfy1_0003000	mm9_circ_001643	MMU_CIRCpedia_28146	4
cRNA_0132	mmu-Smg6_0006	mmu_Smg6_0005000	mm9_circ_017983	MMU_CIRCpedia_28887	4
cRNA_0133	mmu-Slc43a2_0005	mmu_Slc43a2_0002000	mm9_circ_018417	MMU_CIRCpedia_29086	4
cRNA_0134	mmu-Crk_0001	mmu_Crk_0006000		MMU_CIRCpedia_29117	3
cRNA_0135	mmu-Ywhae_0001	mmu_Ywhae_0007000		MMU_CIRCpedia_29135	3
cRNA_0136	mmu-Taok1_0011	mmu_Taok1_0084000	mm9_circ_000973	MMU_CIRCpedia_29726	4
cRNA_0137	mmu-Spag5_0001	mmu_Spag5_0009000		MMU_CIRCpedia_29863	3
cRNA_0138		mmu_Nf1_0195000		MMU_CIRCpedia_30202	2
cRNA_0139	mmu-Acaca_0004	mmu_Acaca_0008000	mm9_circ_010321	MMU_CIRCpedia_31553	4
cRNA_0140	mmu-Aatf_0003	mmu_Aatf_0020000		MMU_CIRCpedia_31686	3
cRNA_0141	mmu-Bcas3_0008	mmu_Bcas3_0080000		MMU_CIRCpedia_32099	3
cRNA_0142	mmu-Rps6kb1_0004	mmu_Rps6kb1_0042000		MMU_CIRCpedia_32478	3
cRNA_0143	mmu-Trim37_0034,mmu-Trim37_0129	mmu_Trim37_0106000,mmu_Trim37_0113000		MMU_CIRCpedia_32764	3
cRNA_0144	mmu-Mbtd1_0019,mmu-Mbtd1_0028	mmu_Mbtd1_0018000,mmu_Mbtd1_0027000		MMU_CIRCpedia_34648	3
cRNA_0145	mmu-Socs7_0008	mmu_Socs7_0008000			2
cRNA_0146	mmu-Nmt1_0005	mmu_Nmt1_0009000	mm9_circ_017115	MMU_CIRCpedia_839	4
cRNA_0147	mmu-Kansl1_0037	mmu_Kansl1_0030000	mm9_circ_017714	MMU_CIRCpedia_1190	4
cRNA_0148	mmu-Kansl1_0038	mmu_Kansl1_0044000	mm9_circ_006502	MMU_CIRCpedia_1194	4
cRNA_0149	mmu-Helz_0024	mmu_Helz_0018000		MMU_CIRCpedia_2121	3
cRNA_0150	mmu-Axin2_0002	mmu_Axin2_0002000	mm9_circ_010014	MMU_CIRCpedia_2536	4
cRNA_0151	mmu-Evpl_0001	mmu_Evpl_0005000		MMU_CIRCpedia_216345	3
cRNA_0152	mmu-Sept9_0002	mmu_Sept9_0003000		MMU_CIRCpedia_4231	3
cRNA_0153	mmu-Sash1_0003	mmu_Sash1_0020000		MMU_CIRCpedia_32929	3
cRNA_0154	mmu-Stxbp5_0013,mmu-Stxbp5_0047	mmu_Stxbp5_0041000,mmu_Stxbp5_0039000	mm9_circ_010719	MMU_CIRCpedia_35705	4
cRNA_0155	mmu-Utrn_0025	mmu_Utrn_0033000	mm9_circ_009056	MMU_CIRCpedia_6294	4
cRNA_0156	mmu-Utrn_0028	mmu_Utrn_0039000	mm9_circ_004868	MMU_CIRCpedia_6313	4
cRNA_0157	mmu-Utrn_0030	mmu_Utrn_0088000		MMU_CIRCpedia_6626	3
cRNA_0158	mmu-Utrn_0026	mmu_Utrn_0173000		MMU_CIRCpedia_6860	3
cRNA_0159	mmu-Reps1_0006	mmu_Reps1_0003000	mm9_circ_017446	MMU_CIRCpedia_12311	4
cRNA_0160	mmu-Akap7_0001	mmu_Akap7_0017000	mm9_circ_000741	MMU_CIRCpedia_14415	4
cRNA_0161	mmu-Akap7_0002	mmu_Akap7_0029000	mm9_circ_010383	MMU_CIRCpedia_14437	4
cRNA_0162	mmu-Epb4.1l2_0008	mmu_Epb41l2_0005000		MMU_CIRCpedia_14533	3
cRNA_0163	mmu-L3mbtl3_0001	mmu_L3mbtl3_0016000		MMU_CIRCpedia_14744	3
cRNA_0164	mmu-Rnf217_0005	mmu_Rnf217_0010000	mm9_circ_015992	MMU_CIRCpedia_16173	4
cRNA_0165	mmu-Slc16a10_0002	mmu_Slc16a10_0010000		MMU_CIRCpedia_19283	3
cRNA_0166	mmu-Ppil6_0001	mmu_Ppil6_0001000		MMU_CIRCpedia_19658	3
cRNA_0167	mmu-Foxo3_0001	mmu_Foxo3_0003000		MMU_CIRCpedia_19807	3
cRNA_0168	mmu-Pdss2_0006	mmu_Pdss2_0022000	mm9_circ_010770	MMU_CIRCpedia_20059	4
cRNA_0169	mmu-Ascc3_0030	mmu_Ascc3_0109000		MMU_CIRCpedia_21923	3
cRNA_0170	mmu-Ccar1_0009	mmu_Ccar1_0074000		MMU_CIRCpedia_25384	3
cRNA_0171	mmu-Mypn_0001	mmu_Mypn_0015000		MMU_CIRCpedia_25500	3
cRNA_0172	mmu-Reep3_0002	mmu_Reep3_0011000		MMU_CIRCpedia_26698	3
cRNA_0173	mmu-Jmjd1c_0006	mmu_Jmjd1c_0018000	mm9_circ_018701	MMU_CIRCpedia_26716	4
cRNA_0174	mmu-Specc1l_0006	mmu_Specc1l_0057000	mm9_circ_003232	MMU_CIRCpedia_29030	4
cRNA_0175	mmu-Pcnt_0001	mmu_Pcnt_0007000		MMU_CIRCpedia_29319	3
cRNA_0176	mmu-Ap3d1_0001	mmu_Ap3d1_0008000	mm9_circ_011925	MMU_CIRCpedia_30580	4
cRNA_0177	mmu-Ap3d1_0002	mmu_Ap3d1_0010000		MMU_CIRCpedia_30581	3
cRNA_0178	mmu-intergenic_001120	mmu_Gm4924_0004000	mm9_circ_009537	MMU_CIRCpedia_31054	4
cRNA_0179	mmu-Ric8b_0019	mmu_Ric8b_0006000	mm9_circ_004072	MMU_CIRCpedia_31863	4
cRNA_0180	mmu-Gnptab_0001	mmu_Gnptab_0007000		MMU_CIRCpedia_33100	3
cRNA_0181	mmu-Nr1h4_0001	mmu_Nr1h4_0003000		MMU_CIRCpedia_39015	3
cRNA_0182	mmu-Uhrf1bp1l_0001	mmu_Uhrf1bp1l_0045000		MMU_CIRCpedia_33529	3
cRNA_0183	mmu-Elk3_0001	mmu_Elk3_0002000		MMU_CIRCpedia_34488	3
cRNA_0184	mmu-Eea1_0014	mmu_Eea1_0008000		MMU_CIRCpedia_35233	3
cRNA_0185	mmu-Acss3_0006	mmu_Acss3_0019000		MMU_CIRCpedia_39032	3
cRNA_0186	mmu-Ppp1r12a_0015	mmu_Ppp1r12a_0035000		MMU_CIRCpedia_2269	3
cRNA_0187	mmu-Cnot2_0012,mmu-Cnot2_0042	mmu_Cnot2_0047000,mmu_Cnot2_0042000	mm9_circ_011356	MMU_CIRCpedia_4100	4
cRNA_0188	mmu-Cnot2_0024	mmu_Cnot2_0054000		MMU_CIRCpedia_4107	3
cRNA_0189	mmu-Cpsf6_0012	mmu_Cpsf6_0019000	mm9_circ_008959	MMU_CIRCpedia_4243	4
cRNA_0190	mmu-Srgap1_0001	mmu_Srgap1_0028000	mm9_circ_014642	MMU_CIRCpedia_5647	4
cRNA_0191	mmu-Snx9_0001	mmu_Snx9_0007000		MMU_CIRCpedia_24294	3
cRNA_0192	mmu-Telo2_0001	mmu_Telo2_0010000		MMU_CIRCpedia_14391	3
cRNA_0193	mmu-Luc7l_0003	mmu_Luc7l_0015000	mm9_circ_003008	MMU_CIRCpedia_14734	4
cRNA_0194	mmu-Crebrf_0008	mmu_Crebrf_0022000		MMU_CIRCpedia_14830	3
cRNA_0195	mmu-Crebrf_0009	mmu_Crebrf_0041000	mm9_circ_004122	MMU_CIRCpedia_14835	4
cRNA_0196	mmu-Crebrf_0006	mmu_Crebrf_0043000	mm9_circ_015157	MMU_CIRCpedia_14837	4
cRNA_0197	mmu-Crebrf_0001	mmu_Crebrf_0049000		MMU_CIRCpedia_14838	3
cRNA_0198	mmu-Crebrf_0010	mmu_Crebrf_0055000		MMU_CIRCpedia_14842	3
cRNA_0199	mmu-Fkbp5_0006	mmu_Fkbp5_0025000		MMU_CIRCpedia_15214	3
cRNA_0200	mmu-Brpf3_0002	mmu_Brpf3_0007000		MMU_CIRCpedia_15295	3
cRNA_0201	mmu-Btnl1_0001	mmu_Btnl1_0002000			2
cRNA_0202	mmu-Cd2ap_0002	mmu_Cd2ap_0047000		MMU_CIRCpedia_19949	3
cRNA_0203	mmu-Rftn1_0003	mmu_Rftn1_0005000		MMU_CIRCpedia_21719	3
cRNA_0204	mmu-Rftn1_0002	mmu_Rftn1_0010000		MMU_CIRCpedia_21721	3
cRNA_0205	mmu-Plcl2_0002	mmu_Plcl2_0022000	mm9_circ_016423	MMU_CIRCpedia_21887	4
cRNA_0206	mmu-Tbc1d5_0002,mmu-Tbc1d5_0127	mmu_Tbc1d5_0070000,mmu_Tbc1d5_0091000		MMU_CIRCpedia_21984	3
cRNA_0207	mmu-Emr1_0001	mmu_Adgre1_0016000		MMU_CIRCpedia_23820	3
cRNA_0208	mmu-Man2a1_0024	mmu_Man2a1_0002000	mm9_circ_006640	MMU_CIRCpedia_25884	4
cRNA_0209	mmu-Vapa_0006	mmu_Vapa_0009000	mm9_circ_014222	MMU_CIRCpedia_26207	4
cRNA_0210	mmu-Ankrd12_0020	mmu_Ankrd12_0040000	mm9_circ_015645	MMU_CIRCpedia_26408	4
cRNA_0211				MMU_CIRCpedia_26417	1
cRNA_0212	mmu-Ptprm_0013	mmu_Ptprm_0022000		MMU_CIRCpedia_26656	3
cRNA_0213	mmu-Epb4.1l3_0021	mmu_Epb41l3_0006000	mm9_circ_009155	MMU_CIRCpedia_27127	4
cRNA_0214	mmu-Lpin2_0004	mmu_Lpin2_0015000		MMU_CIRCpedia_27732	3
cRNA_0215	mmu-Xdh_0001	mmu_Xdh_0005000		MMU_CIRCpedia_39091	3
cRNA_0216	mmu-Xdh_0008	mmu_Xdh_0009000			2
cRNA_0217	mmu-Memo1_0001	mmu_Memo1_0038000	mm9_circ_006467	MMU_CIRCpedia_28646	4
cRNA_0218	mmu-Crim1_0006	mmu_Crim1_0036000	mm9_circ_015506	MMU_CIRCpedia_29861	4
cRNA_0219	mmu-Rmdn2_0002	mmu_Rmdn2_0010000		MMU_CIRCpedia_30225	3
cRNA_0220	mmu-Hnrnpll_0006	mmu_Hnrnpll_0020000	mm9_circ_018352	MMU_CIRCpedia_30319	4
cRNA_0221	mmu-Galm_0002	mmu_Galm_0006000		MMU_CIRCpedia_39101	3
cRNA_0222	mmu-Map4k3_0022	mmu_Map4k3_0078000		MMU_CIRCpedia_30563	3
cRNA_0223	mmu-Slc8a1_0016	mmu_Slc8a1_0016000		MMU_CIRCpedia_30810	3
cRNA_0224	mmu-Slc8a1_0014	mmu_Slc8a1_0025000	mm9_circ_000947	MMU_CIRCpedia_30819	4
cRNA_0225	mmu-intergenic_000192,mmu-intergenic_023916	mmu_Slc8a1_0059000,mmu_Slc8a1_0075000	mm9_circ_014302	MMU_CIRCpedia_30902	4
cRNA_0226	mmu-Srbd1_0033	mmu_Srbd1_0055000		MMU_CIRCpedia_32286	3
cRNA_0227	mmu-Epcam_0001	mmu_Epcam_0004000		MMU_CIRCpedia_212611	3
cRNA_0228	mmu-Foxn2_0001	mmu_Foxn2_0006000		MMU_CIRCpedia_33118	3
cRNA_0229	mmu-Crebbp_0014	mmu_Crebbp_0065000		MMU_CIRCpedia_19622	3
cRNA_0230	mmu-Txndc11_0004	mmu_Txndc11_0024000	mm9_circ_016242	MMU_CIRCpedia_3097	4
cRNA_0231	mmu-Gspt1_0009,mmu-Gspt1_0010	mmu_Gspt1_0029000,mmu_Gspt1_0033000		MMU_CIRCpedia_3345,MMU_CIRCpedia_3346	3
cRNA_0232	mmu-Snx29_0001	mmu_Snx29_0048000		MMU_CIRCpedia_3705	3
cRNA_0233	mmu-Parn_0014	mmu_Parn_0024000		MMU_CIRCpedia_8349	3
cRNA_0234	mmu-Bfar_0002	mmu_Bfar_0010000	mm9_circ_009604	MMU_CIRCpedia_8487	4
cRNA_0235	mmu-Marf1_0002	mmu_Marf1_0034000	mm9_circ_006366	MMU_CIRCpedia_9059	4
cRNA_0236	mmu-Mapk1_0006	mmu_Mapk1_0007000		MMU_CIRCpedia_11792	3
cRNA_0237	mmu-Psmd2_0001	mmu_Psmd2_0004000		MMU_CIRCpedia_13002	3
cRNA_0238	mmu-Dlg1_0002	mmu_Dlg1_0052000		MMU_CIRCpedia_16267	3
cRNA_0239	mmu-Dlg1_0023,mmu-Dlg1_0129	mmu_Dlg1_0080000,mmu_Dlg1_0085000	mm9_circ_017645	MMU_CIRCpedia_16275	4
cRNA_0240	mmu-Lrch3_0004	mmu_Lrch3_0011000	mm9_circ_007087	MMU_CIRCpedia_16720	4
cRNA_0241	mmu-Lrch3_0006	mmu_Lrch3_0043000	mm9_circ_017669	MMU_CIRCpedia_16739	4
cRNA_0242	mmu-Zfp148_0007	mmu_Zfp148_0015000	mm9_circ_000155	MMU_CIRCpedia_16907	4
cRNA_0243	mmu-Zfp148_0003	mmu_Zfp148_0041000		MMU_CIRCpedia_16919	3
cRNA_0244	mmu-Pdia5_0002	mmu_Pdia5_0018000		MMU_CIRCpedia_17738	3
