ID	seqnames	end	start	jxntype	overlapL	overlapR	MedianAS	GenomicSize	SplicedSize	LeftBorder	RightBorder	LeftEnvelope	RightEnvelope	EnvelopingStrand	EnvelopingJxnType	Exons	ExonStarts	Exonsizes
chr7:120651310-120656622	chr7	120656622	120651310	2	2	1	296	5312	395	4058	1681	.	.	.	.	2	0,5127	210,185
chr7:132549773-132552164	chr7	132552164	132549773	2	1	1	296	2391	1016	1400	10175	.	.	.	.	2	0,1540	165,851
chr7:99584369-99604747	chr7	99604747	99584369	1	1	0	296.5	20378	341	7969	9701	.	.	.	.	3	0,7796,20304	119,148,74
chr8:41529269-41537877	chr8	41537877	41529269	1	1	1	296	8608	2423	19547	27852	.	.	.	.	2	0,6381	196,2227
chr8:68335633-68361541	chr8	68361541	68335633	1	0	0	298	25908	553	79397	41191	.	.	.	.	5	0,21135,23277,25504,25701	90,60,114,82,207
chr8:73121748-73134150	chr8	73134150	73121748	2	0	2	297.5	12402	824	9458	587	.	.	.	.	7	0,807,3781,5121,5918,11086,12204	83,62,138,52,125,166,198
chr8:85498413-85498944	chr8	85498944	85498413	1	1	1	296	531	531	43816	1038	.	.	.	.	1	0	531
chr9:55745404-55767202	chr9	55767202	55745404	1	3	0	296	21798	621	21310	4467	.	.	.	.	5	0,19960,20287,20878,21627	141,113,119,77,171
chr9:66447344-66474185	chr9	66474185	66447344	2	0	4	296	26841	675	9671	9093	.	.	.	.	7	0,2450,3883,5681,7809,22491,26780	114,115,84,83,85,133,61
chr9:96474003-96493552	chr9	96493552	96474003	2	0	0	299	19549	396	9123	19864	.	.	.	.	4	0,10762,14142,19431	77,96,105,118
chrX:93141889-93145986	chrX	93145986	93141889	1	0	2	296	4097	660	15983	11815	.	.	.	.	2	0,4007	570,90
chr10:25143206-25165628	chr10	25165628	25143206	2	1	4	297	22422	581	27569	1941	.	.	.	.	4	0,4196,16584,22290	161,138,150,132
chr11:19948120-19958477	chr11	19958477	19948120	2	0	1	296.5	10357	413	16018	9574	.	.	.	.	3	0,7661,10292	178,170,65
chr1:138981084-138990709	chr1	138990709	138981084	2	0	0	299	9625	379	11302	18201	.	.	.	.	5	0,1194,5720,6928,9514	70,82,61,55,111
chr1:155049732-155073181	chr1	155073181	155049732	2	0	1	297	23449	660	15058	4504	.	.	.	.	6	0,3867,13791,17442,19232,23354	170,96,64,127,108,95
chr11:6143154-6143476	chr11	6143476	6143154	1	2	2	296	322	322	42526	6466	.	.	.	.	1	0	322
chr11:6263788-6267080	chr11	6267080	6263788	2	0	1	297	3292	295	2664	7797	.	.	.	.	2	0,3189	192,103
chr11:70765572-70775794	chr11	70775794	70765572	2	0	2	297	10222	333	29737	2042	.	.	.	.	2	0,10018	129,204
chr11:70765572-70777997	chr11	70777997	70765572	2	0	2	297	12425	495	29737	6397	.	.	.	.	3	0,10018,12264	129,205,161
chr11:8468199-8469570	chr11	8469570	8468199	1	2	4	299	1371	302	24861	11301	.	.	.	.	3	0,923,1241	105,67,130
chr12:111824644-111838867	chr12	111838867	111824644	2	0	1	297	14223	346	11780	35428	.	.	.	.	3	0,8204,14075	77,121,148
chr12:116281450-116287830	chr12	116287830	116281450	2	2	0	294	6380	420	36157	9990	.	.	.	.	5	0,973,3296,6009,6290	42,136,78,74,90
chr12:51806002-51807953	chr12	51807953	51806002	2	1	0	297	1951	380	2117	1253	.	.	.	.	2	0,1794	223,157
chr13:38072847-38083763	chr13	38083763	38072847	2	2	3	297	10916	679	29790	16234	.	.	.	.	5	0,3680,4900,9540,10752	102,108,214,91,164
chr14:27160556-27164577	chr14	27164577	27160556	2	0	2	298	4021	569	9214	3764	.	.	.	.	5	0,1551,2830,3287,3859	146,94,74,93,162
chr14:34413639-34417062	chr14	34417062	34413639	2	0	1	296.5	3423	1172	14207	27158	.	.	.	.	2	0,3304	1053,119
chr16:32770662-32782114	chr16	32782114	32770662	2	0	1	297	11452	628	35888	12135	.	.	.	.	5	0,1764,5007,9102,11342	145,128,107,138,110
chr16:70230433-70238207	chr16	70238207	70230433	2	3	2	297	7774	565	31695	36986	.	.	.	.	4	0,968,3382,7564	126,137,92,210
chr17:65899286-65902049	chr17	65902049	65899286	1	1	1	297	2763	339	5124	18165	.	.	.	.	3	0,1148,2610	81,105,153
chr17:80351923-80361070	chr17	80361070	80351923	2	1	1	297	9147	689	5684	8015	.	.	.	.	6	0,4113,4270,5312,6133,9028	72,74,98,87,239,119
chr19:57740062-57744050	chr19	57744050	57740062	2	0	4	298	3988	333	11397	22265	.	.	.	.	3	0,1594,3830	95,80,158
chr2:104301094-104302192	chr2	104302192	104301094	2	3	3	296	1098	1098	24113	21373	.	.	.	.	1	0	1098
chr2:128683157-128690983	chr2	128690983	128683157	0	0	2	300	7826	478	433	1240	.	.	.	.	6	0,187,1358,4223,5491,7767	107,60,105,75,72,59
chr3:88909080-88915184	chr3	88915184	88909080	2	2	2	297	6104	838	1848	15140	.	.	.	.	2	0,5368	102,736
chr5:106782697-106786501	chr5	106786501	106782697	1	2	0	296	3804	3540	15188	28149	.	.	.	.	3	0,778,1585	606,715,2219
chr5:110903263-110904632	chr5	110904632	110903263	2	1	2	296	1369	1369	1482	11544	.	.	.	.	1	0	1369
chr5:121940144-121941143	chr5	121941143	121940144	2	0	1	297	999	318	4289	3141	.	.	.	.	2	0,866	185,133
chr5:130216242-130219884	chr5	130219884	130216242	2	1	1	297	3642	353	15063	6903	.	.	.	.	2	0,3475	186,167
chr5:34000456-34003611	chr5	34003611	34000456	2	0	2	297	3155	789	21383	8342	.	.	.	.	2	0,2992	626,163
chr5:96276802-96281991	chr5	96281991	96276802	2	0	4	297	5189	396	13120	484	.	.	.	.	3	0,2115,5067	86,188,122
chr6:119897071-119897989	chr6	119897989	119897071	2	0	2	297	918	303	1032	1443	.	.	.	.	2	0,696	81,222
chr6:134518615-134519008	chr6	134519008	134518615	2	0	1	296	393	393	21058	24597	134497557	134543605	2	2	1	0	393
chr6:31395866-31410066	chr6	31410066	31395866	2	1	1	297	14200	608	5025	16364	.	.	.	.	5	0,7782,9205,12208,14007	70,144,90,111,193
chr8:3308383-3308934	chr8	3308934	3308383	2	0	2	296	551	551	46682	20094	.	.	.	.	1	0	551
chr8:68356769-68361541	chr8	68361541	68356769	2	0	0	296	4772	462	21046	41191	.	.	.	.	4	0,2141,4368,4565	59,114,82,207
chr8:80098413-80098993	chr8	80098993	80098413	2	1	1	296	580	580	15314	88	.	.	.	.	1	0	580
chr8:85590687-85591181	chr8	85591181	85590687	2	1	2	299	494	339	2627	2824	.	.	.	.	3	0,172,378	93,130,116
chr9:121960959-121966667	chr9	121966667	121960959	2	1	3	298	5708	870	10589	19554	.	.	.	.	3	0,734,5012	50,124,696
chr9:65701904-65702777	chr9	65702777	65701904	2	0	2	296	873	873	63420	31970	.	.	.	.	1	0	873
chr9:79994712-80011046	chr9	80011046	79994712	2	0	2	299.5	16334	499	19857	7546	.	.	.	.	6	0,2418,4836,6106,11455,16263	94,59,147,106,22,71
JH584304.1:25369-59773	JH584304.1	59773	25369	1	3	1	290.5	34404	30257	.	1608	.	.	.	.	7	0,29351,29742,30095,31616,33194,34222	29111,148,138,238,167,273,182
chr1:185118443-185129464	chr1	185129464	185118443	2	1	2	297.5	11021	604	1135	1126	.	.	.	.	5	0,812,8116,9783,10813	85,61,112,138,208
chr12:111559011-111584817	chr12	111584817	111559011	2	0	2	298	25806	363	17475	4861	.	.	.	.	4	0,11933,22818,25740	192,55,50,66
chr12:3492474-3507209	chr12	3507209	3492474	2	2	2	297	14735	345	14686	12090	.	.	.	.	4	0,2977,9187,14587	83,4,110,148
chr12:3667606-3698389	chr12	3698389	3667606	2	0	1	297	30783	516	20743	38348	.	.	.	.	4	0,15203,26310,30616	86,156,107,167
chr12:51694777-51708496	chr12	51708496	51694777	1	1	1	298	13719	707	252	6653	.	.	.	.	6	0,2109,4677,7407,13156,13615	142,128,175,83,75,104
chr15:82709432-82741485	chr15	82741485	82709432	2	1	2	296	32053	5866	9570	42217	.	.	.	.	2	0,26281	94,5772
chr15:88695500-88696362	chr15	88696362	88695500	2	1	0	297	862	328	4575	2294	.	.	.	.	2	0,758	224,104
chr16:93646018-93650786	chr16	93650786	93646018	2	0	2	297	4768	398	1699	1517	.	.	.	.	3	0,3958,4648	148,130,120
chr16:94184771-94204227	chr16	94204227	94184771	2	1	2	299	19456	919	2458	5185	.	.	.	.	10	0,433,871,1423,3424,4352,6289,8102,9199,19401	155,44,152,89,55,122,87,96,64,55
chr18:6111685-6115850	chr18	6115850	6111685	2	2	1	296	4165	792	38398	19953	.	.	.	.	2	0,4128	755,37
chr19:57366981-57367607	chr19	57367607	57366981	2	0	1	296	626	491	5146	1424	.	.	.	.	2	0,429	294,197
chr2:119264630-119276137	chr2	119276137	119264630	2	1	2	298	11507	715	815	1199	.	.	.	.	6	0,5225,7463,8233,10297,11311	60,97,82,211,69,196
chr2:157877916-157900747	chr2	157900747	157877916	2	0	0	297	22831	683	6950	11733	.	.	.	.	5	0,7409,11919,14090,22655	130,135,114,128,176
chr2:167348967-167353246	chr2	167353246	167348967	2	0	1	297	4279	374	3445	1190	.	.	.	.	3	0,3828,4164	151,108,115
chr2:167352796-167354544	chr2	167354544	167352796	2	0	1	298.25	1748	331	2087	2041	.	.	.	.	3	0,335,1640	107,116,108
chr3:152125652-152134469	chr3	152134469	152125652	2	0	0	296	8817	1837	23253	17796	.	.	.	.	3	0,2602,7261	126,155,1556
chr5:130216242-130226957	chr5	130226957	130216242	2	1	1	297	10715	521	15063	8892	.	.	.	.	3	0,3475,10548	186,168,167
chr6:50120699-50140629	chr6	50140629	50120699	2	0	3	297	19930	719	32591	13227	.	.	.	.	5	0,2054,14962,18866,19702	66,120,154,151,228
chr6:8537817-8579739	chr6	8579739	8537817	2	0	2	297	41922	508	17715	2840	.	.	.	.	4	0,20682,35367,41769	152,88,115,153
chr7:97310020-97313973	chr7	97313973	97310020	2	0	0	296	3953	1976	7605	5002	.	.	.	.	2	0,3746	1769,207
chr9:108405788-108411817	chr9	108411817	108405788	2	1	0	296	6029	1362	9762	7069	.	.	.	.	2	0,4997	330,1032
chr11:102937205-102946115	chr11	102946115	102937205	2	0	1	297	8910	357	3102	1093	.	.	.	.	3	0,5826,8818	145,120,92
chr1:172001510-172015027	chr1	172015027	172001510	2	1	3	298.5	13517	590	961	1478	.	.	.	.	6	0,1539,5963,12352,12911,13409	141,96,112,74,59,108
chr13:64391448-64396313	chr13	64396313	64391448	2	0	1	299	4865	357	17985	.	.	.	.	.	4	0,2890,3593,4770	93,77,92,95
chr14:8456108-8456690	chr14	8456690	8456108	2	1	2	296	582	366	28789	322	.	.	.	.	2	0,285	69,297
chr16:10934659-10946567	chr16	10946567	10934659	2	0	2	297	11908	446	4576	5564	.	.	.	.	3	0,5874,11691	130,99,217
chr18:10582055-10586041	chr18	10586041	10582055	2	2	1	296	3986	312	4295	1324	.	.	.	.	3	0,2192,3922	132,116,64
chr18:25472771-25478019	chr18	25478019	25472771	2	0	2	296.5	5248	770	49647	13313	.	.	.	.	2	0,5149	671,99
chr19:45619304-45628960	chr19	45628960	45619304	2	0	2	297	9656	512	39070	152	.	.	.	.	4	0,4869,5397,9560	95,134,187,96
chr2:139819527-139899419	chr2	139899419	139819527	1	2	2	297	79892	748	26027	8987	.	.	.	.	7	0,7521,18465,31091,64486,70634,79679	107,81,86,122,70,69,213
chr2:146730941-146733204	chr2	146733204	146730941	2	1	0	296	2263	950	18174	44518	.	.	.	.	2	0,1959	646,304
chr2:23427340-23435591	chr2	23435591	23427340	1	2	0	298	8251	874	16393	6329	.	.	.	.	7	0,132,4190,5868,7417,7824,8115	56,179,98,129,153,123,136
chr3:103217625-103218829	chr3	103218829	103217625	2	0	2	298	1204	398	29862	10031	.	.	.	.	3	0,514,1071	119,146,133
chr3:84810808-84811386	chr3	84811386	84810808	2	0	0	296	578	578	13248	50795	.	.	.	.	1	0	578
chr4:141244147-141249703	chr4	141249703	141244147	1	3	0	296	5556	804	22437	15771	.	.	.	.	2	0,5235	483,321
chr4:56906215-56912130	chr4	56912130	56906215	1	2	3	296	5915	274	2088	4571	.	.	.	.	3	0,3941,5832	99,92,83
chr5:106765937-106786501	chr5	106786501	106765937	2	0	0	296	20564	4003	.	28149	.	.	.	.	5	0,1468,16759,17538,18345	358,104,607,715,2219
chr5:106767406-106786501	chr5	106786501	106767406	2	0	2	296	19095	3644	1111	28149	.	.	.	.	4	0,15290,16069,16876	103,607,715,2219
chr5:135150360-135152871	chr5	135152871	135150360	2	0	4	297	2511	504	7772	4495	.	.	.	.	5	0,229,563,2143,2430	83,91,46,203,81
chr5:32977210-32979482	chr5	32979482	32977210	2	0	2	297	2272	352	24204	4819	.	.	.	.	3	0,726,2200	107,173,72
chr5:73668229-73692040	chr5	73692040	73668229	2	0	0	299	23811	485	121	9349	.	.	.	.	6	0,240,9229,11766,20617,23719	71,41,116,93,72,92
chr8:47966318-47967912	chr8	47967912	47966318	2	1	2	300	1594	457	660	1581	.	.	.	.	5	0,470,597,767,1500	146,56,80,81,94
chr9:7825616-7827010	chr9	7827010	7825616	2	2	2	296	1394	128	4395	6495	.	.	.	.	2	0,1315	49,79
chr10:25096509-25165628	chr10	25165628	25096509	2	1	1	297	69119	844	49362	1941	.	.	.	.	6	0,19014,46696,50893,63281,68987	148,114,162,138,150,132
chr1:138967738-138990709	chr1	138990709	138967738	2	1	0	297	22971	551	16851	18201	.	.	.	.	7	0,1923,13345,14540,19066,20274,22860	50,121,71,82,61,55,111
chr11:43595361-43596304	chr11	43596304	43595361	2	2	2	296	943	943	18108	14743	.	.	.	.	1	0	943
chr11:4467741-4481305	chr11	4481305	4467741	2	0	2	298	13564	544	10054	14883	.	.	.	.	5	0,3090,10094,10575,13480	167,84,118,91,84
chr11:69540554-69542549	chr11	69542549	69540554	2	1	1	297.25	1995	828	499	254	.	.	.	.	5	0,734,1115,1510,1794	110,88,230,199,201
chr1:53295788-53321251	chr1	53321251	53295788	1	2	0	297	25463	604	40281	8286	.	.	.	.	4	0,11198,18440,25311	164,104,184,152
chr15:41660870-41689448	chr15	41689448	41660870	2	0	2	297	28578	1721	8241	12199	.	.	.	.	8	0,2996,4107,16099,19607,22364,25852,28415	83,109,115,154,186,741,170,163
chr18:73808232-73811110	chr18	73811110	73808232	2	2	1	297	2878	583	12293	25390	.	.	.	.	3	0,609,2501	30,176,377
chr18:82973649-82975574	chr18	82975574	82973649	2	3	3	296	1925	1925	40800	29294	.	.	.	.	1	0	1925
chr19:43855028-43863459	chr19	43863459	43855028	1	1	0	297	8431	901	9958	14289	.	.	.	.	7	0,937,2215,2999,3572,7568,8237	105,132,201,19,149,101,194
chr19:4834752-4835595	chr19	4835595	4834752	2	2	2	296	843	843	.	1793	.	.	.	.	1	0	843
chr19:57740062-57766377	chr19	57766377	57740062	2	0	3	296	26315	396	11397	19479	.	.	.	.	4	0,1594,3830,26253	95,80,159,62
chr4:126708049-126710267	chr4	126710267	126708049	2	2	3	296	2218	349	21960	7169	.	.	.	.	2	0,2116	247,102
chr5:32797675-32821744	chr5	32821744	32797675	2	0	3	297	24069	1433	28493	20150	.	.	.	.	10	0,4676,11325,12631,12825,14774,15096,18703,20420,23937	273,101,100,105,151,157,181,78,155,132
chr9:45802102-45809789	chr9	45809789	45802102	1	2	0	296	7687	342	18836	1254	.	.	.	.	3	0,5280,7627	140,142,60
chr9:62826633-62830937	chr9	62830937	62826633	2	0	0	299	4304	361	6495	28100	.	.	.	.	4	0,1106,3929,4219	135,92,49,85
chr9:96484766-96493552	chr9	96493552	96484766	1	3	0	299	8786	318	10686	19864	.	.	.	.	3	0,3379,8668	95,105,118
chr10:75109851-75115795	chr10	75115795	75109851	2	0	3	297	5944	345	6427	27275	.	.	.	.	3	0,2753,5841	84,158,103
chr13:17937689-17947542	chr13	17947542	17937689	2	0	2	297	9853	1141	11243	30480	.	.	.	.	4	0,1849,3331,9196	171,141,172,657
chr13:55381708-55395890	chr13	55395890	55381708	2	0	2	297	14182	2870	19744	12266	.	.	.	.	3	0,4794,11622	136,174,2560
chr14:21676787-21714816	chr14	21714816	21676787	2	0	0	296.5	38029	1636	957	3582	.	.	.	.	9	0,2093,4602,7756,10827,34023,34708,35438,37737	122,117,143,163,95,233,161,310,292
chr17:66344488-66360086	chr17	66360086	66344488	1	3	0	297	15598	434	5165	23299	.	.	.	.	3	0,12292,15460	147,149,138
chr17:88770141-88770691	chr17	88770691	88770141	2	0	2	296	550	550	3044	12592	.	.	.	.	1	0	550
chr18:79129766-79130395	chr18	79130395	79129766	2	0	2	296	629	629	162508	22007	.	.	.	.	1	0	629
chr2:48760301-48763485	chr2	48763485	48760301	2	2	0	297	3184	474	55462	16824	.	.	.	.	3	0,2767,3029	208,111,155
chr2:61443995-61458183	chr2	61458183	61443995	2	0	2	298	14188	377	19449	1445	.	.	.	.	3	0,13254,14069	148,110,119
chr3:106438453-106446919	chr3	106446919	106438453	2	0	0	296.5	8466	705	11043	181	.	.	.	.	3	0,2217,8052	142,149,414
chr3:35970369-35975336	chr3	35975336	35970369	2	0	3	296.5	4967	518	6940	11005	.	.	.	.	3	0,2780,4750	131,170,217
chr3:78873709-78874082	chr3	78874082	78873709	2	1	0	296	373	373	.	.	.	.	.	.	1	0	373
chr4:108940286-108944682	chr4	108944682	108940286	2	0	0	298	4396	357	9939	4175	.	.	.	.	3	0,3237,4305	160,106,91
chr5:118731398-118731635	chr5	118731635	118731398	2	1	1	296	237	237	32475	77442	.	.	.	.	1	0	237
chr6:134735582-134738397	chr6	134738397	134735582	2	2	2	297	2815	728	16687	244	.	.	.	.	2	0,2226	139,589
chr6:47553470-47554601	chr6	47554601	47553470	1	2	0	296	1131	253	18241	17226	.	.	.	.	2	0,1007	129,124
chr6:93731995-93750670	chr6	93750670	93731995	1	1	0	298	18675	346	7639	11755	.	.	.	.	4	0,2640,5693,18592	93,111,59,83
chr7:89604739-89611569	chr7	89611569	89604739	2	1	0	299	6830	340	467	2367	.	.	.	.	3	0,723,6724	74,160,106
chr7:89838358-89846228	chr7	89846228	89838358	2	1	2	299	7870	550	1198	9139	.	.	.	.	7	0,2005,2208,2503,5122,6504,7765	108,118,32,101,25,61,105
chr9:44740081-44740568	chr9	44740568	44740081	2	0	0	297	487	301	1824	778	.	.	.	.	2	0,293	107,194
chr9:83870829-83894672	chr9	83894672	83870829	2	1	3	297.5	23843	611	2653	56485	.	.	.	.	5	0,364,2937,21477,23732	134,157,110,99,111
chr10:12312025-12331308	chr10	12331308	12312025	1	1	0	297	19283	728	14547	7721	.	.	.	.	5	0,3345,5654,11725,19081	112,168,159,87,202
chr12:51702185-51708496	chr12	51708496	51702185	2	1	0	299	6311	261	2556	6653	.	.	.	.	3	0,5748,6207	82,75,104
chr12:51819057-51819488	chr12	51819488	51819057	2	2	1	298	431	344	2908	1121	.	.	.	.	2	0,264	177,167
chr13:58339536-58346884	chr13	58346884	58339536	1	2	0	296	7348	937	8397	16213	.	.	.	.	5	0,354,1529,4834,7196	244,160,264,117,152
chr14:21566694-21567566	chr14	21567566	21566694	2	2	2	296	872	872	15547	12757	.	.	.	.	1	0	872
chr14:4458426-4461127	chr14	4461127	4458426	2	1	1	297	2701	354	15366	5940	.	.	.	.	2	0,2553	206,148
chr14:54899625-54904618	chr14	54904618	54899625	2	1	0	297	4993	1689	10309	11581	.	.	.	.	4	0,1418,2203,4904	116,220,1264,89
chr14:72800924-72822284	chr14	72822284	72800924	2	0	1	297	21360	1344	1767	4909	.	.	.	.	11	0,1121,2612,3825,5357,7950,9805,10867,11038,19472,21090	69,140,88,176,126,55,140,61,159,60,270
chr17:64931523-64932446	chr17	64932446	64931523	2	1	3	296	923	397	22657	11032	.	.	.	.	2	0,778	252,145
chr19:4837389-4844037	chr19	4844037	4837389	2	2	2	296	6648	1300	1793	7541	.	.	.	.	3	0,5036,6454	682,424,194
chr3:66901850-66903923	chr3	66903923	66901850	2	0	2	297	2073	322	8328	85945	.	.	.	.	2	0,1947	196,126
chr4:132384004-132400343	chr4	132400343	132384004	2	0	1	299	16339	427	17537	7723	.	.	.	.	5	0,5201,10461,13495,16202	96,45,81,68,137
chr6:108790588-108795574	chr6	108795574	108790588	2	0	3	298	4986	391	30249	2889	.	.	.	.	5	0,1356,1630,4617,4915	81,75,95,69,71
chr6:134483159-134490382	chr6	134490382	134483159	2	1	2	297	7223	900	19524	6976	.	.	.	.	4	0,1089,4959,7026	172,398,133,197
chr6:35054916-35057161	chr6	35057161	35054916	2	2	0	296	2245	464	7677	53275	.	.	.	.	2	0,1979	198,266
chr6:47478102-47479524	chr6	47479524	47478102	2	0	2	298	1422	307	3779	5635	.	.	.	.	3	0,530,1258	51,92,164
chr7:115987079-115990628	chr7	115990628	115987079	2	0	0	297.5	3549	379	9080	2807	.	.	.	.	4	0,197,2599,3428	64,81,113,121
chr8:124109266-124110182	chr8	124110182	124109266	2	0	2	296	916	194	965	905	.	.	.	.	2	0,797	75,119
chr9:62820032-62830937	chr9	62830937	62820032	2	0	0	299	10905	468	9917	28100	.	.	.	.	5	0,6600,7707,10530,10820	106,136,92,49,85
chr11:31005458-31011586	chr11	31011586	31005458	1	0	0	297	6128	627	26391	2409	.	.	.	.	4	0,643,3363,5930	113,137,179,198
chr11:50198297-50199756	chr11	50199756	50198297	1	0	1	298	1459	418	2954	1442	.	.	.	.	3	0,839,1317	193,83,142
chr1:181653187-181659797	chr1	181659797	181653187	2	0	1	297	6610	531	3994	3825	.	.	.	.	4	0,3089,5919,6526	55,198,194,84
chr12:13532387-13534045	chr12	13534045	13532387	2	0	2	295	1658	586	8148	29325	.	.	.	.	2	0,1323	251,335
chr12:85910338-85926249	chr12	85926249	85910338	2	0	1	298	15911	460	6101	9683	.	.	.	.	5	0,960,12926,14822,15803	70,86,103,93,108
chr13:69661009-69664022	chr13	69664022	69661009	2	0	0	299	3013	293	2162	17584	.	.	.	.	3	0,2074,2889	121,48,124
chr15:61978997-61979314	chr15	61979314	61978997	2	2	0	296	317	317	63049	41773	.	.	.	.	1	0	317
chr19:53975885-53976814	chr19	53976814	53975885	2	1	1	296	929	929	37510	14625	.	.	.	.	1	0	929
chr2:146182299-146184669	chr2	146184669	146182299	2	0	1	296	2370	844	5763	2636	.	.	.	.	2	0,1598	72,772
chr2:24703539-24715079	chr2	24715079	24703539	1	0	1	297	11540	331	7158	11328	.	.	.	.	3	0,2203,11417	105,103,123
chr3:121021959-121029413	chr3	121029413	121021959	2	1	1	299	7454	547	16938	11237	.	.	.	.	5	0,537,2923,6732,7359	95,60,91,206,95
chr4:108336070-108336938	chr4	108336938	108336070	2	0	0	296	868	868	18672	6712	.	.	.	.	1	0	868
chr4:117439797-117450359	chr4	117450359	117439797	2	1	0	298	10562	270	17701	16457	.	.	.	.	3	0,6497,10470	117,61,92
chr5:110413378-110415131	chr5	110415131	110413378	2	1	3	298	1753	527	5074	2386	.	.	.	.	4	0,227,398,1574	131,90,127,179
