circID	Cons_coords	seqnames	start	end	width	Ntools	CIRI2	Terrace	circExplorer2	find_circ	starchip
cRNA_0012	chrX:133162326-133168310	chrX	133162326	133168310	5985	4	chrX:133162326-133168310	NA	chrX:133162326-133168310	chrX:133162326-133168310	chrX:133162326-133168310
cRNA_0013	chrX:141535036-141617389	chrX	141535036	141617389	82354	4	chrX:141535036-141617389	NA	chrX:141535036-141617389	chrX:141535036-141617389	chrX:141535036-141617389
cRNA_0014	chrX:141615497-141617389	chrX	141615497	141617389	1893	2	NA	NA	chrX:141615497-141617389	chrX:141615497-141617389	NA
cRNA_0015	chrX:150618220-150626151	chrX	150618220	150626151	7932	3	chrX:150618220-150626151	NA	chrX:150618220-150626151	NA	chrX:150618220-150626151
cRNA_0016	chrX:151036420-151036857	chrX	151036420	151036857	438	4	chrX:151036420-151036857	NA	chrX:151036420-151036857	chrX:151036420-151036857	chrX:151036420-151036857
cRNA_0017	chr13:11695852-11702899	chr13	11695852	11702899	7048	5	chr13:11695852-11702899	chr13:11695852-11702899	chr13:11695852-11702899	chr13:11695852-11702899	chr13:11695852-11702899
cRNA_0018	chr13:11784738-11800027	chr13	11784738	11800027	15290	4	chr13:11784738-11800027	NA	chr13:11784738-11800027	chr13:11784738-11800027	chr13:11784738-11800027
cRNA_0019	chr13:12469616-12474197	chr13	12469616	12474197	4582	3	chr13:12469616-12474197	NA	chr13:12469616-12474197	NA	chr13:12469616-12474197
cRNA_0020	chr13:17924842-17947542	chr13	17924842	17947542	22701	3	chr13:17924842-17947542	NA	chr13:17924842-17947542	NA	chr13:17924842-17947542
cRNA_0021	chr13:17937689-17947542	chr13	17937689	17947542	9854	4	chr13:17937689-17947542	NA	chr13:17937689-17947542	chr13:17937689-17947542	chr13:17937689-17947542
cRNA_0022	chr13:18994602-18998463	chr13	18994602	18998463	3862	3	chr13:18994602-18998463	NA	chr13:18994602-18998463	NA	chr13:18994602-18998463
cRNA_0023	chr13:24248560-24278553	chr13	24248560	24278553	29994	3	chr13:24248560-24278553	NA	chr13:24248560-24278553	NA	chr13:24248560-24278553
cRNA_0024	chr13:32284340-32312082	chr13	32284340	32312082	27743	3	chr13:32284340-32312082	NA	chr13:32284340-32312082	NA	chr13:32284340-32312082
cRNA_0025	chr13:35974084-36000558	chr13	35974084	36000558	26475	3	chr13:35974084-36000558	NA	chr13:35974084-36000558	NA	chr13:35974084-36000558
cRNA_0026	chr13:35999892-36000558	chr13	35999892	36000558	667	5	chr13:35999892-36000558	chr13:35999892-36000558	chr13:35999892-36000558	chr13:35999892-36000558	chr13:35999892-36000558
cRNA_0027	chr13:36416105-36430477	chr13	36416105	36430477	14373	4	chr13:36416105-36430477	NA	chr13:36416105-36430477	chr13:36416105-36430477	chr13:36416105-36430477
cRNA_0028	chr13:38072847-38083763	chr13	38072847	38083763	10917	4	chr13:38072847-38083763	NA	chr13:38072847-38083763	chr13:38072847-38083763	chr13:38072847-38083763
cRNA_0029	chr13:41492053-41492496	chr13	41492053	41492496	444	4	chr13:41492053-41492496	NA	chr13:41492053-41492496	chr13:41492053-41492496	chr13:41492053-41492496
cRNA_0030	chr13:45888591-46110051	chr13	45888591	46110051	221461	2	NA	NA	chr13:45888591-46110051	chr13:45888591-46110051	NA
cRNA_0031	chr13:49038749-49039354	chr13	49038749	49039354	606	4	chr13:49038749-49039354	NA	chr13:49038749-49039354	chr13:49038749-49039354	chr13:49038749-49039354
cRNA_0032	chr13:54875723-54879265	chr13	54875723	54879265	3543	4	chr13:54875723-54879265	NA	chr13:54875723-54879265	chr13:54875723-54879265	chr13:54875723-54879265
cRNA_0033	chr13:55381708-55395890	chr13	55381708	55395890	14183	4	chr13:55381708-55395890	NA	chr13:55381708-55395890	chr13:55381708-55395890	chr13:55381708-55395890
cRNA_0034	chr13:55393331-55395890	chr13	55393331	55395890	2560	4	chr13:55393331-55395890	NA	chr13:55393331-55395890	chr13:55393331-55395890	chr13:55393331-55395890
cRNA_0035	chr13:58178227-58198952	chr13	58178227	58198952	20726	4	chr13:58178227-58198952	NA	chr13:58178227-58198952	chr13:58178227-58198952	chr13:58178227-58198952
cRNA_0036	chr13:58545863-58546969	chr13	58545863	58546969	1107	1	NA	NA	chr13:58545863-58546969	NA	NA
cRNA_0037	chr13:59643147-59692265	chr13	59643147	59692265	49119	3	chr13:59643147-59692265	NA	chr13:59643147-59692265	NA	chr13:59643147-59692265
cRNA_0038	chr13:77231560-77240530	chr13	77231560	77240530	8971	3	chr13:77231560-77240530	NA	chr13:77231560-77240530	NA	chr13:77231560-77240530
cRNA_0039	chr13:84399349-84408359	chr13	84399349	84408359	9011	3	chr13:84399349-84408359	NA	chr13:84399349-84408359	NA	chr13:84399349-84408359
cRNA_0040	chr13:93478264-93492587	chr13	93478264	93492587	14324	4	chr13:93478264-93492587	NA	chr13:93478264-93492587	chr13:93478264-93492587	chr13:93478264-93492587
cRNA_0041	chr13:94361403-94369688	chr13	94361403	94369688	8286	4	chr13:94361403-94369688	NA	chr13:94361403-94369688	chr13:94361403-94369688	chr13:94361403-94369688
cRNA_0042	chr13:94638426-94668574	chr13	94638426	94668574	30149	3	chr13:94638426-94668574	NA	chr13:94638426-94668574	NA	chr13:94638426-94668574
cRNA_0043	chr13:98402659-98409360	chr13	98402659	98409360	6702	3	chr13:98402659-98409360	NA	chr13:98402659-98409360	NA	chr13:98402659-98409360
cRNA_0044	chr13:101893834-101894547	chr13	101893834	101894547	714	4	chr13:101893834-101894547	NA	chr13:101893834-101894547	chr13:101893834-101894547	chr13:101893834-101894547
cRNA_0045	chr13:104003157-104025793	chr13	104003157	104025793	22637	3	chr13:104003157-104025793	NA	chr13:104003157-104025793	NA	chr13:104003157-104025793
cRNA_0046	chr13:104020651-104025793	chr13	104020651	104025793	5143	4	chr13:104020651-104025793	NA	chr13:104020651-104025793	chr13:104020651-104025793	chr13:104020651-104025793
cRNA_0047	chr13:107119032-107124583	chr13	107119032	107124583	5552	4	chr13:107119032-107124583	NA	chr13:107119032-107124583	chr13:107119032-107124583	chr13:107119032-107124583
cRNA_0048	chr13:107874907-107884898	chr13	107874907	107884898	9992	4	chr13:107874907-107884898	NA	chr13:107874907-107884898	chr13:107874907-107884898	chr13:107874907-107884898
cRNA_0049	chr13:109876921-109909214	chr13	109876921	109909214	32294	3	chr13:109876921-109909214	NA	chr13:109876921-109909214	NA	chr13:109876921-109909214
cRNA_0050	chr13:114058783-114104326	chr13	114058783	114104326	45544	4	chr13:114058783-114104326	NA	chr13:114058783-114104326	chr13:114058783-114104326	chr13:114058783-114104326
cRNA_0051	chr12:3492474-3507209	chr12	3492474	3507209	14736	4	chr12:3492474-3507209	NA	chr12:3492474-3507209	chr12:3492474-3507209	chr12:3492474-3507209
cRNA_0052	chr12:3492474-3534608	chr12	3492474	3534608	42135	3	chr12:3492474-3534608	NA	chr12:3492474-3534608	NA	chr12:3492474-3534608
cRNA_0053	chr12:3667606-3698389	chr12	3667606	3698389	30784	4	chr12:3667606-3698389	NA	chr12:3667606-3698389	chr12:3667606-3698389	chr12:3667606-3698389
cRNA_0054	chr12:3667606-3736862	chr12	3667606	3736862	69257	4	chr12:3667606-3736862	NA	chr12:3667606-3736862	chr12:3667606-3736862	chr12:3667606-3736862
cRNA_0055	chr12:3682810-3698389	chr12	3682810	3698389	15580	4	chr12:3682810-3698389	NA	chr12:3682810-3698389	chr12:3682810-3698389	chr12:3682810-3698389
cRNA_0056	chr12:3885027-3923428	chr12	3885027	3923428	38402	4	chr12:3885027-3923428	NA	chr12:3885027-3923428	chr12:3885027-3923428	chr12:3885027-3923428
cRNA_0057	chr12:5011218-5056791	chr12	5011218	5056791	45574	3	chr12:5011218-5056791	NA	chr12:5011218-5056791	NA	chr12:5011218-5056791
cRNA_0058	chr12:13532387-13534045	chr12	13532387	13534045	1659	4	chr12:13532387-13534045	NA	chr12:13532387-13534045	chr12:13532387-13534045	chr12:13532387-13534045
cRNA_0059	chr12:31674114-31680892	chr12	31674114	31680892	6779	3	chr12:31674114-31680892	NA	chr12:31674114-31680892	NA	chr12:31674114-31680892
cRNA_0060	chr12:35135938-35157555	chr12	35135938	35157555	21618	3	chr12:35135938-35157555	NA	chr12:35135938-35157555	NA	chr12:35135938-35157555
cRNA_0061	chr12:37397258-37464988	chr12	37397258	37464988	67731	3	chr12:37397258-37464988	NA	chr12:37397258-37464988	NA	chr12:37397258-37464988
cRNA_0062	chr12:51668563-51708496	chr12	51668563	51708496	39934	4	chr12:51668563-51708496	NA	chr12:51668563-51708496	chr12:51668563-51708496	chr12:51668563-51708496
cRNA_0063	chr12:51694777-51708496	chr12	51694777	51708496	13720	4	chr12:51694777-51708496	NA	chr12:51694777-51708496	chr12:51694777-51708496	chr12:51694777-51708496
cRNA_0064	chr12:51702185-51708496	chr12	51702185	51708496	6312	3	chr12:51702185-51708496	NA	chr12:51702185-51708496	NA	chr12:51702185-51708496
cRNA_0065	chr12:51806002-51807953	chr12	51806002	51807953	1952	4	chr12:51806002-51807953	NA	chr12:51806002-51807953	chr12:51806002-51807953	chr12:51806002-51807953
cRNA_0066	chr12:51819057-51819488	chr12	51819057	51819488	432	4	chr12:51819057-51819488	NA	chr12:51819057-51819488	chr12:51819057-51819488	chr12:51819057-51819488
cRNA_0067	chr12:53186164-53189551	chr12	53186164	53189551	3388	4	chr12:53186164-53189551	NA	chr12:53186164-53189551	chr12:53186164-53189551	chr12:53186164-53189551
cRNA_0068	chr12:55454254-55461283	chr12	55454254	55461283	7030	3	chr12:55454254-55461283	NA	chr12:55454254-55461283	NA	chr12:55454254-55461283
cRNA_0069	chr12:55784996-55786354	chr12	55784996	55786354	1359	3	chr12:55784996-55786354	NA	chr12:55784996-55786354	NA	chr12:55784996-55786354
cRNA_0070	chr12:57350131-57354250	chr12	57350131	57354250	4120	4	chr12:57350131-57354250	NA	chr12:57350131-57354250	chr12:57350131-57354250	chr12:57350131-57354250
cRNA_0071	chr12:57372310-57379245	chr12	57372310	57379245	6936	4	chr12:57372310-57379245	NA	chr12:57372310-57379245	chr12:57372310-57379245	chr12:57372310-57379245
cRNA_0072	chr12:57372310-57411020	chr12	57372310	57411020	38711	4	chr12:57372310-57411020	NA	chr12:57372310-57411020	chr12:57372310-57411020	chr12:57372310-57411020
cRNA_0073	chr12:59097054-59098494	chr12	59097054	59098494	1441	3	chr12:59097054-59098494	NA	chr12:59097054-59098494	NA	chr12:59097054-59098494
cRNA_0074	chr12:69349098-69350736	chr12	69349098	69350736	1639	4	chr12:69349098-69350736	NA	chr12:69349098-69350736	chr12:69349098-69350736	chr12:69349098-69350736
cRNA_0075	chr12:75531906-75562572	chr12	75531906	75562572	30667	3	chr12:75531906-75562572	NA	chr12:75531906-75562572	NA	chr12:75531906-75562572
cRNA_0076	chr12:78841019-78844164	chr12	78841019	78844164	3146	4	chr12:78841019-78844164	NA	chr12:78841019-78844164	chr12:78841019-78844164	chr12:78841019-78844164
cRNA_0077	chr12:81151381-81152785	chr12	81151381	81152785	1405	4	chr12:81151381-81152785	NA	chr12:81151381-81152785	chr12:81151381-81152785	chr12:81151381-81152785
cRNA_0078	chr12:82387436-82389273	chr12	82387436	82389273	1838	5	chr12:82387436-82389273	chr12:82387436-82389273	chr12:82387436-82389273	chr12:82387436-82389273	chr12:82387436-82389273
cRNA_0079	chr12:82404007-82419316	chr12	82404007	82419316	15310	4	chr12:82404007-82419316	NA	chr12:82404007-82419316	chr12:82404007-82419316	chr12:82404007-82419316
cRNA_0080	chr12:83621406-83621910	chr12	83621406	83621910	505	3	chr12:83621406-83621910	NA	chr12:83621406-83621910	NA	chr12:83621406-83621910
cRNA_0081	chr12:84344785-84355206	chr12	84344785	84355206	10422	4	chr12:84344785-84355206	NA	chr12:84344785-84355206	chr12:84344785-84355206	chr12:84344785-84355206
cRNA_0082	chr12:85075544-85080808	chr12	85075544	85080808	5265	3	chr12:85075544-85080808	NA	chr12:85075544-85080808	NA	chr12:85075544-85080808
cRNA_0083	chr12:85910338-85926249	chr12	85910338	85926249	15912	4	chr12:85910338-85926249	NA	chr12:85910338-85926249	chr12:85910338-85926249	chr12:85910338-85926249
cRNA_0084	chr12:86303642-86315835	chr12	86303642	86315835	12194	3	chr12:86303642-86315835	NA	chr12:86303642-86315835	NA	chr12:86303642-86315835
cRNA_0085	chr12:98719037-98730237	chr12	98719037	98730237	11201	3	chr12:98719037-98730237	NA	chr12:98719037-98730237	NA	chr12:98719037-98730237
cRNA_0086	chr12:99307681-99355176	chr12	99307681	99355176	47496	3	chr12:99307681-99355176	NA	chr12:99307681-99355176	NA	chr12:99307681-99355176
cRNA_0087	chr12:99354620-99355176	chr12	99354620	99355176	557	3	chr12:99354620-99355176	NA	chr12:99354620-99355176	NA	chr12:99354620-99355176
cRNA_0088	chr12:101655219-101660932	chr12	101655219	101660932	5714	4	chr12:101655219-101660932	NA	chr12:101655219-101660932	chr12:101655219-101660932	chr12:101655219-101660932
cRNA_0089	chr12:101849515-101856877	chr12	101849515	101856877	7363	3	chr12:101849515-101856877	NA	chr12:101849515-101856877	NA	chr12:101849515-101856877
cRNA_0090	chr12:107955724-107956089	chr12	107955724	107956089	366	4	chr12:107955724-107956089	NA	chr12:107955724-107956089	chr12:107955724-107956089	chr12:107955724-107956089
cRNA_0091	chr12:108124013-108131431	chr12	108124013	108131431	7419	3	chr12:108124013-108131431	NA	chr12:108124013-108131431	NA	chr12:108124013-108131431
cRNA_0092	chr12:111186245-111209972	chr12	111186245	111209972	23728	3	chr12:111186245-111209972	NA	chr12:111186245-111209972	NA	chr12:111186245-111209972
cRNA_0093	chr12:111559011-111570998	chr12	111559011	111570998	11988	3	chr12:111559011-111570998	NA	chr12:111559011-111570998	NA	chr12:111559011-111570998
cRNA_0094	chr12:111559011-111584817	chr12	111559011	111584817	25807	4	chr12:111559011-111584817	NA	chr12:111559011-111584817	chr12:111559011-111584817	chr12:111559011-111584817
cRNA_0095	chr12:111744454-111755893	chr12	111744454	111755893	11440	4	chr12:111744454-111755893	NA	chr12:111744454-111755893	chr12:111744454-111755893	chr12:111744454-111755893
cRNA_0096	chr12:111744454-111755920	chr12	111744454	111755920	11467	3	chr12:111744454-111755920	NA	chr12:111744454-111755920	NA	chr12:111744454-111755920
cRNA_0097	chr12:111824644-111838867	chr12	111824644	111838867	14224	4	chr12:111824644-111838867	NA	chr12:111824644-111838867	chr12:111824644-111838867	chr12:111824644-111838867
cRNA_0098	chr12:116281450-116287830	chr12	116281450	116287830	6381	3	chr12:116281450-116287830	NA	chr12:116281450-116287830	NA	chr12:116281450-116287830
cRNA_0099	chr11:4467741-4481305	chr11	4467741	4481305	13565	4	chr11:4467741-4481305	NA	chr11:4467741-4481305	chr11:4467741-4481305	chr11:4467741-4481305
cRNA_0100	chr11:4467741-4496268	chr11	4467741	4496268	28528	3	chr11:4467741-4496268	NA	chr11:4467741-4496268	NA	chr11:4467741-4496268
cRNA_0101	chr11:4758257-4770493	chr11	4758257	4770493	12237	4	chr11:4758257-4770493	NA	chr11:4758257-4770493	chr11:4758257-4770493	chr11:4758257-4770493
cRNA_0102	chr11:6063243-6075561	chr11	6063243	6075561	12319	4	chr11:6063243-6075561	NA	chr11:6063243-6075561	chr11:6063243-6075561	chr11:6063243-6075561
cRNA_0103	chr11:6143154-6143476	chr11	6143154	6143476	323	5	chr11:6143154-6143476	chr11:6143154-6143476	chr11:6143154-6143476	chr11:6143154-6143476	chr11:6143154-6143476
cRNA_0104	chr11:6263788-6267080	chr11	6263788	6267080	3293	5	chr11:6263788-6267080	chr11:6263788-6267080	chr11:6263788-6267080	chr11:6263788-6267080	chr11:6263788-6267080
cRNA_0105	chr11:8428225-8429665	chr11	8428225	8429665	1441	5	chr11:8428225-8429665	chr11:8428225-8429665	chr11:8428225-8429665	chr11:8428225-8429665	chr11:8428225-8429665
cRNA_0106	chr11:8468199-8469570	chr11	8468199	8469570	1372	4	chr11:8468199-8469570	NA	chr11:8468199-8469570	chr11:8468199-8469570	chr11:8468199-8469570
cRNA_0107	chr11:12259614-12328359	chr11	12259614	12328359	68746	4	chr11:12259614-12328359	NA	chr11:12259614-12328359	chr11:12259614-12328359	chr11:12259614-12328359
cRNA_0108	chr11:12293744-12328359	chr11	12293744	12328359	34616	4	chr11:12293744-12328359	NA	chr11:12293744-12328359	chr11:12293744-12328359	chr11:12293744-12328359
cRNA_0109	chr11:12315105-12328359	chr11	12315105	12328359	13255	3	chr11:12315105-12328359	NA	chr11:12315105-12328359	NA	chr11:12315105-12328359
cRNA_0110	chr11:20675685-20677639	chr11	20675685	20677639	1955	4	chr11:20675685-20677639	NA	chr11:20675685-20677639	chr11:20675685-20677639	chr11:20675685-20677639
cRNA_0111	chr11:21213199-21228060	chr11	21213199	21228060	14862	4	chr11:21213199-21228060	NA	chr11:21213199-21228060	chr11:21213199-21228060	chr11:21213199-21228060
cRNA_0112	chr11:22003432-22018506	chr11	22003432	22018506	15075	4	chr11:22003432-22018506	NA	chr11:22003432-22018506	chr11:22003432-22018506	chr11:22003432-22018506
cRNA_0113	chr11:23657523-23675574	chr11	23657523	23675574	18052	3	chr11:23657523-23675574	NA	chr11:23657523-23675574	NA	chr11:23657523-23675574
cRNA_0114	chr11:26484211-26500075	chr11	26484211	26500075	15865	3	chr11:26484211-26500075	NA	chr11:26484211-26500075	NA	chr11:26484211-26500075
cRNA_0115	chr11:28817466-28818039	chr11	28817466	28818039	574	3	chr11:28817466-28818039	NA	chr11:28817466-28818039	NA	chr11:28817466-28818039
cRNA_0116	chr11:31005458-31011586	chr11	31005458	31011586	6129	4	chr11:31005458-31011586	NA	chr11:31005458-31011586	chr11:31005458-31011586	chr11:31005458-31011586
cRNA_0117	chr11:43595361-43596304	chr11	43595361	43596304	944	5	chr11:43595361-43596304	chr11:43595361-43596304	chr11:43595361-43596304	chr11:43595361-43596304	chr11:43595361-43596304
cRNA_0118	chr11:50189956-50191881	chr11	50189956	50191881	1926	4	chr11:50189956-50191881	NA	chr11:50189956-50191881	chr11:50189956-50191881	chr11:50189956-50191881
cRNA_0119	chr11:50192585-50199756	chr11	50192585	50199756	7172	3	chr11:50192585-50199756	NA	chr11:50192585-50199756	NA	chr11:50192585-50199756
cRNA_0120	chr11:50195153-50199756	chr11	50195153	50199756	4604	4	chr11:50195153-50199756	NA	chr11:50195153-50199756	chr11:50195153-50199756	chr11:50195153-50199756
cRNA_0121	chr11:62037132-62052736	chr11	62037132	62052736	15605	4	chr11:62037132-62052736	NA	chr11:62037132-62052736	chr11:62037132-62052736	chr11:62037132-62052736
cRNA_0122	chr11:62174423-62183044	chr11	62174423	62183044	8622	4	chr11:62174423-62183044	NA	chr11:62174423-62183044	chr11:62174423-62183044	chr11:62174423-62183044
cRNA_0123	chr11:62324389-62329341	chr11	62324389	62329341	4953	3	chr11:62324389-62329341	NA	chr11:62324389-62329341	NA	chr11:62324389-62329341
cRNA_0124	chr11:65109355-65124010	chr11	65109355	65124010	14656	5	chr11:65109355-65124010	chr11:65109355-65124010	chr11:65109355-65124010	chr11:65109355-65124010	chr11:65109355-65124010
cRNA_0125	chr11:68720741-68736250	chr11	68720741	68736250	15510	4	chr11:68720741-68736250	NA	chr11:68720741-68736250	chr11:68720741-68736250	chr11:68720741-68736250
cRNA_0126	chr11:69540554-69542549	chr11	69540554	69542549	1996	4	chr11:69540554-69542549	NA	chr11:69540554-69542549	chr11:69540554-69542549	chr11:69540554-69542549
cRNA_0127	chr11:70765572-70775794	chr11	70765572	70775794	10223	4	chr11:70765572-70775794	NA	chr11:70765572-70775794	chr11:70765572-70775794	chr11:70765572-70775794
cRNA_0128	chr11:70765572-70777997	chr11	70765572	70777997	12426	4	chr11:70765572-70777997	NA	chr11:70765572-70777997	chr11:70765572-70777997	chr11:70765572-70777997
cRNA_0129	chr11:70765572-70784514	chr11	70765572	70784514	18943	4	chr11:70765572-70784514	NA	chr11:70765572-70784514	chr11:70765572-70784514	chr11:70765572-70784514
cRNA_0130	chr11:70808141-70816738	chr11	70808141	70816738	8598	4	chr11:70808141-70816738	NA	chr11:70808141-70816738	chr11:70808141-70816738	chr11:70808141-70816738
cRNA_0131	chr11:72602983-72605309	chr11	72602983	72605309	2327	4	chr11:72602983-72605309	NA	chr11:72602983-72605309	chr11:72602983-72605309	chr11:72602983-72605309
cRNA_0132	chr11:74819819-74881041	chr11	74819819	74881041	61223	4	chr11:74819819-74881041	NA	chr11:74819819-74881041	chr11:74819819-74881041	chr11:74819819-74881041
cRNA_0133	chr11:75433984-75436656	chr11	75433984	75436656	2673	3	chr11:75433984-75436656	NA	chr11:75433984-75436656	NA	chr11:75433984-75436656
cRNA_0134	chr11:75583023-75583558	chr11	75583023	75583558	536	3	chr11:75583023-75583558	NA	chr11:75583023-75583558	NA	chr11:75583023-75583558
cRNA_0135	chr11:75642707-75650254	chr11	75642707	75650254	7548	3	chr11:75642707-75650254	NA	chr11:75642707-75650254	NA	chr11:75642707-75650254
cRNA_0136	chr11:77462433-77476320	chr11	77462433	77476320	13888	4	chr11:77462433-77476320	NA	chr11:77462433-77476320	chr11:77462433-77476320	chr11:77462433-77476320
cRNA_0137	chr11:78210812-78212592	chr11	78210812	78212592	1781	3	chr11:78210812-78212592	NA	chr11:78210812-78212592	NA	chr11:78210812-78212592
cRNA_0138	chr11:79440234-79444823	chr11	79440234	79444823	4590	1	NA	NA	chr11:79440234-79444823	NA	NA
cRNA_0139	chr11:84083905-84086513	chr11	84083905	84086513	2609	4	chr11:84083905-84086513	NA	chr11:84083905-84086513	chr11:84083905-84086513	chr11:84083905-84086513
cRNA_0140	chr11:84358287-84363992	chr11	84358287	84363992	5706	3	chr11:84358287-84363992	NA	chr11:84358287-84363992	NA	chr11:84358287-84363992
cRNA_0141	chr11:85467608-85474820	chr11	85467608	85474820	7213	3	chr11:85467608-85474820	NA	chr11:85467608-85474820	NA	chr11:85467608-85474820
cRNA_0142	chr11:86423598-86426286	chr11	86423598	86426286	2689	3	chr11:86423598-86426286	NA	chr11:86423598-86426286	NA	chr11:86423598-86426286
cRNA_0143	chr11:87075710-87077341	chr11	87075710	87077341	1632	3	chr11:87075710-87077341	NA	chr11:87075710-87077341	NA	chr11:87075710-87077341
cRNA_0144	chr11:93795985-93824784	chr11	93795985	93824784	28800	3	chr11:93795985-93824784	NA	chr11:93795985-93824784	NA	chr11:93795985-93824784
cRNA_0145	chr11:97268762-97269537	chr11	97268762	97269537	776	4	chr11:97268762-97269537	NA	chr11:97268762-97269537	chr11:97268762-97269537	chr11:97268762-97269537
cRNA_0146	chr11:102937205-102946115	chr11	102937205	102946115	8911	4	chr11:102937205-102946115	NA	chr11:102937205-102946115	chr11:102937205-102946115	chr11:102937205-102946115
cRNA_0147	chr11:104247510-104269652	chr11	104247510	104269652	22143	3	chr11:104247510-104269652	NA	chr11:104247510-104269652	NA	chr11:104247510-104269652
cRNA_0148	chr11:104259506-104269652	chr11	104259506	104269652	10147	3	chr11:104259506-104269652	NA	chr11:104259506-104269652	NA	chr11:104259506-104269652
cRNA_0149	chr11:107483532-107511040	chr11	107483532	107511040	27509	3	chr11:107483532-107511040	NA	chr11:107483532-107511040	NA	chr11:107483532-107511040
cRNA_0150	chr11:108813978-108822405	chr11	108813978	108822405	8428	3	chr11:108813978-108822405	NA	chr11:108813978-108822405	NA	chr11:108813978-108822405
cRNA_0151	chr11:116124212-116125349	chr11	116124212	116125349	1138	4	chr11:116124212-116125349	NA	chr11:116124212-116125349	chr11:116124212-116125349	chr11:116124212-116125349
cRNA_0152	chr11:117181224-117181862	chr11	117181224	117181862	639	3	chr11:117181224-117181862	NA	chr11:117181224-117181862	NA	chr11:117181224-117181862
cRNA_0153	chr10:8656283-8665365	chr10	8656283	8665365	9083	3	chr10:8656283-8665365	NA	chr10:8656283-8665365	NA	chr10:8656283-8665365
cRNA_0154	chr10:9673866-9675812	chr10	9673866	9675812	1947	4	chr10:9673866-9675812	NA	chr10:9673866-9675812	chr10:9673866-9675812	chr10:9673866-9675812
cRNA_0155	chr10:12312025-12331308	chr10	12312025	12331308	19284	4	chr10:12312025-12331308	NA	chr10:12312025-12331308	chr10:12312025-12331308	chr10:12312025-12331308
cRNA_0156	chr10:12315371-12331308	chr10	12315371	12331308	15938	3	chr10:12315371-12331308	NA	chr10:12315371-12331308	NA	chr10:12315371-12331308
cRNA_0157	chr10:12496935-12564171	chr10	12496935	12564171	67237	4	chr10:12496935-12564171	NA	chr10:12496935-12564171	chr10:12496935-12564171	chr10:12496935-12564171
cRNA_0158	chr10:12588998-12603656	chr10	12588998	12603656	14659	3	chr10:12588998-12603656	NA	chr10:12588998-12603656	NA	chr10:12588998-12603656
cRNA_0159	chr10:17965196-17972084	chr10	17965196	17972084	6889	4	chr10:17965196-17972084	NA	chr10:17965196-17972084	chr10:17965196-17972084	chr10:17965196-17972084
cRNA_0160	chr10:25096509-25165628	chr10	25096509	25165628	69120	4	chr10:25096509-25165628	NA	chr10:25096509-25165628	chr10:25096509-25165628	chr10:25096509-25165628
cRNA_0161	chr10:25143206-25165628	chr10	25143206	25165628	22423	4	chr10:25143206-25165628	NA	chr10:25143206-25165628	chr10:25143206-25165628	chr10:25143206-25165628
cRNA_0162	chr10:25317471-25319852	chr10	25317471	25319852	2382	3	chr10:25317471-25319852	NA	chr10:25317471-25319852	NA	chr10:25317471-25319852
cRNA_0163	chr10:26203585-26228273	chr10	26203585	26228273	24689	4	chr10:26203585-26228273	NA	chr10:26203585-26228273	chr10:26203585-26228273	chr10:26203585-26228273
cRNA_0164	chr10:31393380-31410892	chr10	31393380	31410892	17513	4	chr10:31393380-31410892	NA	chr10:31393380-31410892	chr10:31393380-31410892	chr10:31393380-31410892
cRNA_0165	chr10:39952560-39956803	chr10	39952560	39956803	4244	4	chr10:39952560-39956803	NA	chr10:39952560-39956803	chr10:39952560-39956803	chr10:39952560-39956803
