Tissue	circID	Cons_coords	type	gene_id	gene_type	gene_name	Change	circAtlas	circBase	circPedia	NtoolsDE	medianLFC	medianPadj	medianStat	LFC_lineal	padj_lineal	changeLineal	NtissuesDE	Tissues
Colon	cRNA_0300	chr14:34413639-34417062	JNC-JNC	ENSMUSG00000041408.19	protein_coding	Wapl	UP	mmu-Wapal_0027	mm9_circ_002816	MMU_CIRCpedia_17430	4	0.7907740235297032	0.00729071392288455	3.728530371368907	0.2941419399045408	0.18475124718903296	NS	3	Colon, Kidney, Liver
Colon	cRNA_0314	chr14:75013021-75023830	JNC-JNC	ENSMUSG00000068015.9	protein_coding	Lrch1	DOWN	mmu-Lrch1_0015	mm9_circ_013364	MMU_CIRCpedia_28856	3	-1.0579902919614068	0.00491942493513365	-3.892167308678027	-0.33431643343637313	0.1813246497668084	NS	1	Colon
Colon	cRNA_0320	chr14:120562206-120562824	FULLEX	ENSMUSG00000022139.18	protein_coding	Mbnl2	UP	mmu-Mbnl2_0008	NA	MMU_CIRCpedia_5057	4	1.156505778352939	0.03123220157383065	3.210308411892309	-0.021077546357532326	0.9516159055901913	NS	4	Colon, Heart, Kidney, Muscle
Colon	cRNA_0327	chr18:21280789-21281961	FULLEX	ENSMUSG00000042680.9	protein_coding	Garem1	UP	mmu-Garem_0002	NA	MMU_CIRCpedia_13152	3	1.395129931075119	0.04175075836819639	3.112354418094698	-0.023523244867930827	0.9642386108247345	NS	1	Colon
Colon	cRNA_0344	chr18:73808232-73811110	JNC-JNC	ENSMUSG00000024515.14	protein_coding	Smad4	DOWN	mmu-Smad4_0010	mm9_circ_006973	MMU_CIRCpedia_28512	3	-0.9484583851310588	0.00317864835335443	-4.031280486032178	0.33439200425740506	0.43924773364973085	NS	1	Colon
Colon	cRNA_0356	chr19:29731000-29732417	FULLEX	ENSMUSG00000046138.16	protein_coding	9930021J03Rik	UP	mmu-9930021J03Rik_0010	NA	MMU_CIRCpedia_15577	4	1.4311448993115867	7.270441193938533e-5	5.041434542006204	0.35857931180304115	0.1474047491241772	NS	2	Colon, Kidney
Colon	cRNA_0398	chr7:97310020-97313973	JNC-JNC	ENSMUSG00000035623.15	protein_coding	Rsf1	UP	mmu-Rsf1_0003,mmu-Rsf1_0036	mm9_circ_014201	MMU_CIRCpedia_35603	4	1.1835898221356411	0.00235907511492807	4.236003358127091	0.06667978432046404	0.776789077272967	NS	3	Colon, Kidney, Liver
Colon	cRNA_0410	chr7:120651310-120656622	JNC-JNC	ENSMUSG00000030876.8	protein_coding	Mettl9	UP	mmu-Mettl9_0005	mm9_circ_008117	MMU_CIRCpedia_5314	4	1.1959598669205789	6.153055816359677e-6	5.6155059031605346	0.2714402820143537	0.2891432213643591	NS	3	Colon, Kidney, Muscle
Colon	cRNA_0520	chr5:103930990-103932379	JNC-JNC	ENSMUSG00000029313.19	protein_coding	Aff1	UP	mmu-Aff1_0001	NA	MMU_CIRCpedia_1036	4	1.612032566686379	2.1408332034159375e-4	4.798431668758373	0.22835945374458078	0.2145201666812663	NS	1	Colon
Colon	cRNA_0582	chr4:108336070-108336938	FULLEX	ENSMUSG00000034610.15	protein_coding	Tut4	UP	mmu-Zcchc11_0037	mm9_circ_005135	MMU_CIRCpedia_2348	4	1.0339012829505785	0.02662605289199333	3.329282617694691	0.33546833436073814	0.15891996358729618	NS	2	Colon, Kidney
Colon	cRNA_0584	chr4:108574986-108584742	JNC-JNC	ENSMUSG00000034557.15	protein_coding	Zfyve9	UP	mmu-Zfyve9_0032	mm9_circ_005300	MMU_CIRCpedia_2501	4	1.1430252586762029	0.00530565882649737	3.881714011570964	0.40326002277115885	0.10885934574314138	NS	1	Colon
Colon	cRNA_0584	chr4:108574986-108584742	JNC-JNC	ENSMUSG00000034557.15	protein_coding	Zfyve9	UP	mmu-Zfyve9_0032	mm9_circ_005300	MMU_CIRCpedia_2501	4	1.1430252586762029	0.00530565882649737	3.881714011570964	0.40326002277115885	0.10885934574314138	NS	1	Kidney
Colon	cRNA_0600	chr4:141033825-141036391	JNC-JNC	ENSMUSG00000006445.4	protein_coding	Epha2	UP	mmu-Epha2_0002	mm9_circ_005186	MMU_CIRCpedia_9054	3	1.3630700006537242	0.03612465739550599	3.1488462315248023	-0.6608977343186817	0.2582570776542582	NS	2	Colon, Ileon
Colon	cRNA_0643	chr3:122541538-122542126	FULLEX	ENSMUSG00000053965.11	protein_coding	Pde5a	UP	mmu-Pde5a_0009	mm9_circ_007906	MMU_CIRCpedia_5878	4	1.7449030497034037	8.145077532317974e-5	5.023521752476524	0.09184142841045516	0.7461191475685871	NS	1	Colon
Colon	cRNA_0645	chr3:122575216-122611716	JNC-JNC	ENSMUSG00000053965.11	protein_coding	Pde5a	UP	mmu-Pde5a_0007	mm9_circ_007474	MMU_CIRCpedia_5887	4	1.6203649533630098	2.002503356079176e-6	5.895322539730722	0.09184142841045516	0.7461191475685871	NS	3	Colon, Ileon, Kidney
Colon	cRNA_0692	chr2:72800499-72801858	FULLEX	ENSMUSG00000027109.17	protein_coding	Sp3	UP	mmu-Sp3_0005	NA	MMU_CIRCpedia_28256	4	1.4690598199224971	0.00676072737013659	3.7637117345760953	0.11924919554792897	0.4759644986337089	NS	1	Colon
Colon	cRNA_0728	chr2:165890375-165893626	JNC-JNC	ENSMUSG00000027678.18	protein_coding	Ncoa3	UP	mmu-Ncoa3_0001	NA	MMU_CIRCpedia_39954	3	1.1491024312249412	0.02459268645492313	3.3474916995796384	-0.08273476218430446	0.677401464406305	NS	2	Colon, Muscle
Colon	cRNA_0751	chr1:52747323-52748914	FULLEX	ENSMUSG00000041439.16	protein_coding	Mfsd6	UP	mmu-Mfsd6_0001	mm9_circ_009434	MMU_CIRCpedia_22419	3	0.8548741345675464	0.00245357564609601	4.103589896465761	-0.2860620324962216	0.3978430655339123	NS	1	Colon
Colon	cRNA_0802	chr9:32157743-32162083	JNC-JNC	ENSMUSG00000041444.15	protein_coding	Arhgap32	DOWN	mmu-Arhgap32_0014	NA	MMU_CIRCpedia_16463	3	-1.1547469470013385	0.04080409554006609	-3.101918927628535	0.3317627483379319	0.0798358839093149	UP	1	Heart
Colon	cRNA_0802	chr9:32157743-32162083	JNC-JNC	ENSMUSG00000041444.15	protein_coding	Arhgap32	DOWN	mmu-Arhgap32_0014	NA	MMU_CIRCpedia_16463	3	-1.1547469470013385	0.04080409554006609	-3.101918927628535	0.3317627483379319	0.0798358839093149	UP	1	Colon
Colon	cRNA_0805	chr9:45802102-45809789	JNC-JNC	ENSMUSG00000042790.17	protein_coding	Rnf214	UP	mmu-Rnf214_0001	NA	MMU_CIRCpedia_20731	3	1.2186945780116252	0.00766854462701214	3.7187855718640335	0.36478505923966975	0.04238917100192706	UP	2	Colon, Kidney
Colon	cRNA_0819	chr9:65701904-65702777	FULLEX	ENSMUSG00000040524.10	protein_coding	Zfp609	UP	mmu-Zfp609_0001	mm9_circ_004501	MMU_CIRCpedia_26291	3	1.3955177757324784	0.00245357564609601	4.110567457741361	0.21465801130980355	0.11512262132958945	NS	3	Colon, Kidney, Muscle
Colon	cRNA_0832	chr9:83834577-83873875	JNC-JNC	ENSMUSG00000032263.15	protein_coding	Bckdhb	UP	mmu-Bckdhb_0003	NA	MMU_CIRCpedia_31466	3	1.5608210862955585	0.03275901292000971	3.188672650131758	0.01728130539295217	0.9771698416219413	NS	4	Colon, Kidney, Liver, Muscle
Colon	cRNA_0869	chr8:58036801-58037261	FULLEX	ENSMUSG00000031608.14	protein_coding	Galnt7	UP	mmu-Galnt7_0001	NA	MMU_CIRCpedia_23862	4	2.140010554078335	6.031147333412875e-4	4.5073140074555464	-0.1140014896689508	0.8138863665516701	NS	1	Colon
Colon	cRNA_0874	chr8:73121748-73134150	JNC-JNC	ENSMUSG00000006276.11	protein_coding	Eps15l1	UP	mmu-Eps15l1_0005	mm9_circ_003878	MMU_CIRCpedia_28052	3	0.8167087196152469	0.02800346987129214	3.2800892793786027	-0.18826513804125855	0.2322914456183171	NS	2	Colon, Kidney
Colon	cRNA_1132	chr5:21124523-21132728	JNC-JNC	ENSMUSG00000039968.10	protein_coding	Rsbn1l	UP	mmu-Rsbn1l_0003	NA	MMU_CIRCpedia_13095	3	1.503223622756414	0.00556232819137198	3.8433984174564695	0.13729115238291775	0.4123162384484937	NS	1	Colon
Colon	cRNA_1196	chr4:131931443-131933026	FULLEX	ENSMUSG00000040025.18	protein_coding	Ythdf2	UP	mmu-Ythdf2_0001	NA	MMU_CIRCpedia_7780	3	1.533627963210898	0.02479982683351679	3.337893894651158	0.11388596664979787	0.6443996179013074	NS	1	Colon
Colon	cRNA_1421	chr19:42550991-42552780	FULLEX	ENSMUSG00000025184.11	protein_coding	R3hcc1l	DOWN	mmu-R3hcc1l_0002	mm9_circ_011137	MMU_CIRCpedia_19886	4	-1.5668065618680989	6.959624615719414e-4	-4.4544336716296025	-0.15571625781220735	0.6355409405111699	NS	4	Colon, Ileon, Kidney, Liver
Colon	cRNA_1522	chr9:59303634-59313138	JNC-JNC	ENSMUSG00000025234.12	protein_coding	Arih1	DOWN	mmu-Arih1_0016	NA	MMU_CIRCpedia_24472	3	-1.5680228149638202	0.03426891348025027	-3.221988607985765	-0.05927505334342542	0.7945727112183537	NS	2	Colon, Muscle
Colon	cRNA_1922	chr3:98198203-98198657	FULLEX	ENSMUSG00000027875.13	protein_coding	Hmgcs2	UP	mmu-Hmgcs2_0001	NA	MMU_CIRCpedia_39801	4	2.5086215205511597	6.565461841085711e-5	5.100747419636282	1.1111986784206038	0.3907214028595253	NS	1	Colon
Colon	cRNA_2456	chr5:106765937-106767508	EX-JNC	ENSMUSG00000049606.17	protein_coding	Zfp644	UP	mmu-Zfp644_0011	mm9_circ_001406	NA	3	1.4102791216255397	0.00354076736797568	4.051383076246561	0.1570617399041059	0.399160443508973	NS	3	Colon, Kidney, Liver
Heart	cRNA_0004	chrX:82921653-82930839	JNC-JNC	ENSMUSG00000045103.20	protein_coding	Dmd	UP	mmu-Dmd_0056	NA	MMU_CIRCpedia_31435	4	2.327500656381824	4.827899076801427e-5	5.217993525852762	0.21110012557898672	0.27844552066255984	NS	1	Heart
Heart	cRNA_0022	chr13:18994602-18998463	JNC-JNC	ENSMUSG00000041236.9	protein_coding	Vps41	UP	mmu-Vps41_0007	mm9_circ_008691	MMU_CIRCpedia_12569	3	2.10289402477577	0.02993077951639823	3.2029046925703244	-0.18503449918916134	0.28318518395556275	NS	1	Heart
Heart	cRNA_0029	chr13:41492053-41492496	FULLEX	ENSMUSG00000021365.16	protein_coding	Nedd9	UP	mmu-Nedd9_0001	NA	MMU_CIRCpedia_19616	4	2.0545881291674073	3.484193861070277e-4	4.633593256817976	-0.14321324390933454	0.5722102529185811	NS	4	Colon, Heart, Kidney, Muscle
Heart	cRNA_0060	chr12:35135938-35157555	JNC-JNC	ENSMUSG00000020590.17	protein_coding	Snx13	UP	mmu-Snx13_0040	NA	MMU_CIRCpedia_17616	3	1.507198663560618	0.02108900080949299	3.352444031890738	-0.04390701855625011	0.8839230067003891	NS	1	Heart
Heart	cRNA_0083	chr12:85910338-85926249	JNC-JNC	ENSMUSG00000012609.20	protein_coding	Ttll5	UP	mmu-Ttll5_0044	NA	MMU_CIRCpedia_32173	3	0.6008070848694202	0.03541421564997359	3.134752253826913	0.04223121858443956	0.9290294206934325	NS	2	Heart, Kidney
Heart	cRNA_0089	chr12:101849515-101856877	JNC-JNC	ENSMUSG00000021188.15	protein_coding	Trip11	UP	mmu-Trip11_0002	NA	MMU_CIRCpedia_586	3	1.597123917328186	0.03255332767209042	3.190463448414555	-0.1542097505826084	0.5205388502347246	NS	1	Heart
Heart	cRNA_0124	chr11:65109355-65124010	JNC-JNC	ENSMUSG00000020542.19	protein_coding	Myocd	UP	mmu-Myocd_0001	NA	MMU_CIRCpedia_26108	4	0.9676468261220538	0.02324353750297119	3.3061008775048526	0.37503865258172925	0.24828964441015952	NS	1	Heart
Heart	cRNA_0165	chr10:39952560-39956803	JNC-JNC	ENSMUSG00000019838.12	protein_coding	Slc16a10	DOWN	mmu-Slc16a10_0002	NA	MMU_CIRCpedia_19283	4	-2.1449927102403605	0.03775115763019038	-3.1197960134463516	-0.5728150284146949	5.01159762518301e-4	DOWN	1	Heart
Heart	cRNA_0195	chr17:26958517-26962105	JNC-JNC	ENSMUSG00000048249.15	protein_coding	Crebrf	UP	mmu-Crebrf_0009	mm9_circ_004122	MMU_CIRCpedia_14835	3	0.8722391706520812	0.00471823780701928	3.876973812854746	0.4604301637804024	0.035621061652981796	UP	5	Heart, Ileon, Kidney, Liver, Muscle
Heart	cRNA_0224	chr17:81735611-81753022	JNC-JNC	ENSMUSG00000054640.16	protein_coding	Slc8a1	UP	mmu-Slc8a1_0014	mm9_circ_000947	MMU_CIRCpedia_30819	4	1.2374078180284047	6.33744266305108e-5	5.173115027308956	0.41567745185827043	0.04655831773201951	UP	1	Heart
Heart	cRNA_0225	chr17:81955238-81957067	FULLEX	ENSMUSG00000054640.16	protein_coding	Slc8a1	UP	mmu-intergenic_000192,mmu-intergenic_023916	mm9_circ_014302	MMU_CIRCpedia_30902	3	0.7639281197485386	1.9266576427589297e-4	4.836774708716862	0.41567745185827043	0.04655831773201951	UP	1	Heart
Heart	cRNA_0225	chr17:81955238-81957067	FULLEX	ENSMUSG00000054640.16	protein_coding	Slc8a1	UP	mmu-intergenic_000192,mmu-intergenic_023916	mm9_circ_014302	MMU_CIRCpedia_30902	3	0.7639281197485386	1.9266576427589297e-4	4.836774708716862	0.41567745185827043	0.04655831773201951	UP	1	Kidney
Heart	cRNA_0261	chr15:4064742-4089478	JNC-JNC	ENSMUSG00000022186.15	protein_coding	Oxct1	UP	mmu-Oxct1_0011	NA	MMU_CIRCpedia_19333	4	1.8903226125626469	0.00499460030560979	3.8646354990081537	-0.5132619277872101	0.011765454578106344	DOWN	1	Heart
Heart	cRNA_0262	chr15:4076947-4089478	JNC-JNC	ENSMUSG00000022186.15	protein_coding	Oxct1	UP	mmu-Oxct1_0001	mm9_circ_000453	MMU_CIRCpedia_19364	4	1.6768414347426208	7.0202056809748e-5	5.3215992350126875	-0.5132619277872101	0.011765454578106344	DOWN	2	Heart, Kidney
Heart	cRNA_0277	chr15:82735714-82741485	FULLEX	ENSMUSG00000041852.16	protein_coding	Tcf20	DOWN	mmu-Tcf20_0003,mmu-Tcf20_0032	mm9_circ_001424	MMU_CIRCpedia_31130	4	-1.6158870867333328	3.3788096284126054e-8	-6.634970407169762	-0.5528944069652617	2.7853395933905646e-4	DOWN	1	Heart
Heart	cRNA_0290	chr14:8456108-8456690	JNC-JNC	ENSMUSG00000021738.6	protein_coding	Atxn7	UP	mmu-Atxn7_0001	NA	MMU_CIRCpedia_8902	4	1.2912009366201809	5.39829252180888e-4	4.480156760584022	0.060281057081154076	0.8289272109628945	NS	2	Heart, Kidney
Heart	cRNA_0320	chr14:120562206-120562824	FULLEX	ENSMUSG00000022139.18	protein_coding	Mbnl2	UP	mmu-Mbnl2_0008	NA	MMU_CIRCpedia_5057	4	1.5982944051732382	1.354903135063032e-4	4.938345198412935	0.1286646130558626	0.5504181408656355	NS	4	Colon, Heart, Kidney, Muscle
Heart	cRNA_0367	chr19:45910056-45928942	JNC-JNC	ENSMUSG00000039901.11	protein_coding	Armh3	UP	mmu-9130011E15Rik_0030	NA	MMU_CIRCpedia_20739	3	2.7062789607287363	3.6368710867042207e-4	4.625666675699904	-0.18424722111740588	0.5039665132909388	NS	1	Heart
Heart	cRNA_0377	chr7:14312661-14343264	JNC-JNC	ENSMUSG00000121301.1	lncRNA	Nlrp5-ps	DOWN	mmu-Nlrp5-ps_0001,mmu-Nlrp5-ps_0043	NA	MMU_CIRCpedia_9614	3	-1.3596475018423668	0.0040012321533054104	-3.923698224635485	-1.2910720618212232	0.0052225475332500675	DOWN	3	Heart, Kidney, Muscle
Heart	cRNA_0395	chr7:89809656-89846228	JNC-JNC	ENSMUSG00000039361.12	protein_coding	Picalm	UP	mmu-Picalm_0024	NA	MMU_CIRCpedia_33657	4	1.357734864438015	3.225536451564403e-4	4.664572177906607	0.40669253254250803	0.048693760411163245	UP	1	Heart
Heart	cRNA_0424	chr6:22132228-22145686	JNC-JNC	ENSMUSG00000062980.16	protein_coding	Cped1	UP	mmu-Cped1_0001	mm9_circ_015231	MMU_CIRCpedia_13458	3	1.0407115222446317	0.0195267450725575	3.392317277969476	-0.07794265637941593	0.7739003824182832	NS	1	Heart
Heart	cRNA_0424	chr6:22132228-22145686	JNC-JNC	ENSMUSG00000062980.16	protein_coding	Cped1	UP	mmu-Cped1_0001	mm9_circ_015231	MMU_CIRCpedia_13458	3	1.0407115222446317	0.0195267450725575	3.392317277969476	-0.07794265637941593	0.7739003824182832	NS	1	Muscle
Heart	cRNA_0451	chr6:52596962-52607334	JNC-JNC	ENSMUSG00000029776.12	protein_coding	Hibadh	UP	mmu-Hibadh_0005	NA	MMU_CIRCpedia_22407	3	1.3596501489476869	0.03840977072092005	3.0924580515187197	-0.21160710997862722	0.16627456717455127	NS	2	Heart, Muscle
Heart	cRNA_0458	chr6:93731995-93750670	JNC-JNC	ENSMUSG00000045095.17	protein_coding	Magi1	UP	mmu-Magi1_0041	NA	MMU_CIRCpedia_34585	3	1.1713407972373804	0.01461513961580423	3.505928870477433	0.24997220522317395	0.48870364506619807	NS	1	Heart
Heart	cRNA_0482	chr5:25552359-25558406	JNC-JNC	ENSMUSG00000038056.16	protein_coding	Kmt2c	UP	mmu-Kmt2c_0018	NA	MMU_CIRCpedia_14487	3	1.2355739025197383	0.0257075206327037	3.2774072798899305	0.07101435220125238	0.8445862058283217	NS	2	Heart, Kidney
Heart	cRNA_0501	chr5:66520061-66522463	JNC-JNC	ENSMUSG00000029207.17	protein_coding	Apbb2	UP	mmu-Apbb2_0008	mm9_circ_002581	MMU_CIRCpedia_26486	3	0.8874111423245784	0.00928738964728798	3.6848388537616503	-0.0853322803628855	0.856031269980557	NS	1	Heart
Heart	cRNA_0542	chr5:138614828-138615316	FULLIN	ENSMUSG00000058291.15	protein_coding	Zfp68	UP	mmu-Zfp68_0001,mmu-Zfp68_0002	NA	NA	4	1.1319865142486405	0.01103814697347271	3.569559464063347	0.2049288509053646	0.3048602529323275	NS	1	Heart
Heart	cRNA_0640	chr3:106438453-106446919	JNC-JNC	ENSMUSG00000040774.16	protein_coding	Cept1	UP	mmu-Cept1_0002	mm9_circ_007135	MMU_CIRCpedia_1783	4	1.013551246326756	0.00124940128721115	4.276033142415844	0.020871874190556725	0.9459848818926128	NS	1	Heart
Heart	cRNA_0640	chr3:106438453-106446919	JNC-JNC	ENSMUSG00000040774.16	protein_coding	Cept1	UP	mmu-Cept1_0002	mm9_circ_007135	MMU_CIRCpedia_1783	4	1.013551246326756	0.00124940128721115	4.276033142415844	0.020871874190556725	0.9459848818926128	NS	1	Liver
Heart	cRNA_0752	chr1:53295788-53321251	JNC-JNC	ENSMUSG00000026098.14	protein_coding	Pms1	UP	mmu-Pms1_0001	mm9_circ_001535	MMU_CIRCpedia_22574	4	0.6935305970769782	0.0094866474246993	3.655386239954825	0.14863800721641596	0.6561372664156291	NS	2	Heart, Kidney
Heart	cRNA_0760	chr1:74020073-74036263	JNC-JNC	ENSMUSG00000055322.17	protein_coding	Tns1	UP	mmu-Tns1_0020	NA	MMU_CIRCpedia_40011	4	1.8810251329389935	3.3788096284126054e-8	6.611563294434185	0.9404785132838359	0.0012834433057125347	UP	3	Heart, Kidney, Muscle
Heart	cRNA_0795	chr9:3441055-3460131	JNC-JNC	ENSMUSG00000025898.7	protein_coding	Cwf19l2	UP	mmu-Cwf19l2_0007	NA	MMU_CIRCpedia_17285	3	0.9118870521470952	0.00130175631841909	4.271924388186852	0.2747042630767956	0.1755149284771804	NS	2	Heart, Kidney
Heart	cRNA_0798	chr9:16286245-16289550	FULLEX	ENSMUSG00000074505.7	protein_coding	Fat3	DOWN	mmu-intergenic_001109	mm9_circ_012434	NA	3	-1.7752752036497894	0.04591699831271671	-3.017987879664938	-1.1819780397541144	0.034540635710044294	DOWN	2	Heart, Muscle
Heart	cRNA_0800	chr9:22555041-22590360	JNC-JNC	ENSMUSG00000035919.17	protein_coding	Bbs9	UP	mmu-Bbs9_0016	mm9_circ_006404	MMU_CIRCpedia_13587	4	1.1245243171405577	0.02593833508632486	3.3793272286602027	0.6847644872794838	0.08740227893030707	UP	1	Heart
Heart	cRNA_0802	chr9:32157743-32162083	JNC-JNC	ENSMUSG00000041444.15	protein_coding	Arhgap32	UP	mmu-Arhgap32_0014	NA	MMU_CIRCpedia_16463	3	1.0285764072446928	0.01930221102045007	3.400326866968607	0.36777080880867447	0.23969004504152383	NS	1	Heart
Heart	cRNA_0802	chr9:32157743-32162083	JNC-JNC	ENSMUSG00000041444.15	protein_coding	Arhgap32	UP	mmu-Arhgap32_0014	NA	MMU_CIRCpedia_16463	3	1.0285764072446928	0.01930221102045007	3.400326866968607	0.36777080880867447	0.23969004504152383	NS	1	Colon
Heart	cRNA_0835	chr9:96084184-96114801	JNC-JNC	ENSMUSG00000032411.16	protein_coding	Tfdp2	UP	mmu-Tfdp2_0001	NA	MMU_CIRCpedia_35316	3	1.3734390348629502	0.02336997976564615	3.2976177800144595	0.9476850145885117	0.0017315741868035312	UP	2	Heart, Muscle
Heart	cRNA_0836	chr9:96084184-96155995	JNC-JNC	ENSMUSG00000032411.16	protein_coding	Tfdp2	UP	mmu-Tfdp2_0026	NA	MMU_CIRCpedia_35318	4	1.4674156119860395	0.01469222316258737	3.5033516943096505	0.9476850145885117	0.0017315741868035312	UP	1	Heart
Heart	cRNA_0844	chr9:107642694-107644907	JNC-JNC	ENSMUSG00000032580.13	protein_coding	Rbm5	UP	mmu-Rbm5_0011	NA	MMU_CIRCpedia_2172	3	1.7461536335963352	0.04591699831271671	3.0198464267354885	0.045848999915240135	0.8917714397827065	NS	1	Heart
Heart	cRNA_0854	chr8:3308383-3308934	FULLEX	ENSMUSG00000005534.11	protein_coding	Insr	UP	mmu-Insr_0016	NA	MMU_CIRCpedia_16558	4	1.4523505569803974	0.02542953963761728	3.2483440230668963	0.8025784301291329	0.01575938202776191	UP	4	Heart, Ileon, Kidney, Muscle
Heart	cRNA_0855	chr8:8689206-8689489	FULLEX	ENSMUSG00000001300.17	protein_coding	Efnb2	UP	mmu-Efnb2_0001	NA	MMU_CIRCpedia_32422	4	1.684358941072321	0.00632199166413788	3.785604381354928	-0.23662030439273796	0.4721264943971766	NS	3	Heart, Ileon, Kidney
Heart	cRNA_0879	chr8:78071269-78085263	JNC-JNC	ENSMUSG00000037148.9	protein_coding	Arhgap10	UP	mmu-Arhgap10_0013	NA	MMU_CIRCpedia_29632	4	1.4081893991345376	5.26730139867315e-4	4.5466485037418325	0.21554268435911608	0.24027601969435378	NS	1	Heart
Heart	cRNA_0881	chr8:78085176-78115364	JNC-JNC	ENSMUSG00000037148.9	protein_coding	Arhgap10	UP	mmu-Arhgap10_0023	NA	MMU_CIRCpedia_29641	3	2.050241231264349	0.01416000238358325	3.540219263222391	0.21554268435911608	0.24027601969435378	NS	1	Heart
Heart	cRNA_0886	chr8:81526730-81527024	FULLEX	ENSMUSG00000031714.10	protein_coding	Gab1	UP	mmu-Gab1_0001	mm9_circ_015224	MMU_CIRCpedia_30620	3	1.666544158151407	7.575195515770998e-5	5.105353534086611	-0.08136054785198125	0.8296082622937484	NS	3	Heart, Kidney, Muscle
Heart	cRNA_0901	chrX:37513144-37531017	JNC-JNC	ENSMUSG00000016534.16	protein_coding	Lamp2	UP	mmu-Lamp2_0006	NA	MMU_CIRCpedia_18878	4	1.7985225688003068	0.0168261447325559	3.4184035660653773	0.3189259928403335	0.0504417585677965	UP	2	Heart, Muscle
Heart	cRNA_0911	chr13:9770809-9785502	JNC-JNC	ENSMUSG00000021156.18	protein_coding	Zmynd11	UP	mmu-Zmynd11_0007	mm9_circ_001794	MMU_CIRCpedia_35531	4	1.561405409613553	0.01891535746187754	3.376395728417948	0.14116689132969018	0.3778771625170391	NS	1	Heart
Heart	cRNA_0958	chr11:44511241-44534296	JNC-JNC	ENSMUSG00000057098.15	protein_coding	Ebf1	UP	mmu-Ebf1_0004	NA	MMU_CIRCpedia_20355	3	2.446320324252464	0.00516012983831237	3.835450611025704	-0.3556307886406642	0.2004747118434213	NS	2	Heart, Muscle
