Sex	circID	Cons_coords	type	gene_id	gene_type	gene_name	Change	circAtlas	circBase	circPedia	NtissuesDE	Tissues	medianLFC	medianPadj
Female	cRNA_0320	chr14:120562206-120562824	FULLEX	ENSMUSG00000022139.18	protein_coding	Mbnl2	UP	mmu-Mbnl2_0008	NA	MMU_CIRCpedia_5057	2	Kidney, Muscle	2.018673924292048	0.029289902544882455
Female	cRNA_0348	chr18:79129766-79130395	FULLEX	ENSMUSG00000024548.12	protein_coding	Setbp1	DOWN	mmu-Setbp1_0001	mm9_circ_012515	MMU_CIRCpedia_30067	1	Kidney	-0.6871609935102985	0.01990524128880087
Female	cRNA_0371	chr19:57366981-57367607	JNC-JNC	ENSMUSG00000033478.6	protein_coding	Fhip2a	UP	mmu-Fam160b1_0001	mm9_circ_007735	MMU_CIRCpedia_23815	1	Ileon	1.723645729281519	0.010258536074397025
Female	cRNA_0377	chr7:14312661-14343264	JNC-JNC	ENSMUSG00000121301.1	lncRNA	Nlrp5-ps	DOWN	mmu-Nlrp5-ps_0001,mmu-Nlrp5-ps_0043	NA	MMU_CIRCpedia_9614	1	Kidney	-1.308320456395575	0.00923156672730658
Female	cRNA_0410	chr7:120651310-120656622	JNC-JNC	ENSMUSG00000030876.8	protein_coding	Mettl9	UP	mmu-Mettl9_0005	mm9_circ_008117	MMU_CIRCpedia_5314	1	Kidney	1.3128580646673924	0.00148849192920644
Female	cRNA_0467	chr6:119897071-119897989	JNC-JNC	ENSMUSG00000030166.15	protein_coding	Rad52	DOWN	mmu-Rad52_0003,mmu-Rad52_0005	mm9_circ_012490	MMU_CIRCpedia_4990,MMU_CIRCpedia_4991	1	Kidney	-0.6597318860458457	0.022515140647894234
Female	cRNA_0470	chr6:134518615-134519008	FULLEX	ENSMUSG00000030201.16	protein_coding	Lrp6	UP	mmu-Lrp6_0008	NA	MMU_CIRCpedia_8121	1	Kidney	1.334912409918814	0.03057891585029516
Female	cRNA_0523	chr5:106782697-106786501	JNC-JNC	ENSMUSG00000049606.17	protein_coding	Zfp644	UP	mmu-Zfp644_0013	mm9_circ_014393	MMU_CIRCpedia_1797	1	Liver	2.615022842972895	0.002335572380063795
Female	cRNA_0530	chr5:117472833-117482078	JNC-JNC	ENSMUSG00000066894.15	protein_coding	Vsig10	UP	mmu-Vsig10_0001	NA	MMU_CIRCpedia_213768	1	Ileon	2.357498846947684	0.019367811846586654
Female	cRNA_0538	chr5:135150360-135152871	JNC-JNC	ENSMUSG00000005373.14	protein_coding	Mlxipl	DOWN	mmu-Mlxipl_0001	NA	MMU_CIRCpedia_8211	2	Kidney, Liver	-1.1024808277794687	0.015890353498470226
Female	cRNA_0574	chr4:84209930-84211899	FULLEX	ENSMUSG00000028487.19	protein_coding	Bnc2	UP	mmu-Bnc2_0004	mm9_circ_017382	MMU_CIRCpedia_31591	1	Kidney	1.2207821469101126	0.03467805278974968
Female	cRNA_0645	chr3:122575216-122611716	JNC-JNC	ENSMUSG00000053965.11	protein_coding	Pde5a	UP	mmu-Pde5a_0007	mm9_circ_007474	MMU_CIRCpedia_5887	1	Colon	1.6891451275576785	0.012635258705086205
Female	cRNA_0664	chr2:13386569-13463938	JNC-JNC	ENSMUSG00000026726.11	protein_coding	Cubn	UP	mmu-Cubn_0007	NA	NA	1	Ileon	6.001162270952451	2.6826830913021535e-6
Female	cRNA_0678	chr2:48760301-48763485	JNC-JNC	ENSMUSG00000052155.6	protein_coding	Acvr2a	DOWN	mmu-Acvr2a_0010	mm9_circ_002037	MMU_CIRCpedia_21408	1	Kidney	-1.288369412098794	0.03083154965567749
Female	cRNA_0697	chr2:92044394-92061069	JNC-JNC	ENSMUSG00000058318.16	protein_coding	Phf21a	DOWN	mmu-Phf21a_0029	mm9_circ_006097	MMU_CIRCpedia_34310	1	Muscle	-1.0476400164935855	0.0114596733468069
Female	cRNA_0701	chr2:110447019-110454593	JNC-JNC	ENSMUSG00000041644.15	protein_coding	Slc5a12	UP	mmu-Slc5a12_0012,mmu-Slc5a12_0015	NA	NA	1	Kidney	2.3439942023917246	0.02022425185480204
Female	cRNA_0739	chr1:7190418-7190839	FULLEX	ENSMUSG00000051285.18	protein_coding	Pcmtd1	UP	mmu-Pcmtd1_0002	NA	MMU_CIRCpedia_27728	2	Kidney, Liver	2.1940451516559785	0.003704042276900198
Female	cRNA_0805	chr9:45802102-45809789	JNC-JNC	ENSMUSG00000042790.17	protein_coding	Rnf214	UP	mmu-Rnf214_0001	NA	MMU_CIRCpedia_20731	1	Liver	1.7279971703241357	0.00831656433120452
Female	cRNA_0819	chr9:65701904-65702777	FULLEX	ENSMUSG00000040524.10	protein_coding	Zfp609	UP	mmu-Zfp609_0001	mm9_circ_004501	MMU_CIRCpedia_26291	2	Colon, Kidney	1.866447112498005	3.0942988354939213e-4
Female	cRNA_0832	chr9:83834577-83873875	JNC-JNC	ENSMUSG00000032263.15	protein_coding	Bckdhb	UP	mmu-Bckdhb_0003	NA	MMU_CIRCpedia_31466	2	Kidney, Muscle	2.7193236232203004	5.113595432633984e-5
Female	cRNA_0854	chr8:3308383-3308934	FULLEX	ENSMUSG00000005534.11	protein_coding	Insr	UP	mmu-Insr_0016	NA	MMU_CIRCpedia_16558	3	Colon, Kidney, Muscle	1.850160830805047	0.023048610885697
Female	cRNA_0859	chr8:26045524-26045790	FULLEX	ENSMUSG00000031565.19	protein_coding	Fgfr1	UP	mmu-Fgfr1_0008	NA	NA	1	Muscle	2.3552451452589143	0.00573060793231181
Female	cRNA_0887	chr8:85498413-85498944	FULLEX	ENSMUSG00000001911.17	protein_coding	Nfix	DOWN	mmu-Nfix_0002	mm9_circ_002886	MMU_CIRCpedia_31796	2	Kidney, Liver	-0.7852089564999822	0.005589394396954913
Female	cRNA_1065	chr18:45725073-45725491	FULLEX	ENSMUSG00000054477.17	protein_coding	Kcnn2	UP	mmu-Kcnn2_0003	mm9_circ_008701	MMU_CIRCpedia_20606	1	Liver	2.4185690897030794	0.00831841044629906
Female	cRNA_1147	chr5:106767406-106786501	JNC-JNC	ENSMUSG00000049606.17	protein_coding	Zfp644	UP	mmu-Zfp644_0004	NA	MMU_CIRCpedia_1795	2	Kidney, Liver	1.3935923045000393	0.014056299903135644
Female	cRNA_1151	chr5:118731398-118731635	FULLEX	ENSMUSG00000018076.13	protein_coding	Med13l	DOWN	mmu-Med13l_0005	mm9_circ_005281	MMU_CIRCpedia_4551	1	Kidney	-1.4556739769849052	0.01895819238895177
Female	cRNA_1299	chr9:44740081-44740568	JNC-JNC	ENSMUSG00000002028.14	protein_coding	Kmt2a	DOWN	mmu-Kmt2a_0009,mmu-Kmt2a_0007	mm9_circ_007127	MMU_CIRCpedia_20406	1	Kidney	-1.5912634802087458	0.01717410577467581
Female	cRNA_1422	chr19:42550991-42564640	JNC-JNC	ENSMUSG00000025184.11	protein_coding	R3hcc1l	DOWN	mmu-R3hcc1l_0003	NA	MMU_CIRCpedia_19887	1	Kidney	-1.1968105979230432	0.0335210964485837
Female	cRNA_1508	chr1:66812065-66841327	JNC-JNC	ENSMUSG00000026004.16	protein_coding	Kansl1l	DOWN	mmu-Kansl1l_0021	mm9_circ_016338	MMU_CIRCpedia_26646	1	Kidney	-1.1079803583461763	0.01739268076073228
Female	cRNA_1583	chr11:72290700-72294830	JNC-JNC	ENSMUSG00000045667.15	protein_coding	Smtnl2	DOWN	mmu-Smtnl2_0001	NA	MMU_CIRCpedia_28064	1	Muscle	-1.518124510194614	0.0300583121341103
Female	cRNA_1628	chr16:43849042-43860521	JNC-JNC	ENSMUSG00000036292.15	protein_coding	Gramd1c	UP	mmu-intergenic_001087	NA	NA	1	Liver	1.3453169569498786	0.00521115585748951
Female	cRNA_1634	chr15:37973147-37989896	JNC-JNC	ENSMUSG00000037487.8	protein_coding	Ubr5	DOWN	mmu-Ubr5_0062	NA	MMU_CIRCpedia_216940	1	Muscle	-1.7759810159980851	0.02566318916140444
Female	cRNA_1657	chr18:16773479-16783555	JNC-JNC	ENSMUSG00000024304.15	protein_coding	Cdh2	DOWN	mmu-Cdh2_0009	mm9_circ_010308	MMU_CIRCpedia_11590	1	Liver	-1.7352270938658854	0.008650026752742715
Female	cRNA_1675	chr19:37021922-37045691	JNC-JNC	ENSMUSG00000039652.17	protein_coding	Cpeb3	DOWN	mmu-Cpeb3_0019	NA	MMU_CIRCpedia_18411	1	Muscle	-1.4214240766638513	0.027547840777270287
Female	cRNA_1784	chr2:76680914-76682481	JNC-JNC	ENSMUSG00000051747.16	protein_coding	Ttn	UP	mmu-Ttn_0184	NA	NA	1	Muscle	1.8797155751293504	0.0010715824381592673
Female	cRNA_1786	chr2:76683949-76686710	JNC-JNC	ENSMUSG00000051747.16	protein_coding	Ttn	UP	mmu-Ttn_0122	NA	NA	1	Muscle	2.1451912942804094	0.024495912890064656
Female	cRNA_1788	chr2:76688248-76714541	JNC-JNC	ENSMUSG00000051747.16	protein_coding	Ttn	DOWN	mmu-Ttn_0119	NA	MMU_CIRCpedia_216831	1	Heart	-2.4886777357924164	0.00622645458787872
Female	cRNA_1856	chr9:96222255-96227946	JNC-JNC	ENSMUSG00000032412.9	protein_coding	Atp1b3	DOWN	mmu-Atp1b3_0002	NA	MMU_CIRCpedia_35348	1	Muscle	-1.489218682942722	0.03437227560584761
Female	cRNA_1907	chr6:23107139-23122736	JNC-JNC	ENSMUSG00000029695.14	protein_coding	Aass	DOWN	mmu-Aass_0001	NA	MMU_CIRCpedia_13680	1	Liver	-0.7175902144262546	0.01890434583392543
Female	cRNA_1957	chr16:4989725-4991030	JNC-JNC	ENSMUSG00000091712.3	protein_coding	Sec14l5	DOWN	mmu-Sec14l5_0001	NA	MMU_CIRCpedia_22162	1	Muscle	-1.676729792158512	0.03727309910889764
Female	cRNA_1970	chr2:76677732-76678986	JNC-JNC	ENSMUSG00000051747.16	protein_coding	Ttn	UP	mmu-Ttn_1037	NA	NA	1	Muscle	2.3569707507646234	0.009680247079730094
Female	cRNA_1986	chr2:76684494-76686710	JNC-JNC	ENSMUSG00000051747.16	protein_coding	Ttn	UP	mmu-Ttn_0176	NA	NA	1	Muscle	3.2756439387500262	4.771849176186138e-9
Female	cRNA_2036	chr2:125011333-125032265	JNC-JNC	ENSMUSG00000027202.13	protein_coding	Slc12a1	DOWN	mmu-Slc12a1_0032	NA	NA	1	Kidney	-1.0017130333583344	0.005537164926769454
Female	cRNA_2037	chr2:125036045-125067983	JNC-JNC	ENSMUSG00000027202.13	protein_coding	Slc12a1	UP	mmu-Slc12a1_0002	NA	NA	1	Kidney	2.1500182843915288	0.00923156672730658
Female	cRNA_2057	chr2:69322099-69326839	JNC-JNC	ENSMUSG00000027070.15	protein_coding	Lrp2	DOWN	mmu-Lrp2_0001	NA	NA	1	Kidney	-1.9910359377737743	0.03616964653306723
Female	cRNA_2077	chr4:151118314-151125930	JNC-JNC	ENSMUSG00000028957.13	protein_coding	Per3	DOWN	mmu-Per3_0001	NA	NA	1	Muscle	-0.8653475803680896	0.03437227560584761
Female	cRNA_2382	chr12:52562862-52566750	FULLEX	ENSMUSG00000035133.10	protein_coding	Arhgap5	UP	mmu-Arhgap5_0009,mmu-Arhgap5_0019	mm9_circ_011007	MMU_CIRCpedia_22395	2	Liver, Muscle	1.7581699233329098	0.001632844095969026
Female	cRNA_2399	chr16:57390013-57392788	JNC-EX	ENSMUSG00000043336.15	protein_coding	Filip1l	DOWN	mmu-Filip1l_0001	NA	NA	1	Muscle	-1.545460662456441	1.541054555601838e-4
Female	cRNA_2456	chr5:106765937-106767508	EX-JNC	ENSMUSG00000049606.17	protein_coding	Zfp644	UP	mmu-Zfp644_0011	mm9_circ_001406	NA	1	Kidney	1.76367917623803	0.00935532673951532
Female	cRNA_2626	chr10:52305289-52312759	JNC-EX	ENSMUSG00000023068.17	protein_coding	Nus1	DOWN	mmu-Nus1_0001	mm9_circ_014703	NA	1	Kidney	-1.1479700436704408	0.02103006336468205
Female	cRNA_3401	chr15:84055283-84070282	JNC-JNC	ENSMUSG00000041653.6	protein_coding	Pnpla3	DOWN	mmu-Pnpla3_0001	NA	NA	1	Liver	-2.6367698899980843	9.436963193137756e-4
Male	cRNA_0065	chr12:51806002-51807953	JNC-JNC	ENSMUSG00000035247.17	protein_coding	Hectd1	DOWN	mmu-Hectd1_0012	mm9_circ_002888	MMU_CIRCpedia_22183	1	Heart	-1.6621233646099358	0.03173859153146434
Male	cRNA_0078	chr12:82387436-82389273	FULLEX	ENSMUSG00000042700.17	protein_coding	Sipa1l1	UP	mmu-Sipa1l1_0031	mm9_circ_007155	MMU_CIRCpedia_31036	1	Ileon	1.5561009963540298	0.0012744675092372267
Male	cRNA_0103	chr11:6143154-6143476	FULLEX	ENSMUSG00000053838.15	protein_coding	Nudcd3	UP	mmu-Nudcd3_0002	mm9_circ_005786	MMU_CIRCpedia_25157	1	Ileon	1.2893194402437798	0.03734651610993564
Male	cRNA_0155	chr10:12312025-12331308	JNC-JNC	ENSMUSG00000019820.12	protein_coding	Utrn	DOWN	mmu-Utrn_0025	mm9_circ_009056	MMU_CIRCpedia_6294	2	Colon, Ileon	-1.8996672332407383	0.02328720410356809
Male	cRNA_0160	chr10:25096509-25165628	JNC-JNC	ENSMUSG00000039166.17	protein_coding	Akap7	UP	mmu-Akap7_0001	mm9_circ_000741	MMU_CIRCpedia_14415	1	Muscle	1.9409291035026253	0.013429549043778091
Male	cRNA_0165	chr10:39952560-39956803	JNC-JNC	ENSMUSG00000019838.12	protein_coding	Slc16a10	DOWN	mmu-Slc16a10_0002	NA	MMU_CIRCpedia_19283	1	Heart	-3.1510488141246733	7.119559008302323e-4
Male	cRNA_0170	chr10:62606634-62607844	JNC-JNC	ENSMUSG00000020074.8	protein_coding	Ccar1	UP	mmu-Ccar1_0009	NA	MMU_CIRCpedia_25384	1	Kidney	4.028627120413466	5.470604581537294e-4
Male	cRNA_0195	chr17:26958517-26962105	JNC-JNC	ENSMUSG00000048249.15	protein_coding	Crebrf	UP	mmu-Crebrf_0009	mm9_circ_004122	MMU_CIRCpedia_14835	1	Ileon	1.0521624318269391	0.02221997885090105
Male	cRNA_0225	chr17:81955238-81957067	FULLEX	ENSMUSG00000054640.16	protein_coding	Slc8a1	DOWN	mmu-intergenic_000192,mmu-intergenic_023916	mm9_circ_014302	MMU_CIRCpedia_30902	1	Kidney	-1.5603944513390775	3.64375748264613e-14
Male	cRNA_0234	chr16:13515197-13516939	JNC-JNC	ENSMUSG00000022684.16	protein_coding	Bfar	UP	mmu-Bfar_0002	mm9_circ_009604	MMU_CIRCpedia_8487	2	Colon, Ileon	2.835105233346863	0.004397684390771115
Male	cRNA_0262	chr15:4076947-4089478	JNC-JNC	ENSMUSG00000022186.15	protein_coding	Oxct1	UP	mmu-Oxct1_0001	mm9_circ_000453	MMU_CIRCpedia_19364	1	Heart	1.6144327551887137	0.00162659855840152
Male	cRNA_0268	chr15:50685501-50710338	JNC-JNC	ENSMUSG00000038679.17	protein_coding	Trps1	DOWN	mmu-Trps1_0001	NA	MMU_CIRCpedia_21954	1	Kidney	-1.7459453665869291	0.00631210808676491
Male	cRNA_0276	chr15:82709432-82741485	JNC-JNC	ENSMUSG00000041852.16	protein_coding	Tcf20	DOWN	mmu-Tcf20_0007	mm9_circ_000890	MMU_CIRCpedia_31127	1	Kidney	-0.9366661461964628	0.00591886167507104
Male	cRNA_0277	chr15:82735714-82741485	FULLEX	ENSMUSG00000041852.16	protein_coding	Tcf20	DOWN	mmu-Tcf20_0003,mmu-Tcf20_0032	mm9_circ_001424	MMU_CIRCpedia_31130	1	Heart	-1.827781517009323	0.03173859153146434
Male	cRNA_0278	chr15:88695500-88696362	JNC-JNC	ENSMUSG00000035845.18	protein_coding	Alg12	UP	mmu-Alg12_0001	mm9_circ_017350	MMU_CIRCpedia_33206	1	Muscle	1.5195148769670468	0.01114615902805859
Male	cRNA_0300	chr14:34413639-34417062	JNC-JNC	ENSMUSG00000041408.19	protein_coding	Wapl	UP	mmu-Wapal_0027	mm9_circ_002816	MMU_CIRCpedia_17430	1	Liver	2.33734012006935	2.0680615355927703e-4
Male	cRNA_0345	chr18:74102962-74104347	FULLEX	ENSMUSG00000024558.13	protein_coding	Mapk4	DOWN	mmu-Mapk4_0002	mm9_circ_009337	MMU_CIRCpedia_28597	1	Kidney	-2.388234304332454	0.0071500942892837194
Male	cRNA_0377	chr7:14312661-14343264	JNC-JNC	ENSMUSG00000121301.1	lncRNA	Nlrp5-ps	DOWN	mmu-Nlrp5-ps_0001,mmu-Nlrp5-ps_0043	NA	MMU_CIRCpedia_9614	1	Kidney	-1.5963731073882317	0.00591886167507104
Male	cRNA_0416	chr7:132373307-132381114	JNC-JNC	ENSMUSG00000030956.16	protein_coding	Fam53b	DOWN	mmu-Fam53b_0001	NA	MMU_CIRCpedia_7869	1	Muscle	-1.5203761545881438	0.01853913046959931
Male	cRNA_0447	chr6:47553470-47554601	JNC-JNC	ENSMUSG00000029687.17	protein_coding	Ezh2	DOWN	mmu-Ezh2_0018	mm9_circ_002148	MMU_CIRCpedia_21123	1	Heart	-3.181425774112397	8.524948176635955e-8
Male	cRNA_0523	chr5:106782697-106786501	JNC-JNC	ENSMUSG00000049606.17	protein_coding	Zfp644	UP	mmu-Zfp644_0013	mm9_circ_014393	MMU_CIRCpedia_1797	1	Liver	2.19839726125936	8.868543973517384e-4
Male	cRNA_0533	chr5:121910730-121916168	JNC-JNC	ENSMUSG00000042605.17	protein_coding	Atxn2	UP	mmu-Atxn2_0004	mm9_circ_016398	MMU_CIRCpedia_5594	1	Kidney	1.9806237464028524	0.03437213339379251
Male	cRNA_0538	chr5:135150360-135152871	JNC-JNC	ENSMUSG00000005373.14	protein_coding	Mlxipl	DOWN	mmu-Mlxipl_0001	NA	MMU_CIRCpedia_8211	2	Kidney, Liver	-1.004347462165494	0.025643430571096498
Male	cRNA_0639	chr3:103217625-103218829	JNC-JNC	ENSMUSG00000033014.13	protein_coding	Trim33	UP	mmu-Trim33_0028	mm9_circ_015990	MMU_CIRCpedia_935	1	Muscle	1.9633408925095155	0.03188299275646431
Male	cRNA_0643	chr3:122541538-122542126	FULLEX	ENSMUSG00000053965.11	protein_coding	Pde5a	UP	mmu-Pde5a_0009	mm9_circ_007906	MMU_CIRCpedia_5878	1	Colon	2.4761980388067135	0.00306372581214166
Male	cRNA_0645	chr3:122575216-122611716	JNC-JNC	ENSMUSG00000053965.11	protein_coding	Pde5a	UP	mmu-Pde5a_0007	mm9_circ_007474	MMU_CIRCpedia_5887	1	Ileon	3.9740647388205432	1.2689604861758084e-7
Male	cRNA_0698	chr2:104301094-104302192	FULLEX	ENSMUSG00000027177.15	protein_coding	Hipk3	DOWN	mmu-Hipk3_0011	mm9_circ_013422	MMU_CIRCpedia_1229	1	Ileon	-1.1022983021139978	0.04064367511264229
Male	cRNA_0739	chr1:7190418-7190839	FULLEX	ENSMUSG00000051285.18	protein_coding	Pcmtd1	UP	mmu-Pcmtd1_0002	NA	MMU_CIRCpedia_27728	1	Kidney	2.4686248680665916	0.00798611204157801
Male	cRNA_0748	chr1:38092697-38124733	JNC-JNC	ENSMUSG00000026082.12	protein_coding	Rev1	UP	mmu-Rev1_0016	mm9_circ_016062	MMU_CIRCpedia_18768	1	Liver	2.3279934484695795	0.01196748596466105
Male	cRNA_0760	chr1:74020073-74036263	JNC-JNC	ENSMUSG00000055322.17	protein_coding	Tns1	UP	mmu-Tns1_0020	NA	MMU_CIRCpedia_40011	1	Heart	1.8701660535269904	0.03173859153146434
Male	cRNA_0791	chr1:185118443-185129464	JNC-JNC	ENSMUSG00000026615.15	protein_coding	Eprs	UP	mmu-Eprs_0019,mmu-Eprs_0023	mm9_circ_005659	MMU_CIRCpedia_12532	1	Kidney	1.3525588550984302	0.02218972908294183
Male	cRNA_0819	chr9:65701904-65702777	FULLEX	ENSMUSG00000040524.10	protein_coding	Zfp609	UP	mmu-Zfp609_0001	mm9_circ_004501	MMU_CIRCpedia_26291	2	Kidney, Muscle	1.7686083017997491	0.005806734605548982
Male	cRNA_0832	chr9:83834577-83873875	JNC-JNC	ENSMUSG00000032263.15	protein_coding	Bckdhb	UP	mmu-Bckdhb_0003	NA	MMU_CIRCpedia_31466	3	Kidney, Liver, Muscle	1.6211759741857454	0.00298204118396452
Male	cRNA_0833	chr9:83870829-83894672	JNC-JNC	ENSMUSG00000032263.15	protein_coding	Bckdhb	UP	mmu-Bckdhb_0002	mm9_circ_009629	MMU_CIRCpedia_31491	1	Muscle	2.072244648844482	0.011426938032943298
Male	cRNA_0854	chr8:3308383-3308934	FULLEX	ENSMUSG00000005534.11	protein_coding	Insr	UP	mmu-Insr_0016	NA	MMU_CIRCpedia_16558	1	Muscle	1.3918799093154268	0.010823842989675194
Male	cRNA_0870	chr8:61782253-61783052	JNC-JNC	ENSMUSG00000031642.10	protein_coding	Sh3rf1	UP	mmu-Sh3rf1_0001	NA	MMU_CIRCpedia_25056	1	Kidney	1.162636344856679	0.011192489987091724
Male	cRNA_0879	chr8:78071269-78085263	JNC-JNC	ENSMUSG00000037148.9	protein_coding	Arhgap10	UP	mmu-Arhgap10_0013	NA	MMU_CIRCpedia_29632	1	Heart	1.5070261853947318	0.03173859153146434
Male	cRNA_0892	chr8:96091942-96093050	JNC-JNC	ENSMUSG00000031790.9	protein_coding	Mmp15	DOWN	mmu-Mmp15_0002	mm9_circ_012938	MMU_CIRCpedia_35067	1	Muscle	-1.958881926770966	6.143132741905292e-4
Male	cRNA_0994	chr17:5090855-5177299	JNC-JNC	ENSMUSG00000069729.15	protein_coding	Arid1b	DOWN	mmu-Arid1b_0002	NA	MMU_CIRCpedia_21839	1	Liver	-2.0385036804927212	0.01613162086181779
Male	cRNA_1065	chr18:45725073-45725491	FULLEX	ENSMUSG00000054477.17	protein_coding	Kcnn2	UP	mmu-Kcnn2_0003	mm9_circ_008701	MMU_CIRCpedia_20606	1	Liver	2.41214328329179	0.01196748596466105
Male	cRNA_1067	chr18:56940736-56945147	JNC-JNC	ENSMUSG00000032656.15	protein_coding	Marchf3	DOWN	mmu-March3_0001	NA	MMU_CIRCpedia_23642	1	Heart	-3.2634602057566875	8.541092756051751e-4
Male	cRNA_1147	chr5:106767406-106786501	JNC-JNC	ENSMUSG00000049606.17	protein_coding	Zfp644	UP	mmu-Zfp644_0004	NA	MMU_CIRCpedia_1795	1	Liver	2.1451378110963075	0.0013309662536030607
Male	cRNA_1175	chr4:53127597-53133015	JNC-JNC	ENSMUSG00000015243.5	protein_coding	Abca1	UP	mmu-Abca1_0011	NA	MMU_CIRCpedia_22530	1	Muscle	2.1703791642156807	0.01114615902805859
Male	cRNA_1292	chr9:14482919-14486735	JNC-JNC	ENSMUSG00000013076.18	protein_coding	Amotl1	DOWN	mmu-Amotl1_0005	mm9_circ_000340	MMU_CIRCpedia_9611	1	Muscle	-1.3115412706087868	0.01683838098697558
Male	cRNA_1342	chr8:87392319-87399697	JNC-JNC	ENSMUSG00000047866.21	protein_coding	Lonp2	DOWN	mmu-Lonp2_0012	NA	MMU_CIRCpedia_32535	1	Liver	-2.1006261609380097	0.023980657499454952
Male	cRNA_1421	chr19:42550991-42552780	FULLEX	ENSMUSG00000025184.11	protein_coding	R3hcc1l	DOWN	mmu-R3hcc1l_0002	mm9_circ_011137	MMU_CIRCpedia_19886	1	Kidney	-1.7317396806606526	0.03301212873585259
Male	cRNA_1422	chr19:42550991-42564640	JNC-JNC	ENSMUSG00000025184.11	protein_coding	R3hcc1l	DOWN	mmu-R3hcc1l_0003	NA	MMU_CIRCpedia_19887	1	Kidney	-2.20785661232812	0.00300431190474271
Male	cRNA_1508	chr1:66812065-66841327	JNC-JNC	ENSMUSG00000026004.16	protein_coding	Kansl1l	DOWN	mmu-Kansl1l_0021	mm9_circ_016338	MMU_CIRCpedia_26646	1	Kidney	-1.2499881254039662	0.0072734196960649
Male	cRNA_1583	chr11:72290700-72294830	JNC-JNC	ENSMUSG00000045667.15	protein_coding	Smtnl2	DOWN	mmu-Smtnl2_0001	NA	MMU_CIRCpedia_28064	1	Muscle	-2.5430003121732714	1.6745802428700915e-5
Male	cRNA_1786	chr2:76683949-76686710	JNC-JNC	ENSMUSG00000051747.16	protein_coding	Ttn	UP	mmu-Ttn_0122	NA	NA	1	Muscle	1.5808943310915469	0.00377105889521218
