Tissue	Sex	circID	Cons_coords	type	gene_id	gene_type	gene_name	Change	circAtlas	circBase	circPedia	NtoolsDE	medianLFC	medianPadj	medianStat	LFC_lineal	padj_lineal	changeLineal	NtissuesDE	Tissues
Heart	Male	cRNA_0879	chr8:78071269-78085263	JNC-JNC	ENSMUSG00000037148.9	protein_coding	Arhgap10	UP	mmu-Arhgap10_0013	NA	MMU_CIRCpedia_29632	3	1.507026185394731	0.03173859153146434	3.40709595462626	0.2676735530663167	0.4084165767415024	NS	1	Heart
Heart	Male	cRNA_1845	chr9:77072047-77098019	JNC-JNC	ENSMUSG00000032355.17	protein_coding	Mlip	UP	mmu-Mlip_0029	mm9_circ_012617	MMU_CIRCpedia_29558	3	1.3538015936542869	0.03994570292628089	3.107919833380112	-0.11511271863693565	0.7858902345640493	NS	1	Heart
Heart	Male	cRNA_2382	chr12:52562862-52566750	FULLEX	ENSMUSG00000035133.10	protein_coding	Arhgap5	UP	mmu-Arhgap5_0009,mmu-Arhgap5_0019	mm9_circ_011007	MMU_CIRCpedia_22395	3	1.5830010748712728	0.01260132547196315	3.8048949923519904	0.3833575227078449	0.16562163459169577	NS	3	Heart, Liver, Muscle
Ileon	Female	cRNA_0234	chr16:13515197-13516939	JNC-JNC	ENSMUSG00000022684.16	protein_coding	Bfar	UP	mmu-Bfar_0002	mm9_circ_009604	MMU_CIRCpedia_8487	4	3.1647289825877527	4.07060042467888e-7	6.085995501174802	0.45658453826718753	0.12300304644234356	NS	4	Colon, Ileon, Kidney, Liver
Ileon	Female	cRNA_0348	chr18:79129766-79130395	FULLEX	ENSMUSG00000024548.12	protein_coding	Setbp1	DOWN	mmu-Setbp1_0001	mm9_circ_012515	MMU_CIRCpedia_30067	3	-1.9441988409345108	0.01769119746817815	-3.5480565060793654	-0.4445218389233146	0.4993065702045902	NS	2	Ileon, Kidney
Ileon	Female	cRNA_0356	chr19:29731000-29732417	FULLEX	ENSMUSG00000046138.16	protein_coding	9930021J03Rik	UP	mmu-9930021J03Rik_0010	NA	MMU_CIRCpedia_15577	3	2.3758423711681655	0.0198977471027374	3.445437393658974	0.07828603817566843	0.8460155275907315	NS	1	Ileon
Ileon	Female	cRNA_0530	chr5:117472833-117482078	JNC-JNC	ENSMUSG00000066894.15	protein_coding	Vsig10	UP	mmu-Vsig10_0001	NA	MMU_CIRCpedia_213768	4	1.8979894558907744	0.03564436116955133	2.983744360721296	-0.28365317677575325	0.5005571770741657	NS	1	Ileon
Ileon	Female	cRNA_0600	chr4:141033825-141036391	JNC-JNC	ENSMUSG00000006445.4	protein_coding	Epha2	UP	mmu-Epha2_0002	mm9_circ_005186	MMU_CIRCpedia_9054	3	2.620360333718711	0.02490423289868771	3.358048930743735	-0.2362905184896334	0.7606959923107275	NS	1	Ileon
Ileon	Female	cRNA_0622	chr3:72807751-72822024	JNC-JNC	ENSMUSG00000027790.15	protein_coding	Sis	UP	mmu-Sis_0002	NA	NA	3	2.440108524745656	0.00605164332024894	3.879434215011811	1.0891248210188331	0.5365321878032067	NS	1	Ileon
Ileon	Female	cRNA_0643	chr3:122541538-122542126	FULLEX	ENSMUSG00000053965.11	protein_coding	Pde5a	UP	mmu-Pde5a_0009	mm9_circ_007906	MMU_CIRCpedia_5878	4	2.022159547831924	0.01373771875098148	3.563460494960098	-0.18434749439104955	0.551340396143417	NS	1	Ileon
Ileon	Female	cRNA_0664	chr2:13386569-13463938	JNC-JNC	ENSMUSG00000026726.11	protein_coding	Cubn	UP	mmu-Cubn_0007	NA	NA	4	4.962025338032653	1.3826290751736792e-4	4.783165592587082	1.4076519839187245	0.2229168120006901	NS	1	Ileon
Ileon	Female	cRNA_0698	chr2:104301094-104302192	FULLEX	ENSMUSG00000027177.15	protein_coding	Hipk3	DOWN	mmu-Hipk3_0011	mm9_circ_013422	MMU_CIRCpedia_1229	3	-1.1970257643059257	0.03931091846619255	-3.0366388572303067	-0.12293482653713299	0.6331542646904799	NS	1	Ileon
Ileon	Female	cRNA_0839	chr9:96474003-96493552	JNC-JNC	ENSMUSG00000032413.13	protein_coding	Rasa2	DOWN	mmu-Rasa2_0027	mm9_circ_001729	MMU_CIRCpedia_35405	4	-1.0712199452199256	0.02597658143739414	-3.451565776822211	0.15028675018374762	0.7087681551563944	NS	1	Ileon
Ileon	Male	cRNA_0078	chr12:82387436-82389273	FULLEX	ENSMUSG00000042700.17	protein_coding	Sipa1l1	UP	mmu-Sipa1l1_0031	mm9_circ_007155	MMU_CIRCpedia_31036	3	1.5739288593645888	0.00211121994170972	4.379703198097043	-0.0013141161663065117	0.9977318745506131	NS	1	Ileon
Ileon	Male	cRNA_0234	chr16:13515197-13516939	JNC-JNC	ENSMUSG00000022684.16	protein_coding	Bfar	UP	mmu-Bfar_0002	mm9_circ_009604	MMU_CIRCpedia_8487	3	2.0153007025259897	0.02230844323036308	3.6689023655086506	0.4269770991810911	0.1346201793885962	NS	2	Colon, Ileon
Ileon	Male	cRNA_0645	chr3:122575216-122611716	JNC-JNC	ENSMUSG00000053965.11	protein_coding	Pde5a	UP	mmu-Pde5a_0007	mm9_circ_007474	MMU_CIRCpedia_5887	3	3.924918625876552	2.7219940022622546e-7	6.07770396803333	-0.26594638442156787	0.48855771283979443	NS	1	Ileon
Kidney	Female	cRNA_0103	chr11:6143154-6143476	FULLEX	ENSMUSG00000053838.15	protein_coding	Nudcd3	UP	mmu-Nudcd3_0002	mm9_circ_005786	MMU_CIRCpedia_25157	4	1.3771384338471149	0.0256896870984959	3.34967653470992	0.002791910165646403	0.9808284669796072	NS	1	Kidney
Kidney	Female	cRNA_0234	chr16:13515197-13516939	JNC-JNC	ENSMUSG00000022684.16	protein_coding	Bfar	UP	mmu-Bfar_0002	mm9_circ_009604	MMU_CIRCpedia_8487	4	2.112951984567304	0.00165872403338167	4.261381318359664	0.09328380973361071	0.5572444566893134	NS	4	Colon, Ileon, Kidney, Liver
Kidney	Female	cRNA_0262	chr15:4076947-4089478	JNC-JNC	ENSMUSG00000022186.15	protein_coding	Oxct1	UP	mmu-Oxct1_0001	mm9_circ_000453	MMU_CIRCpedia_19364	4	1.5971116902192788	5.995453682852199e-4	4.736612667896489	-1.1717497712047764	2.771355941237532e-21	DOWN	1	Kidney
Kidney	Female	cRNA_0320	chr14:120562206-120562824	FULLEX	ENSMUSG00000022139.18	protein_coding	Mbnl2	UP	mmu-Mbnl2_0008	NA	MMU_CIRCpedia_5057	4	2.105160242833383	0.02526088324659631	3.3214364862490173	0.1626575353920936	0.20343977866453572	NS	2	Kidney, Muscle
Kidney	Female	cRNA_0348	chr18:79129766-79130395	FULLEX	ENSMUSG00000024548.12	protein_coding	Setbp1	DOWN	mmu-Setbp1_0001	mm9_circ_012515	MMU_CIRCpedia_30067	4	-0.6871609935102982	0.01990524128880087	-3.415060336218441	-0.11090092472193579	0.49362884436994336	NS	2	Ileon, Kidney
Kidney	Female	cRNA_0467	chr6:119897071-119897989	JNC-JNC	ENSMUSG00000030166.15	protein_coding	Rad52	DOWN	mmu-Rad52_0003,mmu-Rad52_0005	mm9_circ_012490	MMU_CIRCpedia_4990,MMU_CIRCpedia_4991	4	-0.6597318860458457	0.02251514064789423	-3.484512402898262	0.0231753626071866	0.9160847255344967	NS	1	Kidney
Kidney	Female	cRNA_0470	chr6:134518615-134519008	FULLEX	ENSMUSG00000030201.16	protein_coding	Lrp6	UP	mmu-Lrp6_0008	NA	MMU_CIRCpedia_8121	3	1.334912409918814	0.03057891585029516	3.15298376520168	0.1739460955415039	0.17785977622398305	NS	1	Kidney
Kidney	Female	cRNA_0538	chr5:135150360-135152871	JNC-JNC	ENSMUSG00000005373.14	protein_coding	Mlxipl	DOWN	mmu-Mlxipl_0001	NA	MMU_CIRCpedia_8211	4	-0.9045439485612302	0.01954892305275108	-3.514761584478049	-0.021036357745280336	0.9468897303060254	NS	2	Kidney, Liver
Kidney	Female	cRNA_0678	chr2:48760301-48763485	JNC-JNC	ENSMUSG00000052155.6	protein_coding	Acvr2a	DOWN	mmu-Acvr2a_0010	mm9_circ_002037	MMU_CIRCpedia_21408	4	-1.288369412098794	0.03083154965567749	-3.166969935049333	0.28748786103537943	3.482612157162409e-5	UP	1	Kidney
Kidney	Female	cRNA_0832	chr9:83834577-83873875	JNC-JNC	ENSMUSG00000032263.15	protein_coding	Bckdhb	UP	mmu-Bckdhb_0003	NA	MMU_CIRCpedia_31466	3	1.679990309865951	4.349493413839032e-5	5.407352616023645	0.10320270900027052	0.44784053409560537	NS	2	Kidney, Muscle
Kidney	Female	cRNA_0854	chr8:3308383-3308934	FULLEX	ENSMUSG00000005534.11	protein_coding	Insr	UP	mmu-Insr_0016	NA	MMU_CIRCpedia_16558	3	1.151601247270744	0.03057891585029516	3.2022185279370636	0.20443835148904924	0.3628384654707523	NS	4	Colon, Ileon, Kidney, Muscle
Kidney	Female	cRNA_0887	chr8:85498413-85498944	FULLEX	ENSMUSG00000001911.17	protein_coding	Nfix	DOWN	mmu-Nfix_0002	mm9_circ_002886	MMU_CIRCpedia_31796	4	-0.7665642677257567	0.00596763293642031	-3.967971415239047	-0.024923103669802202	0.9087810753984322	NS	2	Kidney, Liver
Kidney	Female	cRNA_1151	chr5:118731398-118731635	FULLEX	ENSMUSG00000018076.13	protein_coding	Med13l	DOWN	mmu-Med13l_0005	mm9_circ_005281	MMU_CIRCpedia_4551	3	-1.4556739769849052	0.01895819238895177	-3.4876529614705545	0.3328674767959557	0.12206169451782352	NS	1	Kidney
Kidney	Female	cRNA_1299	chr9:44740081-44740568	JNC-JNC	ENSMUSG00000002028.14	protein_coding	Kmt2a	DOWN	mmu-Kmt2a_0009,mmu-Kmt2a_0007	mm9_circ_007127	MMU_CIRCpedia_20406	3	-1.5912634802087458	0.01717410577467578	-3.58963458392271	0.2074780987598112	0.4573334370099089	NS	1	Kidney
Kidney	Female	cRNA_1422	chr19:42550991-42564640	JNC-JNC	ENSMUSG00000025184.11	protein_coding	R3hcc1l	DOWN	mmu-R3hcc1l_0003	NA	MMU_CIRCpedia_19887	3	-1.1968105979230432	0.0335210964485837	-3.1285746239036074	-0.21608157735730374	0.16148207990347224	NS	1	Kidney
Kidney	Female	cRNA_1508	chr1:66812065-66841327	JNC-JNC	ENSMUSG00000026004.16	protein_coding	Kansl1l	DOWN	mmu-Kansl1l_0021	mm9_circ_016338	MMU_CIRCpedia_26646	4	-1.1079803583461765	0.01739268076073248	-3.52746860386575	0.13701763554984217	0.408950513227028	NS	1	Kidney
Kidney	Female	cRNA_2036	chr2:125011333-125032265	JNC-JNC	ENSMUSG00000027202.13	protein_coding	Slc12a1	DOWN	mmu-Slc12a1_0032	NA	NA	4	-1.0017130333583344	0.00553716492676945	-4.009920003048053	0.5679183081151221	5.460361707875575e-11	UP	1	Kidney
Kidney	Female	cRNA_2626	chr10:52305289-52312759	JNC-EX	ENSMUSG00000023068.17	protein_coding	Nus1	DOWN	mmu-Nus1_0001	mm9_circ_014703	NA	3	-1.1479700436704403	0.02103006336468205	-3.5290202924304483	-0.11852500799941021	0.35038678270690515	NS	1	Kidney
Kidney	Male	cRNA_0170	chr10:62606634-62607844	JNC-JNC	ENSMUSG00000020074.8	protein_coding	Ccar1	UP	mmu-Ccar1_0009	NA	MMU_CIRCpedia_25384	4	4.028627120413468	5.470604581537234e-4	4.600348792082298	0.3042034261263572	0.17119488048677353	NS	1	Kidney
Kidney	Male	cRNA_0276	chr15:82709432-82741485	JNC-JNC	ENSMUSG00000041852.16	protein_coding	Tcf20	DOWN	mmu-Tcf20_0007	mm9_circ_000890	MMU_CIRCpedia_31127	3	-0.9366661461964616	0.00591886167507099	-3.869774413546566	-0.10490399697361537	0.28462474762805506	NS	1	Kidney
Kidney	Male	cRNA_0377	chr7:14312661-14343264	JNC-JNC	ENSMUSG00000121301.1	lncRNA	Nlrp5-ps	DOWN	mmu-Nlrp5-ps_0001,mmu-Nlrp5-ps_0043	NA	MMU_CIRCpedia_9614	3	-1.5963731073882297	0.00591886167507099	-3.88130927288377	-0.4870898772678516	0.2896835032251037	NS	1	Kidney
Kidney	Male	cRNA_0533	chr5:121910730-121916168	JNC-JNC	ENSMUSG00000042605.17	protein_coding	Atxn2	UP	mmu-Atxn2_0004	mm9_circ_016398	MMU_CIRCpedia_5594	4	1.980623746402852	0.03437213339379268	3.2531910386858582	-0.5345596804612839	0.023366378463822505	DOWN	1	Kidney
Kidney	Male	cRNA_0538	chr5:135150360-135152871	JNC-JNC	ENSMUSG00000005373.14	protein_coding	Mlxipl	DOWN	mmu-Mlxipl_0001	NA	MMU_CIRCpedia_8211	3	-0.9951830386040325	0.01398431715333991	-3.580320191834786	-0.20752697875459986	0.30375610329084984	NS	2	Kidney, Liver
Kidney	Male	cRNA_0739	chr1:7190418-7190839	FULLEX	ENSMUSG00000051285.18	protein_coding	Pcmtd1	UP	mmu-Pcmtd1_0002	NA	MMU_CIRCpedia_27728	4	2.4686248680665916	0.00798611204157796	3.766852671391395	0.18854782701096431	0.16393192572596785	NS	1	Kidney
Kidney	Male	cRNA_0791	chr1:185118443-185129464	JNC-JNC	ENSMUSG00000026615.15	protein_coding	Eprs	UP	mmu-Eprs_0019,mmu-Eprs_0023	mm9_circ_005659	MMU_CIRCpedia_12532	3	1.35255885509843	0.02218972908294183	3.4321976396881615	-0.1906354492254321	0.05903038693135439	DOWN	1	Kidney
Kidney	Male	cRNA_0870	chr8:61782253-61783052	JNC-JNC	ENSMUSG00000031642.10	protein_coding	Sh3rf1	UP	mmu-Sh3rf1_0001	NA	MMU_CIRCpedia_25056	4	1.162636344856679	0.01119248998709127	3.642486094880852	0.2094597032740766	0.27299081700688	NS	1	Kidney
Kidney	Male	cRNA_1421	chr19:42550991-42552780	FULLEX	ENSMUSG00000025184.11	protein_coding	R3hcc1l	DOWN	mmu-R3hcc1l_0002	mm9_circ_011137	MMU_CIRCpedia_19886	3	-1.7317396806606526	0.03301212873585259	-3.2846500471018865	0.10220991706287223	0.5682863835035706	NS	1	Kidney
Kidney	Male	cRNA_1422	chr19:42550991-42564640	JNC-JNC	ENSMUSG00000025184.11	protein_coding	R3hcc1l	DOWN	mmu-R3hcc1l_0003	NA	MMU_CIRCpedia_19887	3	-2.2078566123281194	0.00300431190474266	-4.107922648579048	0.10220991706287223	0.5682863835035706	NS	1	Kidney
Kidney	Male	cRNA_2036	chr2:125011333-125032265	JNC-JNC	ENSMUSG00000027202.13	protein_coding	Slc12a1	DOWN	mmu-Slc12a1_0032	NA	NA	3	-1.3490022947018194	0.00300431190474266	-4.099130241799832	0.38100808579186146	0.03961160903864606	UP	1	Kidney
Liver	Female	cRNA_0127	chr11:70765572-70775794	JNC-JNC	ENSMUSG00000020817.17	protein_coding	Rabep1	DOWN	mmu-Rabep1_0026	mm9_circ_001848	MMU_CIRCpedia_27619	4	-1.3039895384430764	0.01505828424782632	-3.435690891306759	-0.25126985295898174	0.1712090667350134	NS	1	Liver
Liver	Female	cRNA_0128	chr11:70765572-70777997	JNC-JNC	ENSMUSG00000020817.17	protein_coding	Rabep1	DOWN	mmu-Rabep1_0027	mm9_circ_001327	MMU_CIRCpedia_27620	3	-1.215725159010686	0.01142566503510861	-3.255763368711649	-0.25126985295898174	0.1712090667350134	NS	1	Liver
Liver	Female	cRNA_0234	chr16:13515197-13516939	JNC-JNC	ENSMUSG00000022684.16	protein_coding	Bfar	UP	mmu-Bfar_0002	mm9_circ_009604	MMU_CIRCpedia_8487	4	2.763012315499765	0.00406680319063578	3.9043599025114633	-0.04270388634102202	0.8109340393430907	NS	4	Colon, Ileon, Kidney, Liver
Liver	Female	cRNA_0538	chr5:135150360-135152871	JNC-JNC	ENSMUSG00000005373.14	protein_coding	Mlxipl	DOWN	mmu-Mlxipl_0001	NA	MMU_CIRCpedia_8211	3	-1.3004177069977072	0.01223178394418937	-3.5705256585597587	-0.25088157052192267	0.38850398608758574	NS	2	Kidney, Liver
Liver	Female	cRNA_0739	chr1:7190418-7190839	FULLEX	ENSMUSG00000051285.18	protein_coding	Pcmtd1	UP	mmu-Pcmtd1_0002	NA	MMU_CIRCpedia_27728	4	2.1772330534119133	0.00590591609496859	3.7959052663030617	-0.08813284287168888	0.546505086876796	NS	2	Kidney, Liver
Liver	Female	cRNA_0805	chr9:45802102-45809789	JNC-JNC	ENSMUSG00000042790.17	protein_coding	Rnf214	UP	mmu-Rnf214_0001	NA	MMU_CIRCpedia_20731	3	1.7279971703241357	0.00831656433120458	3.3459732813456755	0.17276994898791545	0.2519044932705204	NS	1	Liver
Liver	Female	cRNA_0887	chr8:85498413-85498944	FULLEX	ENSMUSG00000001911.17	protein_coding	Nfix	DOWN	mmu-Nfix_0002	mm9_circ_002886	MMU_CIRCpedia_31796	3	-0.8038536452742077	0.00521115585748951	-3.5476380529235465	0.03639343558189284	0.8455198271846474	NS	2	Kidney, Liver
Liver	Female	cRNA_1628	chr16:43849042-43860521	JNC-JNC	ENSMUSG00000036292.15	protein_coding	Gramd1c	UP	mmu-intergenic_001087	NA	NA	3	1.3453169569498786	0.00521115585748951	3.537665514660448	0.006521159314333758	0.9886596794751755	NS	1	Liver
Liver	Female	cRNA_1657	chr18:16773479-16783555	JNC-JNC	ENSMUSG00000024304.15	protein_coding	Cdh2	DOWN	mmu-Cdh2_0009	mm9_circ_010308	MMU_CIRCpedia_11590	4	-1.7352270938658854	0.00865002675274264	-3.4253460597850696	0.05890013690857541	0.6021504933653823	NS	1	Liver
Liver	Female	cRNA_1907	chr6:23107139-23122736	JNC-JNC	ENSMUSG00000029695.14	protein_coding	Aass	DOWN	mmu-Aass_0001	NA	MMU_CIRCpedia_13680	3	-0.7175902144262557	0.01890434583392651	-3.2443491076968405	0.1645701586318182	0.5119290812417401	NS	1	Liver
Liver	Male	cRNA_0538	chr5:135150360-135152871	JNC-JNC	ENSMUSG00000005373.14	protein_coding	Mlxipl	DOWN	mmu-Mlxipl_0001	NA	MMU_CIRCpedia_8211	3	-1.0135118857269565	0.03730254398885404	-2.935746896244068	-0.32998142724602864	0.2862676755161334	NS	2	Kidney, Liver
Liver	Male	cRNA_0994	chr17:5090855-5177299	JNC-JNC	ENSMUSG00000069729.15	protein_coding	Arid1b	DOWN	mmu-Arid1b_0002	NA	MMU_CIRCpedia_21839	4	-2.0385036804927203	0.01613162086181781	-3.312644384165098	0.16220292812787487	0.24870945787268856	NS	1	Liver
Liver	Male	cRNA_3567	chr19:40141975-40156067	EX-JNC	ENSMUSG00000060613.11	protein_coding	Cyp2c70	UP	mmu-Cyp2c70_0002	NA	NA	3	2.5169735651377634	0.00989175497195427	3.5284749663242194	0.07112379160309497	0.8521918934378316	NS	1	Liver
Muscle	Female	cRNA_0320	chr14:120562206-120562824	FULLEX	ENSMUSG00000022139.18	protein_coding	Mbnl2	UP	mmu-Mbnl2_0008	NA	MMU_CIRCpedia_5057	3	1.9321876057507128	0.03331892184316859	3.239673647589376	-0.09652263541966485	0.43410177344301115	NS	2	Kidney, Muscle
Muscle	Female	cRNA_0859	chr8:26045524-26045790	FULLEX	ENSMUSG00000031565.19	protein_coding	Fgfr1	UP	mmu-Fgfr1_0008	NA	NA	4	2.3552451452589143	0.00573060793231181	3.945035191675633	0.005917245975698162	0.9772625088011883	NS	1	Muscle
Muscle	Female	cRNA_1634	chr15:37973147-37989896	JNC-JNC	ENSMUSG00000037487.8	protein_coding	Ubr5	DOWN	mmu-Ubr5_0062	NA	MMU_CIRCpedia_216940	3	-1.7759810159980851	0.02566318916140444	-3.239066892279008	0.09609817877852958	0.6081581831916577	NS	1	Muscle
Muscle	Female	cRNA_1675	chr19:37021922-37045691	JNC-JNC	ENSMUSG00000039652.17	protein_coding	Cpeb3	DOWN	mmu-Cpeb3_0019	NA	MMU_CIRCpedia_18411	4	-1.4214240766638513	0.02754784077727028	-3.303363873225494	-0.13483057093225392	0.45568947743175775	NS	1	Muscle
Muscle	Female	cRNA_1784	chr2:76680914-76682481	JNC-JNC	ENSMUSG00000051747.16	protein_coding	Ttn	UP	mmu-Ttn_0184	NA	NA	4	1.8797155751293504	0.00107158243815926	4.31412658311136	0.23850561363697867	0.2962565993208646	NS	1	Muscle
Muscle	Female	cRNA_1786	chr2:76683949-76686710	JNC-JNC	ENSMUSG00000051747.16	protein_coding	Ttn	UP	mmu-Ttn_0122	NA	NA	4	2.1451912942804094	0.02449591289006465	3.3768399051763036	0.23850561363697867	0.2962565993208646	NS	1	Muscle
Muscle	Female	cRNA_1856	chr9:96222255-96227946	JNC-JNC	ENSMUSG00000032412.9	protein_coding	Atp1b3	DOWN	mmu-Atp1b3_0002	NA	MMU_CIRCpedia_35348	3	-1.489218682942722	0.03437227560584761	-3.2414214418817937	0.27720773015446254	0.050882607430213195	UP	1	Muscle
Muscle	Female	cRNA_1970	chr2:76677732-76678986	JNC-JNC	ENSMUSG00000051747.16	protein_coding	Ttn	UP	mmu-Ttn_1037	NA	NA	4	2.3569707507646234	0.00968024707973009	4.092083442782255	0.23850561363697867	0.2962565993208646	NS	1	Muscle
Muscle	Female	cRNA_1986	chr2:76684494-76686710	JNC-JNC	ENSMUSG00000051747.16	protein_coding	Ttn	UP	mmu-Ttn_0176	NA	NA	3	3.2756439387500262	4.771849176186138e-9	6.749206650144185	0.23850561363697867	0.2962565993208646	NS	1	Muscle
Muscle	Female	cRNA_2077	chr4:151118314-151125930	JNC-JNC	ENSMUSG00000028957.13	protein_coding	Per3	DOWN	mmu-Per3_0001	NA	NA	3	-0.8653475803680896	0.03437227560584761	-3.129310922712479	1.490490326795739	1.1874862748195165e-15	UP	1	Muscle
Muscle	Male	cRNA_0160	chr10:25096509-25165628	JNC-JNC	ENSMUSG00000039166.17	protein_coding	Akap7	UP	mmu-Akap7_0001	mm9_circ_000741	MMU_CIRCpedia_14415	4	1.9409291035026248	0.01342954904377812	3.505265888435124	0.555516324093467	0.16806598008009066	NS	1	Muscle
Muscle	Male	cRNA_0278	chr15:88695500-88696362	JNC-JNC	ENSMUSG00000035845.18	protein_coding	Alg12	UP	mmu-Alg12_0001	mm9_circ_017350	MMU_CIRCpedia_33206	3	1.519514876967046	0.01114615902805863	3.638689090546558	-0.012306049120046413	0.967501487993762	NS	1	Muscle
Muscle	Male	cRNA_1786	chr2:76683949-76686710	JNC-JNC	ENSMUSG00000051747.16	protein_coding	Ttn	UP	mmu-Ttn_0122	NA	NA	3	1.5808943310915469	0.00377105889521218	3.9687768014469142	0.06201039989436728	0.8742491828535176	NS	1	Muscle
Muscle	Male	cRNA_2081	chr2:152755365-152761373	JNC-JNC	ENSMUSG00000027470.10	protein_coding	Mylk2	DOWN	mmu-Mylk2_0003	NA	NA	4	-1.1844895588008382	0.01042034649551238	-3.659207149982993	0.3636100562036895	0.24483678375038245	NS	1	Muscle
Muscle	Male	cRNA_2382	chr12:52562862-52566750	FULLEX	ENSMUSG00000035133.10	protein_coding	Arhgap5	UP	mmu-Arhgap5_0009,mmu-Arhgap5_0019	mm9_circ_011007	MMU_CIRCpedia_22395	3	3.167800592429069	7.139002988415371e-4	4.468190583353814	0.3545930926660842	0.13914088761285662	NS	3	Heart, Liver, Muscle
