Sex	gene_id	gene_name	gene_type	sign(log2FoldChange)	nTissues	signTissues	medianLFC
Male	ENSMUSG00000043801.8	Oaz1-ps	processed_pseudogene	-1	1	Heart	-0.631130062376287
Male	ENSMUSG00000043833.8	2900005J15Rik	lncRNA	1	2	Kidney, Liver	1.3928749043474158
Male	ENSMUSG00000043993.8	2900052L18Rik	lncRNA	1	5	Ileon, Kidney, Muscle, Liver, Heart	1.2596464839002115
Male	ENSMUSG00000044068.9	Zrsr1	transcribed_processed_pseudogene	1	1	Muscle	0.8979670178512378
Male	ENSMUSG00000044125.8	9530080O11Rik	lncRNA	-1	1	Liver	-0.7664724518482331
Male	ENSMUSG00000044285.10	Ubb-ps	transcribed_processed_pseudogene	-1	2	Kidney, Heart	-0.8043304935328397
Male	ENSMUSG00000044285.10	Ubb-ps	transcribed_processed_pseudogene	1	1	Muscle	0.6654362679739353
Male	ENSMUSG00000044471.14	Lncpint	lncRNA	1	4	Ileon, Kidney, Muscle, Liver	1.289363569903576
Male	ENSMUSG00000044694.3	2010007H06Rik	lncRNA	1	2	Kidney, Muscle	1.6032197733355686
Male	ENSMUSG00000045008.3	9030612E09Rik	lncRNA	-1	1	Muscle	-1.2487814818013043
Male	ENSMUSG00000045345.8	9530056K15Rik	lncRNA	1	1	Ileon	1.2399615461996063
Male	ENSMUSG00000045746.4	B230317F23Rik	lncRNA	1	3	Kidney, Muscle, Liver	1.1276797367525064
Male	ENSMUSG00000046413.16	Irx3os	lncRNA	-1	1	Muscle	-4.380746346496751
Male	ENSMUSG00000046764.9	A530053G22Rik	lncRNA	1	1	Muscle	2.780492004362406
Male	ENSMUSG00000047061.7	Gm9817	TEC	-1	1	Liver	-2.011961101004105
Male	ENSMUSG00000048406.6	B330016D10Rik	pseudogene	1	2	Kidney, Liver	1.0495079949414636
Male	ENSMUSG00000048603.10	Gm9828	lncRNA	1	3	Kidney, Muscle, Liver	0.8791314518619102
Male	ENSMUSG00000049349.4	Gm5105	lncRNA	-1	1	Muscle	-1.3314138312114014
Male	ENSMUSG00000050334.14	C130071C03Rik	lncRNA	1	1	Colon	1.8685271422652403
Male	ENSMUSG00000051074.6	4930579K19Rik	lncRNA	1	1	Kidney	1.055766809708457
Male	ENSMUSG00000052005.9	Gm9864	pseudogene	1	2	Muscle, Liver	1.7693605095202483
Male	ENSMUSG00000052188.7	Gm14964	lncRNA	1	3	Ileon, Kidney, Muscle	1.1510398649382911
Male	ENSMUSG00000052248.18	Zeb2os	lncRNA	-1	1	Kidney	-0.8565468454219
Male	ENSMUSG00000052291.10	5330438D12Rik	lncRNA	1	3	Kidney, Muscle, Liver	0.8256409852288128
Male	ENSMUSG00000052371.6	Hoxd3os1	lncRNA	1	1	Kidney	0.5306880725343293
Male	ENSMUSG00000052563.14	D930048N14Rik	lncRNA	-1	1	Colon	-1.0827443808356452
Male	ENSMUSG00000052563.14	D930048N14Rik	lncRNA	1	1	Ileon	0.973281060201002
Male	ENSMUSG00000052658.6	5830454E08Rik	lncRNA	1	1	Kidney	0.6753619761145322
Male	ENSMUSG00000052730.8	Gm5111	lncRNA	1	1	Muscle	1.96884078418138
Male	ENSMUSG00000053049.4	Gm15413	lncRNA	1	1	Ileon	1.6076718061334982
Male	ENSMUSG00000053332.15	Gas5	lncRNA	1	2	Kidney, Muscle	1.3873956988079221
Male	ENSMUSG00000053615.2	Gm9913	lncRNA	-1	1	Muscle	-1.7695199462692186
Male	ENSMUSG00000053714.10	4732471J01Rik	lncRNA	-1	1	Colon	-1.8710059229012193
Male	ENSMUSG00000054135.3	A430110L20Rik	lncRNA	1	2	Kidney, Liver	1.7132597510778034
Male	ENSMUSG00000054181.12	A930012O16Rik	lncRNA	1	2	Kidney, Muscle	1.1092705910976475
Male	ENSMUSG00000054418.7	2900041M22Rik	lncRNA	1	1	Kidney	1.3944751827426498
Male	ENSMUSG00000054618.10	Gm9951	lncRNA	-1	1	Kidney	-1.8109401763315056
Male	ENSMUSG00000054945.6	Gm9958	lncRNA	1	1	Kidney	1.0612031243833988
Male	ENSMUSG00000055323.7	Gm9967	lncRNA	1	2	Kidney, Muscle	2.463875185996974
Male	ENSMUSG00000055370.4	Gm9968	lncRNA	1	1	Kidney	1.3607393327532409
Male	ENSMUSG00000055676.5	Gm5069	transcribed_processed_pseudogene	-1	3	Ileon, Kidney, Colon	-1.673859095742814
Male	ENSMUSG00000056032.13	BC018473	lncRNA	-1	1	Ileon	-1.9017167366653511
Male	ENSMUSG00000056145.6	AI504432	lncRNA	-1	1	Kidney	-1.1501065844009477
Male	ENSMUSG00000056687.11	Gm11696	lncRNA	1	3	Muscle, Liver, Heart	1.424496261642195
Male	ENSMUSG00000056716.11	Gm5420	lncRNA	-1	1	Muscle	-4.891073371131158
Male	ENSMUSG00000056753.4	C330011M18Rik	lncRNA	1	2	Liver, Colon	1.2473739499884324
Male	ENSMUSG00000057036.8	Gm7536	processed_pseudogene	1	3	Kidney, Muscle, Liver	0.7465839293826586
Male	ENSMUSG00000057359.8	Gm17494	lncRNA	1	1	Kidney	0.6722209648489215
Male	ENSMUSG00000057802.10	Gm10030	lncRNA	-1	1	Liver	-0.7373797252401268
Male	ENSMUSG00000057913.4	Gm10032	lncRNA	1	2	Kidney, Muscle	1.7981478701598754
Male	ENSMUSG00000058603.11	Rpl28-ps1	processed_pseudogene	1	1	Liver	0.858201349308016
Male	ENSMUSG00000059027.16	9630013D21Rik	lncRNA	1	1	Muscle	1.5607876057147134
Male	ENSMUSG00000059751.8	Rps3a3	processed_pseudogene	1	1	Kidney	1.8099683075234587
Male	ENSMUSG00000060149.9	BC002059	lncRNA	1	2	Kidney, Liver	1.0384277668003024
Male	ENSMUSG00000060419.9	Rps16-ps2	processed_pseudogene	1	3	Ileon, Kidney, Liver	1.094252420281697
Male	ENSMUSG00000060424.16	Pantr1	lncRNA	1	1	Kidney	0.47736138978421205
Male	ENSMUSG00000061331.6	Gm17132	unprocessed_pseudogene	1	2	Kidney, Liver	1.3878155887709673
Male	ENSMUSG00000061510.4	Gm10101	lncRNA	1	1	Kidney	1.3394849322742022
Male	ENSMUSG00000061728.6	Btnl7-ps	unprocessed_pseudogene	1	1	Muscle	1.041900494677307
Male	ENSMUSG00000062319.3	Gm10115	lncRNA	1	1	Ileon	0.9465397079563252
Male	ENSMUSG00000062470.11	Fbxl12os	lncRNA	1	1	Ileon	1.2718033258157642
Male	ENSMUSG00000062933.8	Gm10123	processed_pseudogene	-1	1	Ileon	-0.9973856693284276
Male	ENSMUSG00000062933.8	Gm10123	processed_pseudogene	1	1	Kidney	0.5462863607369682
Male	ENSMUSG00000063087.16	Gm10125	lncRNA	1	1	Liver	1.2743086618298989
Male	ENSMUSG00000063286.10	Gvin-ps7	transcribed_unprocessed_pseudogene	-1	2	Kidney, Muscle	-0.6476446466959656
Male	ENSMUSG00000063388.6	BC023105	processed_pseudogene	-1	2	Kidney, Liver	-2.132551541375314
Male	ENSMUSG00000063611.6	Gm10134	lncRNA	-1	1	Muscle	-1.4694596601730603
Male	ENSMUSG00000063714.17	Sp3os	lncRNA	-1	1	Liver	-0.96470016945683
Male	ENSMUSG00000063714.17	Sp3os	lncRNA	1	1	Kidney	0.6855716649730571
Male	ENSMUSG00000064337.1	mt-Rnr1	Mt_rRNA	1	1	Kidney	0.3767450756297017
Male	ENSMUSG00000064339.1	mt-Rnr2	Mt_rRNA	-1	1	Muscle	-0.6434202074539646
Male	ENSMUSG00000064339.1	mt-Rnr2	Mt_rRNA	1	2	Kidney, Liver	0.5816998631504686
Male	ENSMUSG00000064387.3	Snora73a	snoRNA	1	2	Kidney, Liver	0.8228847082899464
Male	ENSMUSG00000064451.3	Snora23	snoRNA	1	1	Kidney	1.2313390105245456
Male	ENSMUSG00000065353.3	Snora73b	snoRNA	1	2	Kidney, Heart	1.3733978443722874
Male	ENSMUSG00000065649.3	Snora74a	snoRNA	1	1	Liver	1.071992778929332
Male	ENSMUSG00000065701.3	Rny1	misc_RNA	1	1	Kidney	1.8322385725249883
Male	ENSMUSG00000066170.9	E230001N04Rik	lncRNA	1	3	Ileon, Kidney, Liver	1.51854175015132
Male	ENSMUSG00000066175.4	2510046G10Rik	lncRNA	1	4	Ileon, Kidney, Muscle, Liver	1.5741180779746746
Male	ENSMUSG00000066178.5	6030445D17Rik	lncRNA	1	1	Muscle	1.2366331068924767
Male	ENSMUSG00000066477.14	Gm16551	lncRNA	-1	1	Liver	-1.6618145832659137
Male	ENSMUSG00000066724.5	Gm10175	transcribed_processed_pseudogene	1	1	Muscle	0.5047808587676489
Male	ENSMUSG00000067017.6	Capza1-ps1	pseudogene	-1	1	Kidney	-0.8734566679416423
Male	ENSMUSG00000067870.6	Rpl31-ps8	processed_pseudogene	1	3	Kidney, Muscle, Liver	0.6867354695710325
Male	ENSMUSG00000068463.6	B630019A10Rik	lncRNA	1	1	Kidney	3.7194186145694688
Male	ENSMUSG00000069682.8	Gm10275	transcribed_processed_pseudogene	1	3	Kidney, Muscle, Liver	0.9616049703094808
Male	ENSMUSG00000069713.4	4933406P04Rik	lncRNA	1	3	Kidney, Muscle, Liver	1.0676285479649834
Male	ENSMUSG00000069755.7	Zfp125	transcribed_unprocessed_pseudogene	-1	1	Liver	-0.971467744691132
Male	ENSMUSG00000069972.7	Rps13-ps2	processed_pseudogene	1	3	Kidney, Liver, Colon	1.5016197183540174
Male	ENSMUSG00000070315.14	4930581F22Rik	lncRNA	-1	1	Colon	-1.3850364697483406
Male	ENSMUSG00000070315.14	4930581F22Rik	lncRNA	1	1	Muscle	0.9058693075727756
Male	ENSMUSG00000070392.6	Gm20634	lncRNA	-1	3	Kidney, Muscle, Liver	-1.7451421096707669
Male	ENSMUSG00000070461.4	9230112E08Rik	lncRNA	1	1	Liver	0.642667725388476
Male	ENSMUSG00000070574.4	2310016G11Rik	lncRNA	-1	1	Kidney	-1.3882400592950823
Male	ENSMUSG00000070717.2	Gm10300	lncRNA	1	1	Kidney	1.257986191810436
Male	ENSMUSG00000070960.5	Gm19680	processed_pseudogene	1	2	Kidney, Muscle	1.4370773570877422
Male	ENSMUSG00000070997.5	1700055D18Rik	lncRNA	1	1	Kidney	0.8279174187782709
Male	ENSMUSG00000071036.4	Gm10309	lncRNA	1	2	Muscle, Liver	5.23394007478783
Male	ENSMUSG00000071456.8	1110002L01Rik	lncRNA	-1	1	Muscle	-0.6563494539612204
Male	ENSMUSG00000071793.14	2610005L07Rik	transcribed_unprocessed_pseudogene	1	2	Kidney, Muscle	0.6099602065394858
Male	ENSMUSG00000072761.12	Gm6712	lncRNA	1	2	Kidney, Muscle	0.7917120182156547
Male	ENSMUSG00000072884.11	Gm10433	lncRNA	-1	1	Liver	-1.4024451773743725
Male	ENSMUSG00000072893.13	4933439C10Rik	lncRNA	1	2	Kidney, Muscle	0.7853946785488852
Male	ENSMUSG00000072963.3	Gm10447	lncRNA	1	1	Liver	1.1265226303667235
Male	ENSMUSG00000072999.10	Gm15401	lncRNA	-1	1	Colon	-2.383080071358498
Male	ENSMUSG00000073000.4	Gm10451	lncRNA	-1	2	Ileon, Kidney	-0.9351785164290405
Male	ENSMUSG00000073144.6	4930599N23Rik	lncRNA	-1	1	Colon	-1.6499963609045585
Male	ENSMUSG00000073147.5	5031425E22Rik	lncRNA	1	3	Kidney, Muscle, Liver	0.47397840583435275
Male	ENSMUSG00000073236.6	2500004C02Rik	lncRNA	1	1	Kidney	0.7607689376952586
Male	ENSMUSG00000073374.5	C030034I22Rik	lncRNA	1	3	Kidney, Muscle, Liver	0.6241801255324188
Male	ENSMUSG00000073437.12	D330041H03Rik	lncRNA	1	1	Ileon	1.0848555332044294
Male	ENSMUSG00000073478.8	D730003I15Rik	lncRNA	1	2	Kidney, Muscle	0.8733064963262467
Male	ENSMUSG00000073482.3	Gm10517	TEC	1	1	Kidney	1.890455743600756
Male	ENSMUSG00000073485.4	H3f3aos	lncRNA	1	2	Kidney, Muscle	1.8470484160267402
Male	ENSMUSG00000073532.4	Gm7276	lncRNA	-1	1	Muscle	-2.2532860402109005
Male	ENSMUSG00000073535.7	Gm5532	lncRNA	-1	1	Muscle	-3.663942525734637
Male	ENSMUSG00000073647.5	Gm10557	processed_pseudogene	1	2	Kidney, Muscle	0.9667042131199842
Male	ENSMUSG00000073752.3	Gm10570	lncRNA	-1	1	Muscle	-1.344937075949533
Male	ENSMUSG00000073867.3	AA474408	TEC	1	2	Kidney, Liver	1.3204197428739166
Male	ENSMUSG00000073902.6	Gvin3	unprocessed_pseudogene	-1	1	Kidney	-1.3275308363426717
Male	ENSMUSG00000073985.3	Gm10602	lncRNA	1	1	Kidney	0.7274528336480645
Male	ENSMUSG00000074024.7	4632427E13Rik	lncRNA	1	3	Kidney, Muscle, Liver	1.360633448978762
Male	ENSMUSG00000074171.3	Gm6658	TEC	-1	1	Ileon	-1.1686059488152425
Male	ENSMUSG00000074178.4	Gm10638	lncRNA	1	1	Muscle	1.3884757994578938
Male	ENSMUSG00000074213.4	Gm10642	lncRNA	-1	1	Kidney	-0.5362545854011294
Male	ENSMUSG00000074213.4	Gm10642	lncRNA	1	1	Liver	0.731737799115784
Male	ENSMUSG00000074219.4	Gm10644	lncRNA	1	1	Muscle	2.397531466497183
Male	ENSMUSG00000074357.4	AA386476	lncRNA	1	2	Kidney, Liver	0.9995685149586577
Male	ENSMUSG00000074373.7	Gm10680	lncRNA	-1	1	Liver	-1.645548222214473
Male	ENSMUSG00000074373.7	Gm10680	lncRNA	1	1	Ileon	4.35269124940892
Male	ENSMUSG00000074398.7	Gm15441	lncRNA	1	2	Kidney, Muscle	1.0962335314823217
Male	ENSMUSG00000074415.16	Mir100hg	lncRNA	1	1	Kidney	1.2170566258603566
Male	ENSMUSG00000074466.14	Gm15417	lncRNA	-1	1	Liver	-1.2598921194796475
Male	ENSMUSG00000074469.7	Gm15348	lncRNA	-1	1	Kidney	-4.0970062734644985
Male	ENSMUSG00000074578.16	Zfas1	lncRNA	1	3	Kidney, Muscle, Liver	0.9564418963025526
Male	ENSMUSG00000074580.12	4931440P22Rik	transcribed_processed_pseudogene	1	1	Kidney	1.3264851399563886
Male	ENSMUSG00000074629.4	4930518I15Rik	TEC	1	4	Ileon, Kidney, Muscle, Liver	1.3604227144813037
Male	ENSMUSG00000074782.4	4833422C13Rik	lncRNA	1	1	Liver	0.8117014763061213
Male	ENSMUSG00000074807.4	Gm10762	lncRNA	-1	1	Muscle	-0.8698540920992034
Male	ENSMUSG00000074807.4	Gm10762	lncRNA	1	1	Liver	0.9339338605005464
Male	ENSMUSG00000074813.16	Morrbid	lncRNA	-1	1	Muscle	-0.9447219272150464
Male	ENSMUSG00000074919.3	Gm10787	lncRNA	1	1	Kidney	1.988604216162084
Male	ENSMUSG00000074987.11	Wt1os	lncRNA	1	1	Kidney	1.426820968157814
Male	ENSMUSG00000075010.7	AW112010	lncRNA	-1	3	Kidney, Liver, Heart	-1.5749882332424068
Male	ENSMUSG00000075020.8	Mir670hg	lncRNA	1	2	Kidney, Muscle	1.0245516358728617
Male	ENSMUSG00000075025.11	Gm10804	lncRNA	-1	1	Kidney	-0.455849180344946
Male	ENSMUSG00000075027.12	4631405J19Rik	lncRNA	-1	1	Heart	-1.5084718094648106
Male	ENSMUSG00000075029.8	4930558J22Rik	lncRNA	-1	1	Colon	-1.6073192288940157
Male	ENSMUSG00000075279.6	Mrpl23-ps1	processed_pseudogene	-1	1	Liver	-0.3158346597910737
Male	ENSMUSG00000075279.6	Mrpl23-ps1	processed_pseudogene	1	1	Kidney	0.6054346456905781
Male	ENSMUSG00000075389.5	Reno1	lncRNA	1	5	Ileon, Kidney, Muscle, Liver, Heart	1.018188453302134
Male	ENSMUSG00000075416.7	Gm14488	lncRNA	-1	1	Kidney	-1.1909482761659038
Male	ENSMUSG00000075511.11	1700001L05Rik	lncRNA	1	3	Ileon, Kidney, Liver	0.9567414352616403
Male	ENSMUSG00000075514.6	Gm13375	lncRNA	1	1	Ileon	0.8211804981588802
Male	ENSMUSG00000075538.3	Gm10855	lncRNA	1	1	Kidney	1.1738739804962153
Male	ENSMUSG00000075549.3	Gm6878	lncRNA	1	1	Kidney	1.7212049282212094
Male	ENSMUSG00000075576.13	Gm12359	lncRNA	1	1	Kidney	0.9565308888751732
Male	ENSMUSG00000075585.4	6330403L08Rik	lncRNA	1	1	Kidney	0.40774718340722266
Male	ENSMUSG00000075591.3	Gm10874	lncRNA	-1	1	Liver	-0.6024193514772043
Male	ENSMUSG00000075591.3	Gm10874	lncRNA	1	1	Kidney	0.71566818746051
Male	ENSMUSG00000075611.6	Gm11545	unprocessed_pseudogene	-1	1	Ileon	-1.2153453381751476
Male	ENSMUSG00000076498.3	Trbc2	TR_C_gene	-1	1	Kidney	-3.2167706467231225
Male	ENSMUSG00000076749.3	Trgc1	TR_C_gene	-1	1	Ileon	-0.9678730046625338
Male	ENSMUSG00000076928.6	Trac	TR_C_gene	1	1	Muscle	1.6159536269721606
Male	ENSMUSG00000077714.3	Snord17	snoRNA	1	1	Liver	0.9220126231792454
Male	ENSMUSG00000078122.6	F630028O10Rik	lncRNA	-1	1	Kidney	-1.0191433879974745
Male	ENSMUSG00000078190.8	Dnm3os	lncRNA	1	1	Kidney	1.1187714429080111
Male	ENSMUSG00000078247.7	Airn	lncRNA	-1	1	Kidney	-0.6479861089473461
Male	ENSMUSG00000078247.7	Airn	lncRNA	1	1	Heart	0.6716962970306158
Male	ENSMUSG00000078314.3	Gm14762	lncRNA	1	1	Kidney	1.9548258703801344
Male	ENSMUSG00000078349.5	AW011738	lncRNA	-1	1	Liver	-1.0354761899913865
Male	ENSMUSG00000078528.3	Gm17068	processed_pseudogene	1	1	Liver	1.9127673339973876
Male	ENSMUSG00000078648.4	Gm17546	lncRNA	-1	2	Muscle, Heart	-1.8621292156842209
Male	ENSMUSG00000078684.9	5830417I10Rik	unprocessed_pseudogene	-1	1	Liver	-0.31625786128626177
Male	ENSMUSG00000078706.6	Gm53	lncRNA	1	1	Kidney	0.6286920971103437
Male	ENSMUSG00000079045.5	Prox1os	lncRNA	1	1	Liver	1.3596882768514449
Male	ENSMUSG00000079179.11	Rab10os	lncRNA	1	2	Kidney, Liver	0.5117429004393528
Male	ENSMUSG00000079225.4	Gm9531	transcribed_processed_pseudogene	1	1	Kidney	8.43113720295868
Male	ENSMUSG00000079242.3	C730034F03Rik	lncRNA	1	1	Muscle	1.3664899301793312
Male	ENSMUSG00000079261.3	Gm15217	lncRNA	-1	1	Kidney	-0.430358479831833
Male	ENSMUSG00000079462.2	Gm15737	lncRNA	1	1	Muscle	2.3947331675245223
Male	ENSMUSG00000079499.10	6530402F18Rik	lncRNA	-1	1	Muscle	-0.6741694178676957
Male	ENSMUSG00000079505.3	Gm11131	lncRNA	-1	1	Kidney	-0.7072828878887394
Male	ENSMUSG00000079602.3	9230102O04Rik	lncRNA	1	1	Kidney	1.36688267560382
Male	ENSMUSG00000079671.10	2610203C22Rik	lncRNA	-1	1	Muscle	-1.6342731959216907
Male	ENSMUSG00000079737.6	Bfar	transcribed_processed_pseudogene	1	3	Kidney, Muscle, Liver	0.611598491412109
Male	ENSMUSG00000079993.3	Gm11799	processed_pseudogene	1	1	Colon	2.2198371650533257
Male	ENSMUSG00000080058.3	Gm11175	lncRNA	-1	2	Kidney, Colon	-0.8092176157569031
Male	ENSMUSG00000080198.3	Rpl10a-ps4	processed_pseudogene	1	1	Liver	3.677643496270071
Male	ENSMUSG00000080365.3	Gm25776	snoRNA	1	1	Kidney	1.7681651649831325
Male	ENSMUSG00000080727.4	C920021L13Rik	lncRNA	1	4	Ileon, Kidney, Muscle, Heart	1.7463303419146081
Male	ENSMUSG00000080885.2	Rpl10-ps6	processed_pseudogene	1	1	Muscle	1.1770097177947032
Male	ENSMUSG00000080888.4	Gm14387	unprocessed_pseudogene	1	1	Liver	0.9705633229267078
Male	ENSMUSG00000080957.2	Gm15739	processed_pseudogene	1	1	Liver	1.2460888152017682
Male	ENSMUSG00000081022.2	Gm15936	processed_pseudogene	1	1	Ileon	2.3952792310015933
Male	ENSMUSG00000081156.2	Gm14425	transcribed_processed_pseudogene	1	1	Liver	1.8020999328230805
Male	ENSMUSG00000081182.3	Gm14935	processed_pseudogene	1	1	Ileon	1.1287384873321304
Male	ENSMUSG00000081189.2	Hspd1-ps4	processed_pseudogene	1	2	Muscle, Liver	2.1814560294555414
Male	ENSMUSG00000081194.2	Gm8424	processed_pseudogene	-1	1	Muscle	-1.1118400973130511
Male	ENSMUSG00000081207.5	Gm13775	lncRNA	-1	1	Liver	-11.3451259697119
Male	ENSMUSG00000081208.2	Gm11400	processed_pseudogene	1	2	Ileon, Liver	1.8245573937219626
Male	ENSMUSG00000081245.3	Gm6587	processed_pseudogene	1	1	Ileon	1.4625279787285943
Male	ENSMUSG00000081270.2	Gm11653	processed_pseudogene	1	1	Kidney	1.034308441572122
Male	ENSMUSG00000081604.6	Gm11518	processed_pseudogene	1	2	Kidney, Muscle	0.8150834984064573
Male	ENSMUSG00000081723.2	Gm15931	unprocessed_pseudogene	-1	2	Kidney, Muscle	-1.593313106298734
Male	ENSMUSG00000081752.4	Sms-ps	processed_pseudogene	-1	1	Heart	-0.993217877257166
Male	ENSMUSG00000081771.2	Gm15381	processed_pseudogene	-1	1	Colon	-1.0977894826650054
Male	ENSMUSG00000081805.2	Gm14335	processed_pseudogene	1	1	Liver	1.996318029604332
Male	ENSMUSG00000082286.14	Pisd-ps1	transcribed_unprocessed_pseudogene	1	1	Ileon	2.18769614943702
Male	ENSMUSG00000082292.4	Gm12250	processed_pseudogene	-1	3	Kidney, Liver, Heart	-1.6638203063300796
Male	ENSMUSG00000082377.2	Gm14415	unprocessed_pseudogene	1	1	Kidney	3.227504859777949
Male	ENSMUSG00000082513.2	Gm15374	unprocessed_pseudogene	1	2	Ileon, Liver	1.314316333899963
Male	ENSMUSG00000082519.2	Vamp7-ps	processed_pseudogene	-1	1	Liver	-1.005140099493336
Male	ENSMUSG00000082570.2	Gm15711	processed_pseudogene	1	1	Muscle	1.0520661917395129
Male	ENSMUSG00000082585.4	Gm15387	processed_pseudogene	-1	1	Kidney	-0.5233123227851831
Male	ENSMUSG00000082644.2	Mup-ps19	unprocessed_pseudogene	-1	1	Liver	-7.451721361332565
Male	ENSMUSG00000082648.2	Gm11366	processed_pseudogene	-1	1	Colon	-2.389327113827946
Male	ENSMUSG00000082676.2	Gm11843	processed_pseudogene	1	1	Liver	2.6139337034493573
Male	ENSMUSG00000082677.2	Gm15371	unprocessed_pseudogene	1	1	Liver	1.4523017902543274
Male	ENSMUSG00000082867.2	Gm15730	processed_pseudogene	-1	1	Colon	-1.5352520437030857
Male	ENSMUSG00000082956.5	Naip3	unprocessed_pseudogene	-1	1	Colon	-1.14886270762147
Male	ENSMUSG00000083111.2	Gm14421	unprocessed_pseudogene	1	1	Liver	0.8640784578925561
Male	ENSMUSG00000083239.2	Mup-ps1	unprocessed_pseudogene	-1	1	Liver	-5.412566518846128
Male	ENSMUSG00000083277.2	Gm15376	unprocessed_pseudogene	1	2	Ileon, Liver	1.4791663222168392
Male	ENSMUSG00000083287.5	Idi1-ps1	processed_pseudogene	-1	1	Liver	-2.1277563347510258
Male	ENSMUSG00000083364.5	Llph-ps2	processed_pseudogene	1	2	Kidney, Muscle	0.7711898354512277
Male	ENSMUSG00000083380.2	Ndufb4c	processed_pseudogene	-1	2	Ileon, Liver	-0.6858807762674208
Male	ENSMUSG00000083443.2	Gm15519	processed_pseudogene	-1	1	Muscle	-3.1668433620929037
Male	ENSMUSG00000083465.2	Gm11652	processed_pseudogene	1	1	Kidney	1.299887145152938
Male	ENSMUSG00000083563.2	Gm13340	unprocessed_pseudogene	-1	1	Muscle	-1.6940265169491924
Male	ENSMUSG00000083672.2	Kpna2-ps	processed_pseudogene	1	1	Liver	2.1517025224107
Male	ENSMUSG00000083798.2	Gm14584	processed_pseudogene	1	1	Liver	0.5851408111639783
Male	ENSMUSG00000083813.2	Gm15502	processed_pseudogene	1	1	Ileon	1.7229631282779394
Male	ENSMUSG00000083827.2	Gm15712	processed_pseudogene	1	3	Ileon, Muscle, Liver	1.0949220217904854
Male	ENSMUSG00000083899.3	Gm12346	transcribed_processed_pseudogene	1	1	Kidney	1.6085724641705552
Male	ENSMUSG00000083909.2	Gm15842	processed_pseudogene	1	1	Liver	2.534481833757652
Male	ENSMUSG00000084127.2	Gm13169	processed_pseudogene	-1	2	Kidney, Liver	-2.2604229449121016
Male	ENSMUSG00000084195.3	Gm15372	unprocessed_pseudogene	1	1	Liver	1.556093454418802
